target,imp
CD19,154829159.2419177
PECAM1,130529696.62513919
HLA.DRA,150422759.09667566
MKI67,189511863.8412113
CD274,132578528.19017333
FAP,162588377.82457834
CTLA4,132387789.54967256
CD69,159040217.19394156
CD2,194214813.21884865
B3GAT1,127610274.21908708
PDPN,191797734.0399228
HIF1A,134938530.2791921
COL4A2,169221127.04994336
CD40LG,133331652.66416584
NCAM1,184864542.49645782
IGHM,216623724.25779536
MMP12,169583572.00131625
CD36,155047574.29086465
CD9,186758541.6863594
CD1C,123745134.70962211
ITGA6,137883099.80611885
PTPRC,314144146.891928
FCGR3A,195085567.8007725
FOXP3,108225234.44079772
IL3RA,154379333.73596883
KRT19,271500986.8630329
THY1,158397865.89323804
IL7R,146111543.9456986
ICOS,127903915.1772602
CXCR5,138234403.36097476
KIT,152840435.68185416
PDCD1,145547557.18206775
CD5,153608664.11013055
PDCD1LG2,151637329.5656966
ITGAX,217574914.65929413
VIM,203363618.08542386
ICAM1,167679223.86383045
LILRB1,208567078.5992675
CD7,136933495.19206247
FUT4,192586399.28015214
CR2,141702619.1266529
CD38,142750025.76382884
CD4,188317277.93586966
ISG20,162537219.7776826
CEACAM1,167922248.1630947
CD40,161146405.87268198
CD8A,167187550.5084946
PTPRCRA,139858338.2717421
ENTPD1,162282514.73048562
