target,imp
CD19,313740515.4428222
PECAM1,242834718.02812988
HLA.DRA,214266006.4295352
MKI67,175000120.9578704
CD274,382128275.0397335
FAP,151956603.14803037
CTLA4,173638070.60367048
CD69,195827282.95039412
CD2,320242217.55063665
B3GAT1,308435837.6745824
PDPN,140850763.92276174
HIF1A,138091938.77901846
COL4A2,186256600.1777653
CD40LG,277390225.8071207
NCAM1,162897032.99778867
IGHM,77236135.40621065
MMP12,138361096.20752406
CD36,259790362.60750568
CD9,174593384.72597957
CD1C,243183325.832671
ITGA6,280355363.9573082
PTPRC,213606148.363693
FCGR3A,215770233.73734432
FOXP3,271573306.09469
IL3RA,190550510.77831843
KRT19,386444310.6063762
HLA.B,175037822.63073578
THY1,170092340.20994046
IL7R,264798767.38131836
ICOS,366621090.69098985
CXCR5,265337655.93747535
KIT,287876023.3396521
PDCD1,307242651.2336478
CD5,142466202.7510084
PDCD1LG2,126746831.08035727
ITGAX,476626013.67875695
VIM,307721563.61120784
ICAM1,198508566.29501835
LILRB1,227736088.65952304
CD7,307335647.5362991
FUT4,208416073.50506592
CR2,204805741.4087887
CD38,148117735.91916966
CD4,170308043.49111792
CEACAM1,170520888.6685104
CD40,221123252.36173767
CD8A,211941985.92744595
PTPRCRA,275281064.1120237
ENTPD1,154825312.01697436
