target intercept intra para.100 p.intercept p.intra p.para.100
RET 0.00364516064625336 -0.0633171365103522 -0.0414040033867215 0.140300484470323 0.751355038693314 0.794045282001217
EDNRA 0.0035755722589001 -0.0578164756367512 -0.0316762836138512 0.144151761280537 0.778672541215289 0.803118508776128
ITGA4 0.00175318315228861 -0.0383134059640599 -0.0293166818142855 0.306675956887105 0.895525517834109 0.868571897067939
ERBB4 0.00253147412142736 0.677765164723025 -0.0325508216443513 0.515238425644306 0.00576835732460812 0.866056087381782
TNFRSF8 0.00353437253962417 -0.0352330680958367 -0.041822863145612 0.146487786592221 0.806762294480096 0.812202234569269
PTH2R 0.00173171485396569 -0.0321477394188517 -0.00878112354038726 0.309658771105633 0.87156023628607 0.91587767915049
PLXNA2 0.00740892602899624 -0.11559846272762 -0.0382708979462699 0.0859501916584829 0.649777996553708 0.769691281951064
ITGA9 0.0420053391448331 0.252433729307207 -0.109480565941627 0.00141586627444106 0.128842225514262 0.332128611711139
CDON 0.00173284084261215 -0.0399119354859163 -0.0135560133793257 0.309501393163295 0.867075255054983 0.920392142878373
SCARF1 0.00366395923112678 -0.0733213927079383 -0.0282212907990796 0.139279987947155 0.711913616164841 0.805491865619357
C5AR2 0.00176617440345707 -0.0450325579724564 -0.0242091882661612 0.304889000640336 0.832137126758832 0.90605531225462
PLXND1 0.0278666649336178 -0.101664051236988 0.295061810075417 0.00642926980943623 0.5141544192523 0.00887811670078548
TLR6 0.00824365943809801 0.0116366239040706 -9.89813127552799e-05 0.0487704968004634 0.947627780199031 0.999252204991472
CSF1R 0.0161702708098572 0.165318922718859 -0.098704839910988 0.0129558253007367 0.335839627753203 0.404831602982703
MC1R 0.0034922047825673 -0.0469410930690266 -0.0203677700279715 0.148922910523975 0.822224534424714 0.838246542959797
IL20RA 0.0179966538404742 -0.0679147156018539 -0.132624656101345 0.00161373478650304 0.627856656415944 0.265446488641864
TNFRSF10B 0.00173369322802739 -0.0370172670638347 -0.0202351055920137 0.309382325431251 0.88080046546217 0.897659013753806
ACKR2 0.00542710563935114 -0.0143865275646777 -0.0583056334601745 0.0822202915536504 0.929966201610794 0.659339524859355
IL11RA 0.00513522684775743 0.311106289337274 -0.0513501524157755 0.160965204835575 0.115834419797564 0.742321175771647
TNFRSF21 0.00173168936622465 -0.032469994739727 -0.0204048494059769 0.309662334695859 0.871850184364892 0.914032730046856
F2R 0.00173211420015409 -0.0139310168627689 -0.0311719063129343 0.309602943130349 0.899281991605136 0.882557250370178
TNFRSF10A 0.00170083112589376 -0.0268163505540717 -0.0251688709928599 0.314016217173417 0.910652512838052 0.942967665278651
CD47 0.0380956769004362 0.165034546341581 -0.128592799869771 0.00021533262144296 0.229152372917323 0.259471455903386
DDR2 0.0188942724698968 -0.157743620424445 0.0102012382634521 0.00228258599244818 0.350434842132895 0.9368289638891
GFRA3 0.00353957942105126 -0.0293840777358194 -0.0272915167605168 0.304394107312366 0.866156057141955 0.861526528381958
CCRL2 0.00178369028448004 -0.0769206856565873 -0.0206941612735742 0.302500909113076 0.822680620918818 0.89972903051421
FPR1 0.0017493019000672 -0.024799024015181 -0.0301372880529933 0.307212453562944 0.871173624463408 0.883098944039547
NOTCH3 0.0119856672879514 -0.122374523886623 -0.102429108954408 0.00864840550379301 0.517402968955293 0.458116938145179
LDLR 0.00851127504394437 0.0894686233947708 -0.073240133981227 0.0357610902236317 0.701980397674755 0.547039443870879
PTPRG 0.0490112176523421 -0.0741766247687506 0.136667151781674 0.000501957279901537 0.628132806262136 0.196531231170147
UNC5D 0.00167461225191002 1.32486860797425 0.0174268343905429 0.634683232545607 9.38348142501585e-07 0.881844608784264
ROR2 0.00576331797008839 -0.0937523124747912 -0.0456149476192188 0.0635592239251079 0.591347331601545 0.72325598814895
TNFRSF10D 0.00365100876541373 -0.085376681144616 -0.0295911529266096 0.139982119968135 0.717623333550179 0.812331462385438
IL12RB2 0.00728966534023351 -0.0166465079150117 -0.0670642998874896 0.0521775789683138 0.93715548507026 0.586385351299199
ITGA5 0.0058543558148769 -0.108224875209948 -0.0654519039844453 0.0614980593646163 0.587985816144227 0.644712338683047
PLXNB2 -0.000665656403307609 0.829307635751293 0.247216566692227 0.956121671567219 9.02921202803132e-08 0.0129830614011353
PTGIR 0.00363405390001199 -0.0798539253427489 -0.0224898683821618 0.140907358146727 0.718213697576519 0.827243619288355
SDC3 0.00390219629874522 -0.125196505625174 -0.0468514498009792 0.127040136982965 0.61474568569839 0.770119018236259
IFNGR1 0.0686909388663215 -0.0249365770479896 0.017340373178158 6.39716944350976e-05 0.868864562674106 0.86646099421349
CD27 0.00230597766046214 0.409470916621029 -0.020373888005272 0.348013035995534 0.0619537018555803 0.835098451867444
PTCH2 0.00178422259899412 -0.0312579808540429 -0.0284566404611278 0.302428712424949 0.833753427334208 0.88263477236881
ITGB4 0.0139817376586749 0.142336805560446 -0.150526076173085 0.0175598918856179 0.331424050531839 0.282515152777325
LGR4 0.0167121857015789 0.0344980909021901 0.0513745961757793 0.0105432723555482 0.827121278891479 0.613460011477374
PTCH1 0.00328190952433777 0.0719089600967656 -0.0414774876603906 0.178569305596346 0.647594768879829 0.787346173236894
ITGAM 0.0103789818529672 0.079760907587466 -0.0882678734909801 0.0215206316702349 0.633937571688106 0.412485863203286
ROBO2 0.0117680723287846 0.12174587498119 -0.109315186416464 0.0178610700028639 0.460257236066774 0.36678700626364
IFNAR1 0.035506163008628 0.244675385850714 0.00118085199876011 0.00427963148556883 0.162364363609334 0.991409429826841
IL13RA1 0.00969305052087551 0.69395418760162 0.110187640536324 0.342729542543298 0.000897994654805608 0.332434058089266
IL18R1 0.00373846174615114 -0.110397547659777 -0.0386349619620233 0.135316436123969 0.694800663331657 0.798408449139081
LGR5 0.00178344396461674 -0.0390905307034916 -0.0223053296073354 0.302534324469703 0.838803877344905 0.86526478315002
ACVRL1 0.00540113774986333 0.0141597275062931 0.222406664715013 0.138845608248023 0.936235376769755 0.204175033723496
ATP6AP2 0.0403323699039716 0.51959161747674 0.0435587916088981 0.0263248272260232 3.09117362971083e-05 0.665513721788384
EPHA4 0.00828912836624088 -0.133524538673286 -0.081784860722861 0.025988968457247 0.415240538352697 0.561571612583495
