target,imp
IL18,0.0904803236233329
SEMA3F,0.15107661134030384
CSF1,0.20123908182499647
RARRES2,0.09320068774781162
CXCL11,0.10963562439519636
WNT2,0.07445179402011409
WNT4,0.19807756684965103
EDA,0.23629460488573492
BMP4,0.5511145627619903
WNT5A,0.16059477660576746
PTN,0.19347478905401225
CXCL12,0.1793130762918509
GDF11,0.1845937022155938
CXCL1,0.17570835667738585
APLN,0.22637292603709583
CX3CL1,0.08393373910034223
FGF13,0.16045923391623085
GAL,0.1979272087826432
PDGFA,0.2712353303786394
TGFB3,0.434298358595785
IL15,0.16900009158789275
TNFSF14,0.1134494434749668
CCL11,0.3216663610350566
OSTN,0.08647378677713252
CD70,0.3615683010846671
NRG1,0.21486749446997652
PENK,0.1455115351552857
CXCL10,0.26478362024419927
TGFB2,0.401312034634469
EDN2,0.05146864980762343
PGF,0.12263192584553355
IL16,0.11985686972449233
INHBA,0.257926098428768
GHRL,0.15833794627496936
PDGFD,0.2841551337950279
CCL8,0.3478968900748832
CCL28,0.23035337832169603
IL34,0.09797713385804441
MDK,0.078214096200405675
BMP2,0.08386948135880017
BTC,0.183182346992035
IGF1,0.1393453040812143
GAS6,0.2935418661461242
NTF4,0.2827657269996424
CCL20,0.1747653269572142
MST1,0.21372986484162534
CCL5,0.06195845078208082
AMH,0.1292916306852439
IL11,0.15093269030123754
AGRP,0.12443750400846965
TNFSF8,0.16999981579232873
PDGFC,0.4795136866472044
FGF2,0.26152348852887064
TGFA,0.14388761138771974
TGFB1,0.2614889663282451
CXCL9,0.2586176526132504
EDN1,0.30346333000578973
FGF18,0.18441125646328507
FGF7,0.10754426279899032
BMP6,0.16974176301155441
CCL3,0.31422837220602606
IL1RN,0.07512318251731406
NRG3,0.10434112807226685
FGF10,0.22390444555326502
NRG2,0.43649593948370724
KITLG,0.11607138143236904
FGF5,0.49874889944472883
VEGFA,0.05428300299218745
TNFSF10,0.10876013478941596
BMP7,0.2712321234761959
IL1B,0.0906375532160802
CALCB,0.07888389984540291
IGF2,0.16934625389430008
ANXA1,0.3169473968413957
WNT7B,0.21402106167177334
TNFSF13B,0.16133817443198314
PSPN,0.30174680119004604
FGF1,0.08845916814517504
CCL2,0.13278470127248673
TNF,0.044212153171081604
VEGFB,0.4727798336824229
NMB,0.21630159622240788
