target,imp
A2M,2.5507338076440633
ADAM17,0.5248085459546141
ADM,1.5436403538316546e-4
ADM2,0
AGRP,0
AMH,0.007902848739234317
ANGPT1,2.159501458876695
ANGPT2,0
ANGPTL1,0
ANGPTL2,0
ANGPTL4,0.30393341543506674
ANXA1,6.608500454308864
APLN,0
APOD,0
APOE,5.810438976981553
APP,3.8479056513018746
AZGP1,2.6078961253141877
B2M,13.858682638723819
BGN,3.072508354308742
BMP1,0.00141282864372549
BMP2,0.8694146619369877
BMP4,0
BMP6,0
BMP7,0
BMP8A,0.025794006262323012
BMP8B,0.003929935314309474
BTC,0
C1QTNF1,0
C1QTNF5,1.3284932835379706
C3,2.8349918563060044
C5,1.3288400636525812
CALCB,0
CALR,8.869441985303226
CCL11,0
CCL13,0.7775071812086114
CCL18,0.05432043405485045
CCL2,1.5392942836359934e-5
CCL20,0
CCL28,1.1339142907519846
CCL3,0
CCL4,0.028769277473281764
CCL5,0
CCL7,0
CCL8,0.6869192287774045
CD55,1.0035591541323015
CD5L,0
CD70,4.268521836612538
CD86,0.0595373578449605
CFH,0.020650415391850058
CGN,0
CKLF,0.1597315703310234
CLEC11A,0.0025942569846609293
CNTN4,0
COL11A1,1.4792081172121752
COL14A1,5.412135458855598
COL18A1,2.7196190340319033
COL1A1,3.898765098611409
COL1A2,10.927927900676195
COL2A1,0
COL3A1,2.4318078682661244
COL4A1,0.1845940393990052
COL4A2,7.099585878951835
COL4A3,0.7161339766898769
COL4A4,0.40830838587980856
COL4A5,0
COL4A6,0
COL5A1,1.3849322518219471
COL5A2,2.2201450920513865
COL5A3,0
COL6A1,5.6226595527486305
COL6A2,0.2525327121707683
COL7A1,0.004534358377439873
COL8A1,0.872761239818436
COL9A2,0.017261702783701677
COL9A3,0
COPA,1.7956086694243312
CRLF1,0
CSF1,3.3024701602103077
CTGF,0.11156652374994255
CX3CL1,6.121196565670561
CXCL1,0
CXCL10,2.70817042676908
CXCL11,2.8687691186559725
CXCL12,0.026282122668452326
CXCL14,3.3203744503290113e-5
CXCL2,0
CXCL3,0
CXCL9,2.1102970976146382
CYR61,0.016789690182956916
DCN,1.9515711403295095
DEFB1,0.009798958001016229
DKK2,0
EBI3,0
EDA,0
EDIL3,0.6871609740694942
EDN1,5.818845486580004
EDN2,0.010129916107765684
EFEMP1,0
EFEMP2,2.168449178463237
EFNA1,0
EFNA4,0
F10,6.508488854104761
F12,0
F13A1,0.9034138306570909
F8,0
FAM3C,0.41293680110377934
FBLN1,0.008754226007561587
FBLN2,1.6022387335922457
FBN1,1.1701592093418662
FGF1,0
FGF10,0
FGF11,0
FGF12,0
FGF13,0
FGF14,0
FGF18,0
FGF2,2.963257701857945
FGF23,0
FGF5,0
FGF7,0.40897359592592397
FGF9,0.01758895122384322
FN1,4.620144957098061
FST,3.357640037882503e-4
GAL,0
GAS6,0.03638705977261529
GDF11,0
GHRL,0
GNRH1,0
GPI,10.216372678008312
GREM1,0
GRN,0.7634919917947717
GZMB,0
HBEGF,5.770029306578828e-5
HGF,0
HLA.E,5.662284295041527
HLA.G,0
HSP90AA1,6.885138005382632
IGF1,0.30724447444714814
IGF2,0.3752309594419889
IGFBP4,1.3643157116312221
IHH,0
IL11,3.2951208145488455
IL15,0.6508663937195878
IL16,0
IL18,2.785135015138776
IL1B,0
IL1RN,3.038068857099012
IL27,0
IL34,1.8469613763675954
IL7,0
INHA,0
INHBA,3.974858219793819
INHBB,0
KITLG,0.016141683114918735
L1CAM,0
LAMA1,0.004272798471596142
LAMA2,1.7674825210515757
LAMA3,0.11365810756285026
LAMA5,0
LAMB1,1.0851188735897914
LAMB2,4.522088418822408
LAMC2,0
LCN2,2.44425702403821e-4
LGALS1,3.9000579110483353
LGALS3BP,0
LGALS9,0.0020037196696679384
LIF,0
LPA,0
LTB,0.04127041001971683
LTBP3,0.04951786749524057
LTF,0
MDK,0.12317006184123823
MFGE8,2.015807479664216
MIF,0
MMP13,0
MMP2,0.036725311906389224
MMP9,0.0022509124742851718
MST1,0
"NAMPT",2.838936109580059
NCAM1,7.194960685639062e-4
NGF,0
NID1,4.7387631037582587e-4
NID2,0
NLGN1,0
NMB,0
NMU,0
NPNT,0
NRG1,1.9880765067254083
NRG2,1.5649140307172917
NRG3,5.4453557209823
NRG4,1.9593043896709434
NTF4,1.4033689011251371
NTN1,0.7147501594624606
NTN4,0
NTNG2,0
NXPH1,3.5507750950391443
NXPH3,0
OBP2A,0
OLFM2,0
OSTN,0
PDCD1LG2,0
PDGFA,7.967280394766047
PDGFB,0
PDGFC,0.11165585176247662
PDGFD,0
PENK,0
