target,imp
A2M,18.508263143126896
ADAM17,0.2316727941633397
ADM,24.568681130116783
ADM2,0
AGRP,0.14100697027727108
AMH,0.5992884620680543
ANGPT1,5.391164444170704e-5
ANGPT2,0
ANGPTL1,0
ANGPTL2,2.7425392448654
ANGPTL4,1.3756504824767066
ANXA1,15.781664313228523
APLN,1.4102297481092296
APOD,0.001307216661599513
APOE,19.95142135523666
APP,17.10907530613372
AZGP1,13.776660814752876
B2M,44.058342867055046
BGN,5.527851004948745
BMP1,0
BMP2,0.14940220733044615
BMP4,0
BMP6,0.04055634249220891
BMP7,0
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0
C1QTNF5,12.206480870766248
C3,9.597811745744808
C5,0.40125216927602364
CALCB,0
CALR,8.209985605280393
CCL11,0
CCL13,0
CCL18,4.9813293097059255
CCL2,1.1778149782870424
CCL20,0
CCL28,0.5915741620350701
CCL3,0.06396045731783821
CCL4,0.07772197431498454
CCL5,0.9318189974559168
CCL7,0
CCL8,4.587388321927858
CD55,5.968519304078052
CD5L,0
CD70,0.08692544522545485
CD86,2.7433539160700047
CFH,12.076063600821419
CGN,1.0067542110093326
CKLF,10.456465905172665
CLEC11A,6.798435041390246
CNTN4,0
COL11A1,16.730180900129707
COL14A1,11.058127293414797
COL18A1,5.5062670793376185
COL1A1,17.76678194176134
COL1A2,24.592994284575692
COL2A1,0
COL3A1,27.09300819162182
COL4A1,11.373144384972516
COL4A2,12.729814391350038
COL4A3,2.6638111850280087e-5
COL4A4,1.2850720669698676
COL4A5,0.0020620428829170112
COL4A6,0
COL5A1,14.739320213871855
COL5A2,12.800075119052435
COL5A3,6.79117668507105
COL6A1,13.012405392705665
COL6A2,18.401701299444355
COL7A1,8.087585532294726
COL8A1,11.205274071244359
COL9A2,4.047330215257554
COL9A3,0
COPA,3.656385793412876
CRLF1,16.165413886735283
CSF1,7.320719561689476e-5
CTGF,10.954439815058022
CX3CL1,8.503593475955896
CXCL1,0
CXCL10,7.084744669099342
CXCL11,2.989810514698051
CXCL12,2.989787185936982
CXCL14,8.962115057930081
CXCL2,0
CXCL3,0
CXCL9,3.935878188382737
CYR61,9.361039743621049
DCN,19.616936689838266
DEFB1,0.08548498660476123
DKK2,0
EBI3,0
EDA,0.701277231118057
EDIL3,3.6130210001066714
EDN1,0
EDN2,0
EFEMP1,1.4291827492154743
EFEMP2,5.220500098157219
EFNA1,3.8514715422278076
EFNA4,0
F10,0.554589698896984
F12,0
F13A1,1.42209957576019
F8,0.12707632881058215
FAM3C,4.190204970545238
FBLN1,3.723485861272166
FBLN2,5.561457962267265
FBN1,7.0020642070428325
FGF1,0.36074344805658426
FGF10,0
FGF11,0
FGF12,0.0061841633115078485
FGF13,0
FGF14,2.2018819626872728
FGF18,0
FGF2,0.029367318953447897
FGF23,0
FGF5,0
FGF7,2.727470359594795
FGF9,0.0026695731900544285
FN1,20.5728079734986
FST,0.2575333057920169
GAL,0
GAS6,4.917303739634259
GDF11,1.0381138602100553
GHRL,0
GNRH1,0
GPI,5.126169133277632
GREM1,0
GRN,3.8249743994576493
GZMB,13.895514848647297
HBEGF,0
HGF,0.28482756156343353
HLA.E,18.8815208249676
HLA.G,3.839367463846664
HSP90AA1,27.91501750412498
IGF1,0.0012445337402186495
IGF2,12.566017674663659
IGFBP4,3.957723642158637
IHH,0
IL11,0
IL15,8.173868914198079e-4
IL16,0
IL18,6.334384085055647
IL1B,0
IL1RN,0.053713361229012546
IL27,0
IL34,5.23617432602967
IL7,4.666365690917797
INHA,0
INHBA,8.81746914589039
INHBB,1.068201241941004
KITLG,6.011780405912716
L1CAM,0
LAMA1,0
LAMA2,6.4617499220597265
LAMA3,0.031197285505655117
LAMA5,0
LAMB1,23.232328549574227
LAMB2,6.229792285548326
LAMC2,4.32879123972315
LCN2,0
LGALS1,25.502185950596303
LGALS3BP,3.57619651713841
LGALS9,0.4141463962941952
LIF,0
LPA,0.002017509363065415
LTB,0.2523253515087675
LTBP3,0.9047667318297579
LTF,0
MDK,1.6330013771864427
MFGE8,8.86441555878876
MIF,1.213314961757049
MMP13,1.7081219109988897
MMP2,12.952802506154542
MMP9,7.365885178967646
MST1,0
"NAMPT",3.823522979658395
NCAM1,10.427787422037047
NGF,0
NID1,6.851106231006794
NID2,1.8789672334617409
NLGN1,0.7941034753246795
NMB,0
NMU,0
NPNT,0.8592378035264464
NRG1,2.9477125586304096
NRG2,2.9129607027650777
NRG3,1.524794614287556
NRG4,0.13944290171583382
NTF4,0
NTN1,7.2957879305571725
NTN4,0.02233688421741242
NTNG2,0.06388372657629762
NXPH1,0.00572051397868806
NXPH3,0.9363707150832249
OBP2A,0
OLFM2,0
OSTN,0
PDCD1LG2,0
PDGFA,5.784386843712008e-4
PDGFB,0
PDGFC,5.163030498723195
PDGFD,0
PENK,0
PGF,3.7896618075542823
PLAT,1.4237647778460094e-4
PLAU,13.409652292629605
POMC,0
PRL,0
PRND,0
PROC,0
PSAP,26.948218310432388
PSPN,0.18083894141928283
PTHLH,0
PTN,1.70603536682583
RAET1E,0
RARRES2,10.863852151112177
RELN,0
RETN,10.594740455998199
RGMA,0.49139597468912216
RGMB,0
RPH3A,0
RSPO1,0
RSPO2,0
RSPO4,0
S100A8,20.340195713380147
S100A9,6.767311013459992
SAA1,1.0380747377422193
SEMA3A,2.1702180122254777
SEMA3B,0.21605412798029405
SEMA3C,2.364387475267615
SEMA3D,0.05245524343970079
SEMA3E,0
SEMA3F,0.727897123383801
SERPINA1,0.9811396376902267
SERPINE1,5.213586434794697
SERPINE2,2.8230755601244284
SERPING1,5.513829855825102
SFRP2,4.644371947888788
SLIT2,4.188115915803894
SLIT3,1.3554531741560814
SPINT1,0.0077365324104200495
SPON2,0
SPP1,16.78282286757298
TFPI,1.6413832337269494
TG,7.4192862343759085
TGFA,0.036199449378333345
TGFB1,13.727249390401955
TGFB2,3.856780743185717e-4
TGFB3,4.9864864278284085
TGM2,1.0125099915991518
THBS1,3.5350575662153587
THBS2,9.737727121553178
TIMP1,8.461323549277932
TIMP2,16.55943654829502
TNC,2.209076367764627
TNF,2.740189965713291e-5
TNFSF10,3.154017223175919
TNFSF12,0
TNFSF13B,0.6353200057938411
TNFSF14,0
TNFSF4,0
TNFSF8,7.295558454038822
UCN,1.4661170035625242
VCAM1,1.0194052166324123
VCAN,19.550220167444845
VEGFA,0.19216027453054238
VEGFB,6.564330420098527
VEGFC,0
VIM,30.41982203194578
VWF,0
WNT10A,3.940655219364107
WNT2,0.11928358372661972
WNT2B,0.027672273141281633
WNT3,0
WNT4,0
WNT5A,0
WNT5B,6.5698136478985205
WNT6,0
WNT7B,3.4886014831423036
WNT9A,0
WNT9B,0
ZP3,6.093615423215392
