target,imp
IL18,2.804135535664829
TNFSF4,5.812784554901607
CSF1,1.433261525488162
RARRES2,3.51475236085045
SEMA3B,6.163144605117605
WNT2,18.60965415285278
NRG4,13.454198018710532
L1CAM,5.348368736820516
NTN1,9.711781370092892
EDA,5.96915203131452
GDF11,8.122361431166738
NLGN1,7.9817237338446265
CX3CL1,11.534012278382283
FGF13,2.712158337849171
LGALS3BP,0.11870798021250095
CYR61,3.7606157261461863
AZGP1,2.053648075357485
TGFB3,2.11606575821593
SAA1,10.16062473374758
LAMA5,17.655815200594624
S100A9,3.394697321587502
CCL11,2.3651921300214926
APOE,20.194192835594528
LAMB1,12.436988227187042
IL7,1.7746268354221166
SPP1,3.967001434338995
SLIT2,5.900202476485138
PENK,5.240542928167172
CXCL10,4.98251064515122
S100A8,4.570927518931626
EDN2,5.926233588545248
LAMA2,4.06149352198681
CCL18,5.496415001646992
APOD,9.585864267213731
CCL28,6.37349542644194
IL34,4.882373163909436
NPNT,10.762611157949086
CTGF,6.438825472253416
GAS6,4.407432315316647
THBS2,3.0724899776674777
MST1,4.599460856360241
CCL5,7.385102187301299
MFGE8,4.4828771728056696
VWF,4.518863129729205
IL11,0.05700081738559043
RAET1E,26.82663937595164
ADM,3.1155559552712684
TGFA,7.051391553338724
SEMA3D,5.8448774400230965
CXCL9,8.855916286966396
NTNG2,2.0462151698230393
RSPO1,10.457837033829403
EFEMP1,5.424253804552845
CNTN4,5.123059626056634
CCL3,4.997736345152855
FGF10,3.74641814457524
NRG2,21.145531934205838
C1QTNF5,7.570701766900927
SEMA3C,9.175232908933145
TNFSF10,5.325852859164258
DEFB1,7.50988958714184
IL1B,6.455498939161092
HGF,3.9669775551678463
WNT7B,6.7626147272646095
VCAM1,3.2546143884113277
LTB,7.959924588706014
FAM3C,1.7051531482818403
ANGPTL2,6.947651754185
LGALS9,1.977312215872707
CRLF1,5.039496169312779
CXCL14,3.4622307824651783
PDCD1LG2,12.943980664574603
ANGPTL4,2.049300962409711
COPA,5.080718091134557
RETN,5.066562952647114
CKLF,18.070328327865266
C3,7.19169494485225
PLAT,3.546170908917446
COL14A1,0.5847021259952034
F8,3.7397767676258784
TIMP1,8.902823011069717
COL5A1,1.9313078228163314
COL4A5,3.2324992912352326
LCN2,0.2700321699604052
COL11A1,23.652950697369523
"NAMPT",7.996339789443254
SERPINA1,11.565999873831753
PLAU,2.5785133596548224
IGFBP4,4.930397886950729
TFPI,1.9368156988925664
COL4A3,3.364940363194048
CD86,2.3935109885983787
MMP9,0.054498119560625946
MMP13,7.909909794359887
SPINT1,4.898118757282548
NCAM1,4.206921936469797
COL7A1,5.587020783312507
COL6A1,13.549012123469595
COL4A4,1.286168946246428
