target,imp
IL18,0.0493984676322926
SEMA3F,0.05877327951429985
CSF1,0.02705555555555556
RARRES2,0.014173745173745174
CXCL11,0.01967171717171717
WNT2,0.055183450118555084
NRG4,0
NGF,0.009586829532995124
INHBB,0.04090879564498558
WNT4,0.0049180327868852455
EDA,0.0018333333333333335
CCL13,0.01940522540923444
BMP4,0.018502467255449098
WNT5A,0.017819864735230565
PTN,0.03801492572238491
CXCL12,0.00875
GDF11,0
TNFSF12,0.03203382838283828
CXCL1,0.00967741935483871
HBEGF,0.0319281399357923
ANGPT1,0.09967304363356687
APLN,0.0048591549295774646
CX3CL1,0.0029964401795387714
FGF13,0.0012243637661945317
GAL,0
PDGFA,0.020564008622849145
TGFB3,0.14930754680956554
FGF9,0.11164430821096785
IL15,0.01817142857142857
CXCL3,0.05744868504037852
TNFSF14,0.054149305555555555
PRL,0.026755743450929455
CCL11,0.01880039331366765
CD70,0
IL7,0
NRG1,0.001933627890514545
CXCL10,0.0386390977443609
TGFB2,0.02923510466988728
EDN2,0.016
CXCL13,0.010760044801536259
PDGFB,0.009666666666666667
PGF,0.01886039886039886
VEGFC,0.0016790623331089324
NRTN,0.022176387396766896
IL27,0.010456913070917841
IL16,0.01846042412491701
WNT3,0.0032456140350877196
INHBA,1.118595631761584e-4
PDGFD,0.0021618858338818842
CCL8,0.0010721605241439068
CCL28,0
VIP,0.05637479735947033
IL34,0.06245288792461819
MDK,0.01648880344932572
BMP2,0.04742379192264194
BTC,0
IGF1,0.014243674325962104
GAS6,0.009615384615384616
NTF4,0.06692979268701384
CCL20,0.002349526189732375
CCL5,0.009230769230769232
AMH,0.022944028569180243
IL11,0.03102461561427079
TNFSF8,0.03883329453734551
PDGFC,0.002773888430129165
ADM,0.06459738176235418
UCN,0.042513508540180434
FGF2,0.08270238585483496
NTF3,0.04826514055965509
TGFA,0.07591955804701081
GNRH1,0.047430837776123426
TGFB1,0.015103449988822347
CXCL9,0.01575536605668265
EDN1,0.0013527066981385309
FGF18,0.06413013495766358
FGF7,0.014019819418902282
INHA,0.0057511379152969215
BMP6,0.050294997216257055
CCL3,0.008333333333333333
IL1RN,0.029945880855879476
NRG3,0.04914167340475231
NRG2,0.05622254521963824
VEGFA,0.009915966386554622
TNFSF10,0.01997462384156605
FGF23,0.029205724462692664
BMP7,0.018361638180238758
IL1B,0.009818181818181818
CALCB,0.030784343859462285
IGF2,0.04436439719700589
HGF,0.022794680637636275
ANXA1,0.014285714285714285
WNT7B,0.002638712521510933
TNFSF13B,0.01975609756097561
PSPN,0.01880952380952381
TNFSF15,0.040623130309558955
FGF1,0.03029073380639693
CCL2,0.021997032225162694
TNF,0.011586331901799318
VEGFB,0.05510187757485773
NMB,0.09992090520829153
LIF,0.025280924755930162
