target,imp
CD19,548322132.8723202
PECAM1,526199883.7523398
HLA.DRA,738649844.0776819
MKI67,430761081.50091136
CD274,781170224.2056078
FAP,523718294.9536357
CTLA4,1364828900.47433
CD69,16454073388.837255
B3GAT1,965339002.3949357
PDPN,626756111.9311651
HIF1A,841186966.3961099
COL4A2,421057893.4150581
CD40LG,3121277120.612933
NCAM1,798351416.2673291
IGHM,493101102.82604975
MMP12,674067523.7084702
CD36,777086171.2740599
CD9,683649280.6557488
CD1C,786900900.8070635
ITGA6,792692462.6420448
PTPRC,28969986166.29689
FCGR3A,2420403933.5063725
FOXP3,924004951.9391332
IL3RA,510589082.76407087
KRT19,652332467.7209717
HLA.B,560919225.7601396
THY1,549360381.105771
IL7R,1192300344.030387
ICOS,808078046.0000621
CXCR5,641517425.6636105
KIT,980273723.702129
PDCD1,837377363.4185563
CD5,8477800294.041862
PDCD1LG2,640623083.0441248
ITGAX,927642956.9058684
VIM,1604972975.5854697
ICAM1,983486693.9378676
LILRB1,1605658861.6731884
CD7,18028780764.623848
FUT4,645773781.7545446
CR2,890981699.6798003
CD38,2957911256.8471923
CD4,2285570633.6371737
ISG20,650542861.6619627
CEACAM1,707083610.8080266
CD40,1051482829.7842612
CD8A,8622066979.557854
PTPRCRA,625080121.5506282
ENTPD1,659430274.8785363
