target,imp
ACTA2,1598.5155067479955
ACTG2,1895.2307325239258
ACTR3B,1697.846216628441
ADGRL4,1828.570355260027
AGR2,2591.2658434625396
AHR,3328.016073763273
AIF1,1705.141988932262
AKT1,1461.1932769937227
ALDH1A3,6115.822831992518
ANLN,3117.2672164952096
AP1M2,2094.3038594297964
APOC1,2042.232786008259
APOE,2214.860323961712
AR,2620.738424706096
AURKA,2897.634039411536
AZGP1,1720.3231844793688
B2M,1186.9046594035453
BAG1,1246.9860139914447
BANK1,1680.8700634651914
BCL2,1774.9279764882854
BGN,1681.3278123230793
BICC1,1864.0979161623136
BIRC5,1809.9781459205715
BLVRA,1646.0954356101495
BRAF,1817.4938125488802
C1QA,1630.5654864523342
C1QB,1785.3641253474984
CALCRL,1809.9466680804587
CAPN13,8128.767216159895
CCL2,1714.3932319552346
CCL3,1658.71350162817
CCL4,1786.0674842905955
CCL5,1657.613508226714
CCNB1,1581.1315350412194
CCND1,2854.186944622066
CCNE1,2606.9714991270307
CCNE2,8096.876341825572
CD14,1683.8530616750336
CD163,1713.2873037893526
CD19,1633.3192314083315
CD2,1837.8335109022019
CD24,4911.878562738041
CD274,1777.5387214282391
CD34,1617.5725949556738
CD36,1995.902392333515
CD38,1787.2626014383452
CD3D,1942.6131728081239
CD3E,2016.346399275826
CD3G,1789.511381035107
CD4,1532.4448947361896
CD40,1786.158494326909
CD40LG,1753.0296557614215
CD44,1610.0367430204033
CD5,1981.197933463947
CD63,1240.9629826738485
CD68,1726.3712385494168
CD69,1711.3200180265944
CD7,1830.0407096986726
CD74,1293.9365268826125
CD79A,1786.4576466349358
CD79B,2623.2427745378495
CD8A,1604.8032836207137
CD9,2399.5430857041674
CD96,1614.7085735610508
CDC20,1805.2159176313446
CDC6,3503.94787883966
CDH1,2822.0935641419583
CDH11,1695.0589928043553
CDH3,5193.495668441873
CDK4,1393.8938281013468
CDK6,1762.239314947542
CDK7,2463.2294723075115
CDKN2A,2371.7872146457403
CEACAM1,1976.086247497816
CENPF,6264.683633229732
CEP55,1913.2105000066135
CLDN4,1821.7495539187526
CLU,2489.8725616733786
COBL,1485.3129102725686
COL1A1,1577.5692052399497
COL1A2,1512.645136014383
COL3A1,1557.0345824051465
COL4A1,1718.2250558034734
COL4A2,1572.7320175078394
COL4A5,1650.6313432130337
CR2,1820.7000634896747
CRABP2,1632.7549204372676
CSRP2,1735.9596118339632
CST3,1579.0713388982133
CSTB,2909.7958080468793
CTCF,2225.736961597564
CTLA4,1869.3153994730328
CTSL,1591.7653663006317
CXCR5,1865.0033150011257
CXXC5,2102.257806529918
DCN,1804.725339505418
DERL3,1744.9969315033306
EFNA5,6754.160732945617
EGFR,2186.7059687638553
EIF3E,2470.177626575898
ELF5,1881.8819231695095
EPCAM,5403.323170010059
ERBB3,2441.77311516641
ERBB4,6324.089189771678
ESR1,1910.3789415075632
FABP7,1746.8361452936515
FAP,1799.8564877225833
FASN,1373.240775211715
FAT1,2135.449566490039
FCGR3A,1657.0650454036193
FCN1,1816.4856471626474
FCRL5,1785.7430166989784
FGFR1,1641.409087685472
FGFR2,2241.067922733187
FGFR4,1903.9887680971108
FN1,1855.1555395430341
FOS,1730.3478055408152
FOXA1,6511.612386529987
FOXC1,4206.26963880619
FOXP3,1576.9485476718378
FXYD3,2439.9327968942957
GATA3,1713.033089351907
GNG11,1872.8091604815518
GNLY,1791.0382428828805
GPNMB,1587.8524926056825
GPR160,6165.533564693029
GRB7,6090.463386277773
GSN,1647.2503766605428
GZMB,1705.411015352659
HIF1A,4257.612682564347
HLA.A,1420.5426746360763
HLA.B,1018.468241823792
HLA.C,1357.7669900332287
HLA.DPA1,1810.5140987428517
HLA.DRA,1537.6546363812297
HLA.DRB1,1526.3869047104135
HLA.DRB5,1887.5908797824463
HLA.E,1130.8744748870577
HSPB1,1511.5491710560248
HSPG2,1663.064522629797
ICAM1,1885.6463459946538
ICOS,1638.104985063136
IFITM3,1975.914613984366
IGF1R,1692.414658236184
IGFBP5,1513.1843437696841
IL2RA,4201.741232029979
IL32,1952.3132974353693
IL3RA,1823.0695733706705
IL7R,1913.8777482868788
ISG15,1307.2700413029918
ISG20,1550.6087065918803
ITGA6,2237.2958538512994
ITGAX,1612.8190384745612
JUN,1146.9990423331383
JUNB,1251.9977159047144
KIF23,2522.058911018444
KIT,1865.0184046335091
KRAS,2549.9234920733043
KRT10,1810.9105463735762
KRT14,1721.727824744912
KRT15,1648.322825973164
KRT17,1675.1590639925387
KRT18,1211.112668809726
KRT19,3015.8357320092823
KRT5,1760.4863146386767
KRT7,2345.6706723357356
KRT8,1221.7677543377295
LAG3,1640.3442603819108
LAMA1,1630.9472983430142
LAMC1,2479.8073659695942
LDB2,1550.0624819295658
LGALS1,1581.1217972404377
LGALS2,1928.1519236837398
LGMN,1432.7659659688222
LILRB1,1750.0612732647899
LRP2,1831.825135911901
LST1,1837.4259595306937
LTF,1785.5416771944701
LUM,1595.5489139752578
LYPD6B,1757.8709355212277
LYZ,1538.3297693746883
MAPK13,1534.373175892912
MAPK3,1678.3821994778493
MDM2,2152.7963834603743
MELK,3664.434046769292
MIA,1788.8133948645973
MKI67,2017.6491556341477
MLPH,4293.244810190988
MMP11,2017.039178561229
MMP12,1819.965403620931
MMP9,1800.1342324731088
MS4A1,1747.4837259976725
MSR1,1525.6016582215161
MT2A,1626.0988577113937
MUC1,2677.057135148638
MYB,1625.500950742147
MYBL2,1286.482915432339
MYC,1651.358243196546
MYL6,1210.3358967407944
MYL9,1581.0006877347798
MYLK,1924.800190621648
MYO10,1500.756731556073
MYO5B,2033.5676429824243
MZB1,1636.2675770321825
"NAT1",1602.788761896144
NCAM1,1762.5552517799931
NDC80,1912.7497747800073
NDRG2,2944.6206648189545
NF1,1608.8796354841625
NFKBIA,1569.86568073002
NKG7,2099.325448574174
NOTCH1,1576.560787184142
NR3C1,1692.0764133032392
NUF2,1789.397720952849
OBP2B,1721.4697977492306
ORC6,3550.168119057522
PABPC1,1217.1359961974365
PBK,2217.2515096215297
PDCD1,1543.8206808298485
PDPN,1716.3816330579346
PDZK1IP1,1831.8877324170232
PECAM1,1799.4142915779448
PGR,1735.359623131749
PHGDH,1436.9690746765336
PI3,1712.643767260364
PIK3CA,1600.0073349296879
PLEK,1445.2903744894327
PLVAP,1627.7808420923593
POU2AF1,1862.272992724828
PRLR,1538.1671158894608
PTEN,1678.5453856519568
PTPRB,2005.3594344206438
PTPRC,1979.9472285513164
PTTG1,1640.641907194191
RAMP2,1819.5349570506555
RB1,3020.541008574629
RPL13,1470.6700756785683
RPL18,1539.5782943091651
RPSA,1305.9533676150065
RRM2,2095.1570100018866
S100A14,1616.2122818155162
S100A4,1563.591030239041
S100A8,1903.486297214811
S100A9,1625.7723114385092
SDC1,1390.8779764079916
SFRP1,1943.9938970892565
SIAH2,1607.6666957931282
SKAP1,1799.9869098937781
SLC2A1,2764.814209978233
SLC39A6,3059.7166605703133
SLPI,1566.7747409470198
SNAI2,1720.6922206556787
SOX10,1856.0820606306443
SOX18,1795.8452459775517
SOX4,3233.4043906683387
SPDEF,1930.2626320214886
SPP1,1606.5673630727251
STAT5A,1756.398214812956
STMN1,1267.405442842806
SULF1,1618.562461489625
TAGLN,1750.9340458487745
TBX21,1723.4066936217223
TCF4,1808.14665550288
TCL1A,1745.5823448588171
TFEC,1827.3532977126167
TFF1,1892.47357063715
TFF2,1702.490777572646
TFF3,1667.3454096735481
TFRC,5289.9603967445155
THEMIS,1522.2118272088849
THY1,1722.029690724516
TIMP1,1768.2727129883613
TMEM45B,1796.3615152650702
TMSB10,1412.1666271480092
TP53,1200.320187304154
TPM2,1695.598183009496
TRAC,1726.1652380855103
TRDC,1762.028364600076
TSPAN1,1914.4896637422933
TTC6,8050.679646778474
TTYH1,2066.073716014696
TYMS,1526.4538539143737
UBE2C,1652.9485695097244
UBE2T,2256.619229823794
VIM,1417.4841856129365
VSIR,1600.2039694669322
XBP1,1233.8675612673615
XCL1,1725.2792885101255
ZEB1,1692.4186849313833
ZNF571,1828.9514585485697
