target,imp
ACTA2,921.8048007165082
ACTG2,368.9292154984441
ACTR3B,720.1597589568572
ADGRL4,394.73032314473414
AGR2,1100.7333134378434
AHR,967.8085061387309
AIF1,686.223061587356
AKT1,1069.2652280603593
ALDH1A3,942.1349745979992
ANLN,805.6507881677369
AP1M2,667.9009386889925
APOC1,1392.6980264555486
APOE,1805.6237695326374
AR,589.9935148514575
AURKA,920.51030683168506
AZGP1,1272.3637736831154
B2M,1725.7156691883868
BAG1,1378.8914905133308
BANK1,575.9166530188462
BCL2,553.5123917851348
BGN,1442.3685989231326
BICC1,497.19574202560017
BIRC5,372.949794870173
BLVRA,958.3560862185177
BRAF,448.3569422956536
C1QA,1899.9385692750823
C1QB,2008.120093388242
CALCRL,590.7037337090883
CAPN13,870.1936613662826
CCL2,544.6094528615199
CCL3,1083.4222183162224
CCL4,505.54466918792144
CCL5,639.8247019271565
CCNB1,922.1053564891829
CCND1,1411.7077899615015
CCNE1,716.373078005576
CCNE2,535.632465802531
CD14,659.5640195160205
CD163,1671.8164463397716
CD19,437.2035672089871
CD2,626.9793246717302
CD24,1482.0966670087466
CD274,410.58601888541483
CD34,668.948219919534
CD36,1060.1941034829636
CD38,402.6324485017113
CD3D,660.619047870729
CD3E,511.80079651481634
CD3G,531.8280165749896
CD4,830.491402378032
CD40,836.2321408937121
CD40LG,755.8307212955051
CD44,626.9120123209816
CD5,705.2738912537515
CD63,1536.8872131710807
CD68,726.5176302095792
CD69,492.7533047309882
CD7,383.84943824417
CD74,2260.0942238970915
CD79A,586.446881275271
CD79B,596.60537388052
CD8A,455.2324455154667
CD9,810.6988420396773
CD96,510.05065625918445
CDC20,780.296813646743
CDC6,767.492763117676
CDH1,1232.159872506655
CDH11,404.12177846234823
CDH3,496.67390652320415
CDK4,1191.4989252516343
CDK6,610.4783451309389
CDK7,932.2777983563725
CDKN2A,938.532403886674
CEACAM1,769.3365296681229
CENPF,863.7433982733361
CEP55,841.5370186499421
CLDN4,423.22684353501296
CLU,650.2804670435166
COBL,983.8191556885868
COL1A1,1079.2485779150902
COL1A2,1257.8506274476977
COL3A1,1156.8194001717259
COL4A1,1190.2527135576065
COL4A2,1115.0938680833672
COL4A5,642.7136240109817
CR2,332.0979475407221
CRABP2,910.6605873901487
CSRP2,482.0987828994779
CST3,692.9970115736023
CSTB,716.7434269597869
CTCF,1394.184917746234
CTLA4,377.65005819775325
CTSL,1165.0115142036964
CXCR5,664.3709336611614
CXXC5,806.0706060100545
DCN,596.0460918103508
DERL3,631.1967444533066
EFNA5,558.6433681326859
EGFR,592.6662962245979
EIF3E,1186.9281133152895
ELF5,789.4527039693149
EPCAM,1286.4954842131742
ERBB2,1506.2919935686173
ERBB3,1133.915123565271
ERBB4,753.30238972759
ESR1,427.08146751399573
FABP7,734.4415220196487
FAP,571.7590767754126
FASN,1536.954331954013
FAT1,610.781832091854
FCN1,521.5140130680113
FCRL5,426.87018480975644
FGFR1,534.2455591900639
FGFR2,557.2055571606414
FGFR4,594.1484906618431
FN1,1487.794060405142
FOS,824.8458044833902
FOXA1,1400.9459908351023
FOXC1,1049.061062651492
FOXP3,542.489580714192
FXYD3,863.3175267370918
GATA3,821.8440309107554
GNG11,504.52065015140926
GNLY,417.83764976249813
GPNMB,1521.205622951489
GPR160,765.4484554002187
GRB7,1146.9119343594564
GSN,981.6572139905476
GZMB,402.9695169048418
HIF1A,1473.0496468561303
HLA.A,961.5533352353318
HLA.B,1626.3202579628144
HLA.C,1031.880325158113
HLA.DPA1,1562.0842444907164
HLA.DRA,1988.2990786839803
HLA.DRB1,857.3793854580924
HLA.DRB5,578.4779810529571
HLA.E,1529.3894163907298
HSPB1,1604.0456848384856
HSPG2,639.9517401349817
ICAM1,588.4510436497684
ICOS,483.4188442006873
IFITM3,1078.2307082062248
IGF1R,633.4567531981361
IGFBP5,1663.124804204836
IL2RA,524.7568121461626
IL32,907.6019573613505
IL3RA,381.6833134208373
IL7R,331.50015970966376
ISG15,1466.9350036847222
ISG20,797.1328529322409
ITGA6,981.377855882974
ITGAX,1291.8843751408335
JUN,1532.5054451140604
JUNB,1355.8474419339411
KIF23,723.5025768469773
KIT,461.08144678780974
KRAS,1025.9222130777669
KRT10,418.436751038573
KRT14,271.4645372499514
KRT15,372.01517800704255
KRT17,434.09886449853343
KRT18,1524.1415510057343
KRT19,1547.4500877033079
KRT5,751.2382293045288
KRT7,1443.7098118792162
KRT8,1676.290634084001
LAG3,570.4869957548697
LAMA1,426.6789191822884
LAMC1,856.5308769599229
LDB2,950.0167539746938
LGALS1,1679.9414628457475
LGALS2,408.3507217892997
LGMN,3223.7087658150786
LILRB1,1142.4688968144346
LRP2,391.1499031790162
LST1,683.9359123430658
LTF,529.6155154352887
LUM,1174.3768295949044
LYPD6B,397.818368130766
LYZ,1877.0979190152668
MAPK13,1121.174953377049
MAPK3,679.0789719052374
MDM2,612.6293904829347
MELK,749.1175079628424
MIA,331.3333150521651
MKI67,658.8526452437823
MLPH,830.7779920745729
MMP11,758.0787716796127
MMP12,396.25788261094317
MMP9,240.52860937858622
MS4A1,420.178727160939
MSR1,1761.9371547902733
MT2A,625.6005284292772
MUC1,1129.3330294101372
MYB,432.5828563130791
MYBL2,946.9993344204335
MYC,815.0857076854478
MYL6,1825.0370554383562
MYL9,1114.592831315348
MYLK,1348.9182170210668
MYO10,974.3733226621652
MYO5B,840.0556372721873
MZB1,575.174326466319
"NAT1",608.7622226935968
NCAM1,548.2021735904665
NDC80,671.6022929581262
NDRG2,1010.4392349408644
NF1,963.3249122009486
NFKBIA,1019.8730218589262
NKG7,617.9015900302535
NOTCH1,857.3173548521798
NR3C1,1010.1391314641919
NUF2,585.6885145187554
OBP2B,403.3707337493326
ORC6,793.0363548553142
PABPC1,1686.2611929034078
PBK,603.0393776019941
PDCD1,441.6700459669579
PDPN,308.1995526438109
PDZK1IP1,763.4200105639105
PECAM1,633.5185541294547
PGR,305.2237573186732
PHGDH,958.8324803294371
PI3,381.9143548616334
PIK3CA,867.9974327582021
PLEK,1534.4992477419094
PLVAP,901.4192097400472
POU2AF1,459.97954081413235
PRLR,719.0558724490621
PTEN,702.4662886746368
PTPRB,590.483628961324
PTPRC,570.9180895173643
PTTG1,669.9111875601296
RAMP2,560.5531297902924
RB1,940.8159930222984
RPL13,1003.6016882234693
RPL18,818.3763862080215
RPSA,1458.8189067216285
