target,imp
ACTA2,1707.9571549299255
ACTG2,370.3716340145288
ACTR3B,875.0437531093185
ADGRL4,292.23219444709343
AGR2,1983.597062725926
AHR,970.8878394432082
AIF1,768.3143187494336
AKT1,1468.9716122785085
ALDH1A3,1271.510161240031
ANLN,997.0099683628447
AP1M2,694.7245988706272
APOC1,14537.933824490081
APOE,10965.301685618177
AR,2481.5548576275983
AURKA,1666.2364542060425
AZGP1,5722.23490470702
B2M,6050.109130591991
BAG1,2790.522344699175
BANK1,519.7738969499128
BCL2,586.1436857190106
BGN,7358.532915669755
BICC1,687.6385887298642
BIRC5,332.36711874486406
BLVRA,1139.7966392793126
BRAF,331.21044495907404
C1QA,2667.324490413112
C1QB,2186.295004537411
CALCRL,540.9665366694518
CAPN13,1170.0652135992223
CCL2,394.84013404371626
CCL3,1230.278284657761
CCL4,506.5153519493945
CCL5,755.3750329227634
CCNB1,1414.1806527027961
CCND1,3595.566829206169
CCNE1,849.3287426064023
CCNE2,591.9811282245976
CD14,879.4045060983867
CD163,1706.338380166353
CD19,308.9302800344042
CD2,1584.3524324310781
CD24,7141.475762257156
CD274,436.61106745647317
CD34,1211.1437133715915
CD36,1811.1491034866945
CD38,262.22507272823054
CD3D,1244.1795765023392
CD3E,1452.4677538739875
CD3G,469.0290699495833
CD4,1262.7669770788611
CD40,998.0284254811206
CD40LG,744.9816950728451
CD44,822.6104881480219
CD5,907.0610051296494
CD63,3332.718052436196
CD68,840.2574046484842
CD69,591.3657975231107
CD7,341.6052520845091
CD74,9891.346766877095
CD79A,477.8272170152839
CD79B,546.7501424318752
CD8A,581.5740122545304
CD9,951.739084468789
CD96,750.052339779096
CDC20,1100.457070924324
CDC6,944.7779998931644
CDH1,4170.526844625198
CDH11,1456.8427195946358
CDH3,405.4249438724065
CDK4,1811.6085769198035
CDK6,486.60807969606657
CDK7,995.1835935873798
CDKN2A,1198.2413677058905
CEACAM1,1580.4675675947801
CENPF,1362.2016182417253
CEP55,1280.173267506459
CLDN4,416.41886930670705
CLU,8813.874156218704
COBL,1579.9480537806098
COL1A1,26435.861376725104
COL1A2,22627.36673767874
COL3A1,20413.423459972284
COL4A1,15779.028773288723
COL4A2,8725.048418704842
COL4A5,804.9294994747962
CR2,259.2237223343011
CRABP2,2046.6427426223443
CSRP2,637.2938400309719
CST3,736.8506001675054
CSTB,868.3733440211133
CTCF,3012.7652121513825
CTLA4,244.58087926997257
CTSL,1949.4882398652867
CXCR5,585.8525554907801
CXXC5,895.7803346347795
DCN,883.0150901605093
DERL3,412.7503191772352
EFNA5,640.4558377011218
EGFR,6583.19994460754
EIF3E,2136.5390215345506
ELF5,686.3760719698685
EPCAM,8900.6882896517891
ERBB2,14567.395556922484
ERBB3,2150.888923458537
ERBB4,658.3780210721695
ESR1,373.27654576441137
FABP7,1058.4178076816909
FAP,575.1750511384812
FASN,5425.379574781797
FAT1,633.572686526759
FCGR3A,2023.6720801468616
FCN1,787.9750785240013
FCRL5,400.5476541103577
FGFR1,627.0398102143662
FGFR2,1178.0751353889348
FGFR4,979.5145382421073
FOS,794.992211826626
FOXA1,5433.3044698327985
FOXC1,1382.9516196836457
FOXP3,797.9823856694596
FXYD3,1204.0922321815015
GATA3,1096.5258048569267
GNG11,444.0939854894694
GNLY,430.90668925097503
GPNMB,1073.1068612238764
GPR160,889.9207185502341
GRB7,2551.013966968111
GSN,1090.2735202232848
GZMB,350.0432501330455
HIF1A,3810.871718628241
HLA.A,1545.3577823708756
HLA.B,5426.50588564514
