target,imp
ACTA2,238.5561778066118
ACTG2,115.84589582200411
ACTR3B,188.1143620130809
ADGRL4,86.30599113182352
AGR2,505.12293011030465
AHR,277.9424662186298
AIF1,186.4859216848294
AKT1,332.1414572656712
ALDH1A3,247.7523484767261
ANLN,220.2817296381468
AP1M2,287.07765947771173
APOC1,539.2293671494659
APOE,472.0647135829659
AR,178.10366498804237
AURKA,334.83103284538004
AZGP1,559.30353230584706
B2M,764.4595371019494
BAG1,436.65246721884506
BANK1,162.6772939826572
BCL2,286.23720596241657
BGN,517.8175655628023
BICC1,88.1084521022734
BIRC5,177.7892997577498
BLVRA,319.6722030423167
BRAF,129.4734358398115
C1QA,414.8623902695647
C1QB,322.7464984384962
CALCRL,167.72029100471306
CAPN13,343.1191627210831
CCL2,122.43453841131543
CCL3,290.1090006697827
CCL4,196.88347777964026
CCL5,179.61223399372977
CCNB1,343.125237722028
CCND1,494.3521757471902
CCNE1,228.6380605236597
CCNE2,218.8137407421851
CD14,246.50216886542884
CD163,362.2623050803351
CD19,123.75548900999397
CD2,222.54378845454846
CD24,693.9540475534424
CD274,174.38779426101848
CD34,217.32499863521235
CD36,299.9213101622691
CD38,142.35181927988017
CD3D,216.87499866273654
CD3E,211.3209340175963
CD3G,197.611022346837
CD4,237.0742816301716
CD40,215.92739235099023
CD40LG,119.96904243790017
CD44,215.94437926388179
CD5,215.71137437837373
CD63,522.7960685825446
CD68,218.85802404251248
CD69,165.65149637966664
CD7,100.95264908507312
CD74,848.4909617178168
CD79A,248.72079505661375
CD79B,163.0187946963964
CD8A,120.60412684554461
CD9,261.76504119201525
CD96,168.95565244796973
CDC20,303.04795511136695
CDC6,199.80888850182293
CDH1,625.8415537740267
CDH11,127.55172710871074
CDH3,178.66718120138972
CDK4,400.8268044282902
CDK6,120.20530216157222
CDK7,193.82998070688453
CDKN2A,304.77817206177866
CEACAM1,217.5629835183579
CENPF,314.0167600503518
CEP55,327.8169557564467
CLDN4,246.10070298456057
CLU,300.47512708219153
COBL,326.981757534063
COL1A1,437.75654576053535
COL1A2,417.98221854744565
COL3A1,408.14114033535486
COL4A1,374.38817866616193
COL4A2,343.96010469474163
COL4A5,253.17383805409906
CR2,163.01141615381613
CRABP2,422.05980709025755
CSRP2,208.4145209820805
CST3,198.76418903391234
CSTB,235.1107168588003
CTCF,494.99511227431617
CTLA4,105.48609609688738
CTSL,405.01811736985326
CXCR5,176.96979905571192
CXXC5,233.56434400055448
DCN,156.1063445842373
DERL3,194.3253604148344
EFNA5,236.33660602280312
EGFR,132.59575069221322
EIF3E,609.290379693014
ELF5,163.9844981697758
EPCAM,676.2305051629311
ERBB2,713.5317787199128
ERBB3,456.626703987099
ERBB4,227.37608706674976
ESR1,142.33763933157618
FABP7,269.85882030810114
FAP,128.88448996717025
FASN,804.5817389431344
FAT1,166.03911674124865
FCGR3A,371.7725383677485
FCN1,241.32533624479103
FCRL5,150.40215045713978
FGFR1,191.95326955851522
FGFR2,206.19921308130841
FGFR4,191.66599506982112
FN1,611.2224065711941
FOS,253.8060744558149
FOXA1,610.4126174888755
FOXC1,247.44371742658004
FOXP3,224.46948448776556
FXYD3,341.1797215782737
GATA3,262.1378859914281
GNG11,146.3489519673171
GNLY,102.4404254723764
GPNMB,256.308653972235
GPR160,317.9207960882505
GRB7,450.7363857541578
GSN,237.90859469845375
GZMB,138.1877702586049
HIF1A,544.6390334817422
HLA.A,306.5478211629911
HLA.B,670.2312080840702
HLA.C,321.1470816154933
HLA.DPA1,316.34441950202125
HLA.DRA,623.2594290493631
HLA.DRB1,232.02034423367564
HLA.DRB5,149.50305054361326
HLA.E,623.8913370500668
HSPB1,759.5339996011504
HSPG2,220.55742696225178
ICAM1,250.4137397314996
ICOS,129.0147922958045
IFITM3,348.4754033526467
IGF1R,188.81125217531851
IGFBP5,593.7753131199896
IL2RA,170.37401894607268
IL32,346.9031912088077
IL3RA,68.5128346995484
IL7R,162.5911403495002
ISG15,441.53726490397224
ISG20,213.01758051325822
ITGA6,258.19473858378217
ITGAX,313.4814195657372
JUN,586.4289412138936
JUNB,459.00823327837696
KIF23,296.67957335959954
KIT,191.33222191802304
KRAS,345.370978040137
KRT10,101.44171851914557
KRT14,85.40945241500093
KRT15,163.96499564956312
KRT17,139.68299364079022
KRT18,804.1210648413191
KRT19,972.5835983662702
KRT5,212.01205183002415
KRT7,875.838078762809
KRT8,1066.4008553177619
LAG3,117.45548371587387
LAMA1,122.67219955709979
LAMC1,316.55368968960045
LDB2,281.4425547121798
LGALS1,593.3426983264197
LGALS2,132.97010497172528
LGMN,447.6277524244699
LILRB1,240.86595347854134
LRP2,165.33290845857897
LTF,152.90899469449624
LUM,296.39476378919835
LYPD6B,108.4020173993549
LYZ,548.1895962214638
MAPK13,289.31020690769606
MAPK3,191.10101191374426
MDM2,181.6273092103085
MELK,222.61563713465534
MIA,167.5106601396553
MKI67,208.2052859320023
MLPH,310.3789514463103
MMP11,238.48926397632556
MMP12,108.21590355992053
MMP9,90.60172029733019
MS4A1,186.95121010192818
MSR1,268.0016107489771
MT2A,252.63965364162098
MUC1,370.3352512023454
MYB,91.85256439509509
MYBL2,495.7703021578457
MYC,219.6307503008342
MYL6,696.430524183378
MYL9,321.25717859694697
MYLK,414.40282877764423
MYO10,298.7515127199375
MYO5B,391.3604156795458
MZB1,242.18175891535077
"NAT1",189.06579886572464
NCAM1,170.8540707416624
NDC80,128.84780342232915
NDRG2,392.4961992908826
NF1,256.440401728204
NFKBIA,338.0012734915757
NKG7,141.40879851733246
NOTCH1,216.27762460457288
NR3C1,283.0715041670111
NUF2,139.43721904158326
OBP2B,138.2581947650784
ORC6,296.5782906147443
PABPC1,1016.5398583136406
PBK,175.25478942997185
PDCD1,221.28502409225115
PDPN,127.50466292437574
PDZK1IP1,192.04259557058506
PECAM1,251.89260203055974
PGR,134.65021258661938
PHGDH,400.89777092202183
PI3,92.35572991670693
PIK3CA,278.9391298028091
PLEK,317.0516511717857
PLVAP,316.5706638655458
POU2AF1,166.91915993235577
PRLR,175.15818267981894
PTEN,140.23285552459257
PTPRB,178.70190048510383
PTPRC,158.46340754067495
PTTG1,219.081811453215
RAMP2,175.15502705459818
RB1,212.8648564057651
RPL13,290.85482814360324
RPL18,283.75566221403574
RPSA,582.1069644455443
RRM2,168.07966130439027
S100A14,403.566587252064
S100A4,287.5621918950835
S100A8,186.48498420889595
S100A9,213.22142387040435
SDC1,599.0881650751701
SFRP1,195.00729318386587
SIAH2,367.670866808043
SKAP1,195.83057228566994
SLC2A1,253.70565864403935
SLC39A6,309.65980949482383
SLPI,339.1490369518708
SNAI2,149.74081647012363
SOX10,139.074474880698
SOX18,95.50326517975982
SOX4,386.5587635843824
SPDEF,387.9461761355615
SPP1,151.94351252197953
STAT5A,137.45328273616028
STMN1,596.5482082691168
SULF1,170.7210403326939
TAGLN,203.08271873929368
TBX21,147.20564084582125
TCF4,115.31051647524673
TCL1A,118.24382060065831
TFEC,153.69470245427615
TFF1,259.1363525079872
TFF2,139.21407194736747
TFF3,293.0695897877789
TFRC,255.07794059891958
THEMIS,160.33036438459987
THY1,186.25919230015253
TIMP1,337.8519632163365
TMEM45B,237.9002139703042
TMSB10,953.6241129875457
TP53,499.8820052324692
TPM2,240.36728007282338
TRAC,203.55915328641385
TRDC,167.67833764645522
TSPAN1,219.3278211673839
TTC6,357.9715344769977
TTYH1,130.73514103541302
TYMS,291.8799694890415
UBE2C,185.04931974444906
UBE2T,236.90682908342728
VIM,838.1894949941552
VSIR,135.31638422285118
XBP1,952.7852843037394
XCL1,111.29540434541853
ZEB1,215.29661132252616
ZNF571,295.31327900015646
