target,imp
ACTA2,509.0826725568245
ACTG2,508.9117390453864
ACTR3B,537.6520614648023
ADGRL4,570.9600321795433
AGR2,463.5760468454026
AHR,513.1441422991768
AIF1,525.0799903131937
AKT1,516.9953826505268
ALDH1A3,509.28082099424404
ANLN,451.15972537916224
AP1M2,621.06742920163
APOC1,400.8094519494018
APOE,455.9334081704102
AR,581.5647314974618
AURKA,523.8419007112784
AZGP1,414.5995599346087
B2M,369.74024776403144
BAG1,403.57240509465623
BANK1,565.120373639814
BCL2,607.2565410780267
BGN,481.09928090905197
BICC1,575.6137299108248
BIRC5,596.3425776758279
BLVRA,508.0955673324455
BRAF,571.4794435437608
C1QA,472.4551631566756
C1QB,455.5285699066119
CALCRL,548.3302773135902
CAPN13,462.6789092367886
CCL2,545.627235603516
CCL3,508.17438160053956
CCL4,584.4823275026113
CCL5,569.9710933284907
CCNB1,513.8078023064434
CCND1,386.2921574335915
CCNE1,601.3461428359678
CCNE2,556.0239414678895
CD14,567.1553223964603
CD163,512.1046153270878
CD19,624.5261717799914
CD2,465.28894121018874
CD24,358.1188894646141
CD274,561.9025724220306
CD34,528.0110961171786
CD36,495.8982057313954
CD38,586.76126338385
CD3D,531.4380163569489
CD3E,434.2046492886873
CD3G,652.1987336382076
CD4,518.6589961131408
CD40,554.7676046422763
CD40LG,576.0718527501688
CD44,608.2797156304022
CD5,432.66402194909847
CD63,420.64925853065193
CD68,598.4787922205005
CD69,490.40506360961285
CD7,608.9339462671359
CD74,369.4748524123104
CD79A,578.3754274370608
CD79B,589.467763186261
CD8A,610.2096073890973
CD9,543.5207186466794
CD96,503.9027643670963
CDC20,510.642210622861
CDC6,492.25589665823804
CDH1,354.6515097140447
CDH11,573.6630615262312
CDH3,557.8759915752565
CDK4,521.0091898083947
CDK6,581.6181314060756
CDK7,472.27216171259005
CDKN2A,502.9982701333119
CEACAM1,489.38402306854806
CENPF,408.5809258060825
CEP55,518.8545235782484
CLDN4,555.1790523998371
CLU,530.2516676820813
COBL,496.6770635083904
COL1A1,448.38840957453135
COL1A2,457.647493839066
COL3A1,439.29412607272513
COL4A1,481.24682132079215
COL4A2,474.2990804933272
COL4A5,596.8480382844384
CR2,574.1343509895516
CRABP2,505.1277733093464
CSRP2,636.8064530419786
CST3,578.3841185887358
CSTB,516.1464575318001
CTCF,370.9478039050818
CTLA4,593.9789870004745
CTSL,471.60307480778545
CXCR5,628.9549847344641
CXXC5,559.6963726017731
DCN,554.4612083069463
DERL3,591.8007112570144
EFNA5,546.2580957781691
EGFR,548.3384266005457
EIF3E,413.790352707165
ELF5,555.9088257518864
EPCAM,330.5577344421448
ERBB2,318.80534569584324
ERBB3,468.4901065224969
ERBB4,495.5138440216187
ESR1,635.834083051973
FABP7,527.1660415011856
FAP,587.0795207477187
FASN,371.4158565834836
FAT1,597.1641669012147
FCGR3A,482.37570277726263
FCN1,576.969712641111
FCRL5,645.7736623533783
FGFR1,555.4398381948087
FGFR2,563.4623750764657
FGFR4,539.9798443169581
FN1,391.5965543647196
FOS,598.8792004352905
FOXA1,325.5345524417868
FOXC1,459.3816421321738
FOXP3,576.0421366912332
FXYD3,536.601476884394
GATA3,516.195908719895
GNG11,604.2646508645065
GNLY,612.0795080163887
GPNMB,526.5294252461358
GPR160,488.2539502554205
GRB7,404.1975719069201
GSN,551.9719792157133
GZMB,593.1846481493022
HIF1A,380.9599044593794
HLA.A,498.2140429989488
HLA.B,358.4636855240939
HLA.C,447.1793851785956
HLA.DPA1,454.0911622044086
HLA.DRA,349.7726258509011
HLA.DRB1,563.5763472647186
HLA.DRB5,593.8070516309409
HLA.E,384.61795306958544
HSPB1,442.2090675289472
HSPG2,578.5695275831397
ICAM1,504.31804375193593
ICOS,555.8013814266907
IFITM3,544.916427227578
IGF1R,520.2567309108346
IGFBP5,454.96380582933415
IL2RA,543.5231493740496
IL32,494.6689528747996
IL3RA,544.11502448471
IL7R,500.32427052653856
ISG15,474.86220809354126
ISG20,539.4536112807258
ITGA6,474.28422429109355
ITGAX,471.5892682783088
JUN,385.517570625394
