target,imp
ACTA2,490.54806360524503
ACTG2,209.3933121595505
ACTR3B,291.656841864937
ADGRL4,155.10640870777954
AGR2,371.45845067054637
AHR,388.9749526276436
AIF1,210.48505401036525
AKT1,372.77751609515354
ALDH1A3,435.4522480461985
ANLN,270.82281699409424
AP1M2,263.12379536032336
APOC1,511.90593072662466
APOE,465.7591624691619
AR,247.60547721934788
AURKA,297.4859600784283
AZGP1,468.3382546154598
B2M,679.2566271849214
BAG1,522.4875366056797
BANK1,213.91873485113592
BCL2,199.26332647871905
BGN,561.9053131228649
BICC1,271.7756609471125
BIRC5,225.67688349588826
BLVRA,339.83687727781523
BRAF,224.90550208000116
C1QA,349.0499078734911
C1QB,390.860263010001
CALCRL,277.546781075233
CAPN13,366.2783620395449
CCL2,307.4591041083047
CCL3,273.36419980102954
CCL4,158.59082759256933
CCL5,222.46079232798863
CCNB1,294.36723813970787
CCND1,516.9140843227772
CCNE1,302.8966335881414
CCNE2,296.5688443488292
CD14,216.06502173524876
CD163,306.2281375924328
CD19,229.3203032000338
CD2,192.76981408332603
CD24,572.0392888065803
CD274,234.70164635127443
CD34,263.9838959247415
CD36,405.9112868075358
CD38,182.21763606617074
CD3D,310.8290986247841
CD3E,141.8448313408902
CD3G,231.28184321718228
CD4,233.7214437947587
CD40,248.784753367258
CD40LG,431.28132451086356
CD44,255.81198619812005
CD5,285.15133398537216
CD63,564.1529365567532
CD68,210.00034522263854
CD69,158.4261073284455
CD7,102.8973628668385
CD74,781.3311978403505
CD79A,183.3654424505795
CD79B,213.44232975960117
CD8A,230.1021507151523
CD9,346.89456071492526
CD96,181.80908222380864
CDC20,258.506082526266
CDC6,310.01812579974404
CDH1,476.81306778681505
CDH11,616.6896901380995
CDH3,233.5995539741969
CDK4,395.99067591794903
CDK6,210.0170288328337
CDK7,347.36887223771356
CDKN2A,315.56145778119344
CEACAM1,295.00639996081355
CENPF,301.80992059890565
CEP55,305.5919690431539
CLDN4,203.73473233323702
CLU,274.37686731834395
COBL,337.34470026286004
COL1A1,906.4411683108025
COL1A2,787.9049065394973
COL3A1,954.8453941081193
COL4A1,713.7934209831158
COL4A2,422.53314303594976
COL4A5,232.9886076490995
CR2,176.44349770131757
CRABP2,328.9881599436009
CSRP2,213.73159239057406
CST3,242.2947344736293
CSTB,277.7028802082773
CTCF,534.7043099415881
CTLA4,122.65378976982187
CTSL,403.6499426681396
CXCR5,247.11709123206535
CXXC5,304.5563407681755
DCN,348.02903523134484
DERL3,290.7272739929436
EFNA5,257.24139037801103
EGFR,232.467910507075
EIF3E,490.40047909323374
ELF5,196.5192217322013
EPCAM,496.16600984654855
ERBB2,530.3558749378033
ERBB3,409.2805065010109
ERBB4,336.59525524562616
ESR1,212.41482388556898
FABP7,360.29538157550763
FAP,440.06100941451865
FASN,610.7887530037553
FAT1,280.57289992354276
FCGR3A,398.4745222518492
FCN1,162.3874675430053
FCRL5,182.59873041120656
FGFR1,222.58652072495505
FGFR2,245.86751966847126
FGFR4,189.7781907394319
FN1,744.1775338161443
FOS,254.62045176917343
FOXA1,465.40028600052705
FOXC1,383.98449366388354
FOXP3,177.9452504522967
FXYD3,387.12790480444886
GATA3,264.3825406553526
GNG11,205.11543394272314
GNLY,179.14468628282677
GPNMB,240.58186219534286
GPR160,241.04719682047238
GRB7,399.00685070113593
GSN,285.7062058889574
GZMB,158.60586713759704
HIF1A,474.43001762294267
HLA.A,298.9633129405888
HLA.B,653.4759147557995
HLA.C,425.41528936876637
HLA.DPA1,340.36048268993545
HLA.DRA,663.2258582439975
HLA.DRB1,164.07329159525722
HLA.DRB5,245.3230949079186
HLA.E,555.7362931349975
HSPB1,593.9757725822367
HSPG2,291.999979710025
ICAM1,196.0300343575404
ICOS,239.9900761194027
IFITM3,405.71185918371316
IGF1R,303.2822356191301
IGFBP5,771.6755681043531
IL2RA,206.93907200325074
IL32,323.6466170206289
IL3RA,199.7559688964567
IL7R,113.98457780210819
ISG15,591.2224556388944
ISG20,308.1633620829689
ITGA6,285.3388044462544
ITGAX,273.9587567171221
JUN,584.0661872296639
JUNB,556.2325589271901
KIF23,236.07778004560464
KIT,231.93505807627548
KRAS,359.97446757384853
KRT10,100.17048482822376
KRT14,162.8552439829984
KRT15,177.94605820163648
KRT17,217.80025697804638
KRT18,539.7601053570673
KRT19,562.540864849175
KRT5,215.50687289082714
KRT7,578.3721561445878
KRT8,609.8215054599013
LAG3,210.00974945546056
LAMA1,187.46803120007561
LAMC1,404.99181523745824
LDB2,414.6294696139935
LGALS1,550.3442150903315
LGALS2,147.85579501822411
LGMN,475.13409589793497
LILRB1,213.67362808238383
LRP2,220.06246639281392
LST1,274.8806997871923
LTF,183.91898074656743
LUM,927.7869085137701
LYPD6B,158.29839940681265
LYZ,403.88568511922733
MAPK13,332.65141193292743
MAPK3,314.7654004221649
MDM2,228.68323203068897
MELK,260.39907744844265
MIA,176.6351973940795
MKI67,225.48329042393226
MLPH,290.57895645722454
MMP11,577.3327168180209
MMP12,148.9072304501808
MMP9,147.02323787661373
MS4A1,210.93646597850042
MSR1,320.2030012349063
MT2A,247.5044388025438
MUC1,419.1852017476122
MYB,228.18374385279202
MYBL2,340.88459049575357
MYC,232.59238726944974
MYL6,727.58378555759
MYL9,496.8496322004849
MYLK,458.8395508347567
MYO10,348.8564900758196
MYO5B,409.58423849210607
MZB1,162.94100995340162
"NAT1",310.0802068967434
NCAM1,193.52638887628515
NDC80,235.64991007379658
NDRG2,316.0603891238457
NF1,384.3117106798006
NFKBIA,320.292663889113
NKG7,174.66730856288487
NOTCH1,310.8587345313148
NR3C1,354.8614533789354
NUF2,225.7914619031263
OBP2B,157.03951820943786
ORC6,293.09086334751686
PABPC1,601.6541917449581
PBK,230.60598948799964
PDCD1,183.56486598773526
PDPN,182.06139856014917
PDZK1IP1,253.02453532419474
PECAM1,206.16320127367365
PGR,146.31923858985695
PHGDH,364.2979626345225
PI3,179.67551379164183
PIK3CA,378.6415594848146
PLEK,315.04316919012894
PLVAP,298.93944935006107
POU2AF1,231.75989889383544
PRLR,210.65270727349497
PTEN,224.4273495451084
PTPRB,199.17867328433022
PTPRC,152.89193049849035
PTTG1,202.1092628871302
RAMP2,211.19996057251592
RB1,343.0496361367487
RPL13,322.92746746351276
RPL18,328.5285278431813
RPSA,636.2196374424038
RRM2,173.43002841782172
S100A14,404.45579840465376
S100A4,259.2193595161385
S100A8,206.5704131074208
S100A9,261.1744526005012
SDC1,439.98107053819695
SFRP1,224.3872393423952
SIAH2,363.672113491774
SKAP1,200.67144780886628
SLC2A1,259.8767163032862
SLC39A6,400.8300935386494
SLPI,305.14304993198743
