target,imp
ACTA2,15.568028576527563
ACTG2,24.174757978574153
ACTR3B,36.435169780339145
ADGRL4,24.351412245913636
AGR2,108.00028451251819
AHR,85.25356380596345
AIF1,44.96180245899852
AKT1,66.95430525064862
ALDH1A3,73.16575517070845
ANLN,57.623365572313496
APOC1,47.64505609638327
APOE,52.824664887041784
AR,10.776596388778135
AURKA,97.96428881623328
AZGP1,159.1601864414626
B2M,126.35403941156318
BAG1,122.1837737253276
BANK1,59.69778184185598
BCL2,25.318278127016654
BGN,34.5858424172726
BICC1,23.469851534720373
BIRC5,56.57995998564293
BLVRA,68.46011232036658
BRAF,41.43662495463542
C1QA,35.29807710905279
C1QB,34.677283371650084
CALCRL,22.792807363369466
CAPN13,107.54209094059155
CCL2,24.04785588640311
CCL3,15.752211230836043
CCL4,15.115104875902603
CCL5,49.79814294293041
CCNB1,81.90877801390403
CCND1,152.1215343568232
CCNE1,64.23662126545149
CCNE2,51.50750603969521
CD14,48.80957332418102
CD163,41.863921947684666
CD19,31.980461707625274
CD2,17.637951723979853
CD24,259.4313008078141
CD274,48.14028664416736
CD34,57.67520408090964
CD36,23.781705148316927
CD38,40.034498922542056
CD3D,38.062812434080364
CD3E,15.57816932420664
CD3G,49.179119421150524
CD4,28.909530601919773
CD40,34.21690404181632
CD40LG,8.667855574820697
CD44,60.45383703505402
CD5,97.34158339769452
CD63,101.71369875228577
CD68,16.251610899460466
CD69,33.19139560557058
CD7,20.85930536130799
CD74,97.29966525948346
CD79A,14.61309937034954
CD79B,65.70584042987602
CD8A,13.899595490079044
CD9,73.54343198643308
CD96,9.263866214840018
CDC20,84.16337726617147
CDC6,96.60929606736059
CDH1,285.79514866482316
CDH11,33.233421176325955
CDH3,84.75488878786562
CDK4,92.99019478100199
CDK6,41.08861681402232
CDK7,109.39076833488075
CDKN2A,92.96982226708596
CEACAM1,134.1051416241639
CENPF,65.22077917634124
CEP55,71.07024104600626
CLDN4,42.52835778538786
CLU,19.823964514317947
COBL,77.21108443166398
COL1A1,36.14555797637036
COL1A2,31.25465942540687
COL3A1,31.316994194651503
COL4A1,34.335946219119016
COL4A2,32.673292414175265
COL4A5,43.9558446598641
CR2,37.848666118402136
CRABP2,102.7037770240042
CSRP2,38.857171538502826
CST3,46.16930152410101
CSTB,55.79969267582155
CTCF,149.4481783729135
CTLA4,2.4364251822455567
CTSL,104.53779502116005
CXCR5,30.793443647694925
CXXC5,84.5534624935857
DCN,6.091421240694331
DERL3,44.13956444007093
EFNA5,77.06207735770732
EGFR,25.862457373367796
EIF3E,105.50211656335463
ELF5,63.67535658512574
EPCAM,262.2356476787123
ERBB2,268.0259885862764
ERBB3,171.90127097708591
ERBB4,108.01450689064625
ESR1,20.4796511589562
FABP7,55.35209881056686
FAP,27.162100034467066
FASN,303.9146064332039
FAT1,50.40248987015242
FCGR3A,56.43062831672936
FCN1,15.822656446169436
FCRL5,28.134974400376397
FGFR1,41.87099911273059
FGFR2,18.09546560089349
FGFR4,46.92546785269976
FN1,36.10621229998561
FOS,36.45037144397983
FOXA1,288.54820815616534
FOXC1,58.11536596473777
FOXP3,76.97639741805865
FXYD3,159.10416750685383
GATA3,110.30479808791189
GNG11,50.720433102195656
GNLY,23.34465607625912
GPNMB,31.080592288712218
GPR160,91.95314394259464
GRB7,207.0721325874594
GSN,79.13768229427684
GZMB,18.256800249382117
HIF1A,175.9891587380594
HLA.A,49.85291539468877
HLA.B,117.17082805562508
HLA.C,91.97093845916972
HLA.DPA1,36.12124945218895
HLA.DRA,72.87107467901298
HLA.DRB1,22.509205451970555
HLA.DRB5,21.70494026007577
HLA.E,145.61551476608705
HSPB1,107.58339201111781
HSPG2,38.02537028340319
ICAM1,64.50878045542447
ICOS,41.48592900931925
IFITM3,44.800890620291504
IGF1R,65.61363684654347
IGFBP5,129.3657952369235
IL2RA,37.32348573235489
IL32,40.879793601604995
IL3RA,14.076515369309908
IL7R,9.609477803725218
ISG15,87.197263378575
ISG20,62.17558870219387
ITGA6,75.09267224506556
ITGAX,31.056026297965197
JUN,179.94165312468522
JUNB,123.90620022308431
KIF23,64.39004616645613
KIT,40.56718125196576
KRAS,112.65660250932513
KRT10,16.316913991918746
KRT14,5.22838706598033
KRT15,45.32774601506184
KRT17,48.016364515345366
KRT18,181.26631079523906
KRT19,251.06876759809828
KRT5,48.15152348664486
KRT7,330.2936066963798
KRT8,249.4830242153943
LAG3,21.401239411457276
LAMA1,12.451651681930521
LAMC1,97.09219228846426
LDB2,33.850714934179
LGALS1,68.9150666873561
LGALS2,19.072411052868535
LGMN,80.13050813414522
LILRB1,10.787744332153473
LRP2,30.94323444070665
LST1,12.238009462156638
LTF,40.19255835919592
LUM,46.61091306804714
LYPD6B,25.384332298819114
LYZ,81.38851497647293
MAPK13,93.72878550254401
MAPK3,40.55940213327941
MDM2,48.41636254122005
MELK,65.10965984371617
MIA,12.265408623025433
MKI67,60.893512012219745
MLPH,182.25398105266984
MMP11,12.543766608037123
MMP12,25.586432761478846
MMP9,6.747384501861802
MS4A1,35.03835642377482
MSR1,29.24848330639582
MT2A,28.808024100218532
MUC1,179.41854608266922
MYB,103.83084922146286
MYBL2,83.39304747112621
MYC,77.63934230078974
MYL6,255.03004375584277
MYL9,73.44204664011026
MYLK,42.73817556565886
MYO10,75.88856486803986
MYO5B,69.82139271812076
MZB1,56.95141587795179
"NAT1",49.254754844460386
NCAM1,64.97935846249634
NDC80,56.31892354131203
NDRG2,74.614993297428
NF1,116.09606336933837
NFKBIA,116.34195228972212
NKG7,8.707899958302699
NOTCH1,64.81967772744443
NR3C1,63.34683821409563
NUF2,48.22934160157388
OBP2B,8.430401507183314
ORC6,86.1188676853136
PABPC1,231.93849360553267
PBK,40.19120878806576
PDCD1,20.09812597202369
PDPN,40.32826911469727
PDZK1IP1,43.98652677481523
PECAM1,35.011599788131605
PGR,26.21387874597091
PHGDH,88.1650720066913
PI3,45.82960807044306
PIK3CA,74.61284702352539
PLEK,49.460613906670616
PLVAP,67.92342951071655
POU2AF1,5.553894454328559
PRLR,36.860135821095525
PTEN,49.54885275444114
PTPRB,52.150747189091305
PTPRC,28.083000115023818
PTTG1,48.75114839984015
RAMP2,46.953912700832454
RB1,93.81821396593166
RPL13,117.02836918146802
RPL18,49.68757945481721
RPSA,154.96001359272614
RRM2,33.26735799101743
S100A14,138.3433914317585
S100A4,44.688128335390154
S100A8,6.675445146871097
S100A9,63.157714011527496
SDC1,172.09991241509877
SFRP1,6.175969051698091
SIAH2,93.53887787637922
SKAP1,51.45281842324589
SLC2A1,56.46854026731463
SLC39A6,114.9155465630073
SLPI,61.524641128093606
SNAI2,27.916775590594636
SOX10,22.04782887386031
SOX18,16.518833806628454
SOX4,134.38507587805697
SPDEF,181.44408538349415
SPP1,18.76324117793692
STAT5A,25.564692559729018
STMN1,129.95952101583507
SULF1,36.07768217513499
TAGLN,63.3607726371512
TBX21,51.39206310246325
TCF4,38.40211855955764
TCL1A,3.3115778327414827
TFEC,17.27961671870712
TFF1,22.88099640421535
TFF2,44.03268921233567
TFF3,28.640976905482912
TFRC,101.55802043764726
THEMIS,38.80366958372561
THY1,30.188403503360394
TIMP1,45.12523523751498
TMEM45B,101.54128369731833
TMSB10,211.00368765023813
TP53,112.3728858249276
TPM2,29.31046483726616
TRAC,12.783573884398828
