target,imp
ACTA2,43.47828307700797
ACTG2,10.868170231190389
ACTR3B,23.15899666924624
ADGRL4,16.62907973779779
AGR2,39.59654294904141
AHR,28.914551913595886
AIF1,24.488502806130196
AKT1,25.812630274246523
ALDH1A3,33.99390625073844
ANLN,19.47990456977611
AP1M2,10.402359244513761
APOC1,129.6116797805732
APOE,64.94591102124728
AR,23.886723184497928
AURKA,48.8771228229594
AZGP1,154.5747797546712
B2M,110.7244804073856
BAG1,54.34311045439663
BANK1,13.033595741150014
BCL2,34.35849744745978
BICC1,8.68930474188417
BIRC5,16.893676125708897
BLVRA,19.792054358006045
BRAF,16.02659329681037
C1QA,64.08045527110536
C1QB,29.465081528646042
CALCRL,16.5383250705391
CAPN13,49.85830548566429
CCL2,4.656754893460314
CCL3,27.464218521321804
CCL4,27.28795306283342
CCL5,49.322896975953206
CCNB1,34.07753262229404
CCND1,62.491566544377605
CCNE1,35.356914059631976
CCNE2,13.38825451704739
CD14,23.102222239986258
CD163,56.67559303158976
CD19,5.0062008370200575
CD2,59.24812657422291
CD24,81.54136395425392
CD274,7.213740093260708
CD34,58.94488534826383
CD36,98.00576485825422
CD38,25.847501770273574
CD3D,46.89536811086598
CD3E,21.573164786805282
CD3G,34.8791991865995
CD4,35.08955579031761
CD40,30.65189248235963
CD40LG,27.34363626647291
CD44,16.588496781152454
CD5,35.623742845368405
CD63,51.156739856326105
CD68,31.612429073155973
CD69,17.471040886753144
CD7,22.901671641495174
CD74,166.97174128060595
CD79A,28.204197064958375
CD79B,26.607835770001493
CD8A,4.507548485928955
CD9,15.239436030193598
CD96,36.35157699184808
CDC20,15.404779588618556
CDC6,30.332592043196918
CDH1,93.5099275835902
CDH11,21.794607509242038
CDH3,19.36865015267582
CDK4,37.52236335243575
CDK6,7.234021973058338
CDK7,19.478265128758416
CDKN2A,42.48014194262116
CEACAM1,51.39560109527481
CENPF,40.29283556144036
CEP55,32.881424229877595
CLDN4,5.9697331819527015
CLU,49.97401520657413
COBL,21.11302051487864
COL1A1,85.9851473659509
COL1A2,81.07436771525539
COL3A1,62.76609924181474
COL4A1,110.44580491245024
COL4A2,68.73493939563518
COL4A5,19.39774142342967
CR2,7.732409295397222
CRABP2,35.64240353484299
CSRP2,28.289333830035336
CST3,16.596962095406454
CSTB,42.982376910763385
CTCF,64.66438610539663
CTLA4,2.73150482977092
CTSL,31.746473973122537
CXCR5,22.734868712102447
CXXC5,28.848748443948693
DCN,18.50805064396137
DERL3,28.732283284674992
EFNA5,11.264668907239495
EGFR,28.634864074042884
EIF3E,51.14100426397073
ELF5,13.11729473811638
EPCAM,105.35379931767324
ERBB2,123.81442969613991
ERBB3,56.281596338831775
ERBB4,20.164507666503308
ESR1,29.030151366799586
FABP7,10.840378675221695
FAP,12.832286527907058
FASN,116.74313760833604
FAT1,31.104674374183602
FCGR3A,72.22980799714944
FCN1,67.2593561894925
FCRL5,49.34821976584292
FGFR1,14.06987669147563
FGFR2,14.612832833800697
FGFR4,34.361820868758635
FN1,78.78850571301552
FOS,23.73767800036392
FOXA1,95.76267613889448
FOXC1,24.586790482009263
FOXP3,20.346849684867564
FXYD3,26.20317026967224
GATA3,46.44590993256829
GNG11,14.589252823313743
GNLY,78.12734727342287
GPNMB,56.70192858003392
GPR160,17.417936038951176
GRB7,48.78616474519988
GSN,29.365525157873222
GZMB,19.94794780958633
HIF1A,74.33318617769903
HLA.A,52.94649798634997
HLA.B,120.41749208309598
HLA.C,54.21694032003272
HLA.DPA1,43.30045315059314
HLA.DRA,76.2267239854063
HLA.DRB1,30.808907417812932
HLA.DRB5,15.21355697501637
HLA.E,140.12337764994308
HSPB1,96.49011877268724
HSPG2,46.36964863574717
ICAM1,94.17120120702339
ICOS,3.6993646979048105
IFITM3,36.80961497206903
IGF1R,12.85414266745422
IGFBP5,62.04222529429055
IL2RA,20.134312170063392
IL32,86.84670890026221
IL3RA,7.911032042887509
IL7R,47.78677473621961
ISG15,51.27434713716061
ISG20,35.72221409716965
ITGA6,61.29694095946256
