target,imp
ACTA2,11.078825907029035
ACTG2,13.62523474776566
ACTR3B,12.894828610844675
ADGRL4,22.684535926630783
AGR2,17.978469276026466
AHR,11.85271089638185
AIF1,13.630675186419094
AKT1,22.385133106036857
ALDH1A3,13.576678706861296
ANLN,23.287869304200825
AP1M2,15.9116417248811
APOC1,7.751974703726904
APOE,10.951593886012848
AR,18.74033781140265
AURKA,18.943327801777656
AZGP1,17.869229000707374
B2M,9.473650588184343
BAG1,12.309840255502506
BANK1,17.091487914547226
BCL2,9.16609746194942
BGN,11.441757056196806
BICC1,12.770278640850572
BIRC5,21.857943527735046
BLVRA,14.107030460857173
BRAF,19.74075749740337
C1QA,12.902063335430306
C1QB,10.930354237495832
CALCRL,19.621764097882874
CAPN13,14.472110495577645
CCL2,30.548750685682627
CCL3,16.349040916296566
CCL4,17.517237664768935
CCL5,16.662460816293606
CCNB1,15.852199599683177
CCND1,12.053029364471824
CCNE1,13.24959141117381
CCNE2,24.775544578688812
CD14,12.969565739809218
CD163,10.070876382573239
CD19,15.089790170809975
CD2,10.039388764928383
CD24,15.592825450854043
CD274,14.79249108792765
CD34,26.30204999935001
CD36,16.775822128789283
CD38,11.771150113216255
CD3D,26.075450270803582
CD3E,11.768391871692694
CD3G,12.923434541253341
CD4,10.722022842094086
CD40,12.630963507290758
CD40LG,11.982321423768372
CD44,17.063138102021284
CD5,11.747491544607053
CD63,11.977014334244995
CD68,16.639014708071457
CD69,13.73562399930957
CD7,14.397300841452186
CD74,16.87818495988772
CD79A,13.832427643643713
CD79B,12.259254538625964
CD8A,12.75726249255766
CD9,18.44870898544142
CD96,11.578995670484238
CDC20,24.23469207462318
CDC6,23.229922073569746
CDH1,6.255262248600562
CDH11,21.488993383707253
CDH3,21.677827195306868
CDK4,12.975737751524067
CDK6,15.69032264733288
CDK7,11.524864240138081
CDKN2A,16.216633017584147
CEACAM1,16.987133624408855
CENPF,24.07800644541812
CEP55,23.50003907920789
CLDN4,12.960703714369354
CLU,16.093828217769786
COBL,10.103700854738095
COL1A1,11.404249054427257
COL1A2,10.27121635181091
COL3A1,10.814814686390898
COL4A1,14.444480400891562
COL4A2,9.419896059269803
COL4A5,16.505224737893197
CR2,17.6929135666197
CRABP2,14.842604285042794
CSRP2,13.945351476684106
CST3,13.349573940033897
CSTB,21.47715831239517
CTCF,9.878388874843502
CTLA4,15.097818852513502
CTSL,14.95463289314198
CXCR5,19.30837139885725
CXXC5,11.849842842707774
DCN,17.672166037728683
DERL3,10.081297689190956
EFNA5,12.898494900104625
EGFR,14.39448415196228
EIF3E,14.030911886064425
ELF5,17.830869307687884
EPCAM,12.475222208613753
ERBB2,8.544239372895355
ERBB3,12.554605725104041
ERBB4,20.11114948566408
ESR1,15.44502856580147
FABP7,12.450040402826396
FAP,9.716020986098838
FASN,9.9923876849362685
FAT1,15.41779405206542
FCGR3A,25.011285488329232
FCN1,13.39024822974206
FCRL5,13.916573202547495
FGFR1,16.169672487902968
FGFR2,12.115701524198073
FGFR4,14.63804264869704
FN1,14.641345802576405
FOS,23.333622398646863
FOXA1,8.420631304772
FOXC1,14.828909544335545
FOXP3,10.77701256834176
FXYD3,12.788999308980051
GATA3,14.065492219310006
GNG11,14.577774840301563
GNLY,12.859770336932637
GPNMB,14.08380432604867
GPR160,15.161825389090415
GRB7,10.426360168386758
GSN,12.875092416861884
GZMB,14.858446132583618
HIF1A,17.017016049482365
HLA.A,14.57883770120131
HLA.B,8.304276899941794
HLA.C,20.955786762159754
HLA.DPA1,10.951832235480358
HLA.DRA,10.140070326131502
HLA.DRB1,23.750077773536695
HLA.DRB5,13.374581259022655
HLA.E,9.02936466684846
HSPB1,13.371601600853342
HSPG2,14.808188306628495
ICAM1,13.73376374455023
ICOS,15.545680652307123
IFITM3,16.148791391502886
IGF1R,13.674591902716651
IGFBP5,15.314121222414629
IL2RA,15.804340147213509
IL32,13.699569023441153
IL3RA,15.828113143049663
IL7R,14.76832832086738
ISG15,19.79280101442556
ISG20,12.279784550530158
ITGA6,15.09976278916351
ITGAX,20.92530929332525
JUN,11.855322056748637
JUNB,7.919427287794779
KIF23,17.474792848669352
KIT,19.499054344689906
KRAS,11.857881893529438
KRT10,24.414707009357166
