target,imp
ACTA2,2.393031316280715
ACTG2,2.4591418740130795
ACTR3B,3.174631836593522
ADGRL4,2.2503420535913254
AGR2,2.9711403336296733
AHR,2.3618271327247338
AIF1,2.3890015216667027
AKT1,2.0630940679650833
ALDH1A3,2.5051639971611697
ANLN,1.8658694553988582
AP1M2,2.8255544645711974
APOC1,5.466249380308484
APOE,3.631456675605417
AR,2.0622410251261467
AURKA,2.2387898992242032
AZGP1,2.2654957130269717
B2M,2.09142711164976
BAG1,2.0201317252113724
BANK1,4.5631726308592055
BCL2,4.341876971849271
BGN,3.286498545464205
BICC1,3.292451651462565
BIRC5,2.701791086959683
BLVRA,3.5608395417381153
BRAF,2.4053520607341974
C1QA,2.010108555508881
C1QB,3.4701651955942867
CALCRL,1.9182888560433056
CAPN13,2.550224079591487
CCL2,3.141532645167847
CCL3,2.961225592253161
CCL4,3.080436724285958
CCL5,4.031830758273193
CCNB1,2.4097169356855943
CCND1,2.698961986994377
CCNE1,2.7280198156375786
CCNE2,2.3152791701197883
CD14,3.166439370041579
CD163,4.109829897337323
CD19,3.4000601312131704
CD2,4.3109796419173
CD24,2.5830256847783954
CD274,2.9427950851322873
CD34,3.0283225624282966
CD36,3.2116234418145218
CD38,3.7111318946001206
CD3D,4.313948968263636
CD3E,3.795294317825066
CD3G,4.934403182421418
CD4,3.3672487106728464
CD40,4.416786108991636
CD40LG,3.9974299953930528
CD44,2.894872850180412
CD5,2.9817674959181826
CD63,1.7943170305684466
CD68,2.9502701299273126
CD69,3.808450943289703
CD7,3.839732914701054
CD74,2.746207024986753
CD79A,3.5645227673873228
CD79B,2.8336842534318167
CD8A,4.046782305659187
CD9,2.394809307863656
CD96,4.338436207811917
CDC20,2.191596804886735
CDC6,2.9223514277439513
CDH1,1.5833984969057178
CDH11,5.247471335069174
CDH3,2.6964445976176608
CDK4,3.6211549315693947
CDK6,1.9887423801512158
CDK7,3.0673143629324113
CDKN2A,2.75324388409114
CEACAM1,2.5396785359457756
CENPF,2.652308064426436
CEP55,2.8469712304735193
CLDN4,3.6055341225898765
CLU,4.291569014039198
COBL,2.194637177121632
COL1A1,9.444040584661423
COL1A2,2.313805505129841
COL3A1,3.349029883707757
COL4A1,2.4714696227527377
COL4A2,3.2957489945369813
COL4A5,2.786741671229691
CR2,2.535319893357213
CRABP2,2.2993522343393034
CSRP2,3.4143859155845284
CST3,2.667919516520219
CSTB,3.121389712091596
CTCF,1.9456816383820603
CTLA4,3.9055601297833227
CTSL,4.290025916951708
CXCR5,2.555007384247059
CXXC5,2.833080896286739
DCN,4.288170132346926
DERL3,3.238164810776939
EFNA5,2.5651282671301017
EGFR,3.18858825975782
EIF3E,2.0770133295935542
ELF5,2.8561838256359806
EPCAM,1.3829047172833833
ERBB2,1.7949962102462058
ERBB3,2.5952787398527737
ERBB4,3.579449701267215
ESR1,2.752973030557676
FABP7,2.6298617653383762
FAP,3.284933930782148
FASN,1.702875327073705
FAT1,3.441333366449041
FCGR3A,3.7199754751688734
FCN1,3.5767070916421875
FCRL5,3.242248320258612
FGFR1,3.334051782219056
FGFR2,3.6571026144533847
FGFR4,4.144719974454884
FN1,3.479140062142831
FOS,3.8793527258269034
FOXA1,1.5571116885560787
FOXC1,3.2773199421968315
FOXP3,3.4652029739928385
FXYD3,2.8596833086205034
GATA3,3.8506656694784414
GNG11,2.3792110244104294
GNLY,3.2091800506034724
GPNMB,3.6096977261854426
GPR160,2.061820651226228
GRB7,1.9569552231527791
GSN,3.5284110011630365
GZMB,3.770295589865971
HIF1A,2.2935653659716135
HLA.A,5.075865878250884
HLA.B,2.4143736090470096
HLA.C,3.06464632839975
HLA.DPA1,2.8296001084550495
HLA.DRA,1.9016081242173781
HLA.DRB1,4.201298895336509
HLA.DRB5,3.0885036657441374
HLA.E,1.8749581600707657
HSPB1,2.6124041471866315
HSPG2,2.54083964784365
ICAM1,3.306483854703489
ICOS,3.7469555358592803
IFITM3,4.211786557750182
IGF1R,3.0739403278961954
IGFBP5,3.6575359571700625
IL2RA,3.9830639330024447
IL32,4.953239425732291
IL3RA,3.4203400732165288
IL7R,5.1798859262266275
ISG15,2.9917886687164583
ISG20,3.0011216241993712
ITGA6,1.892407313268611
ITGAX,4.754489986190907
JUN,2.377039575019746
JUNB,2.667992717348686
KIF23,2.381949920169118
KIT,2.0401267039657505
KRAS,2.659142074223545
KRT10,3.320693489182921
KRT14,3.442746832269492
KRT15,3.7970212914519768
KRT17,4.133779046060695
KRT18,1.6262045262390727
KRT19,1.9036743169552752
KRT5,2.390904806016539
KRT7,2.378424179433019
KRT8,1.51705733088121
LAG3,3.2945405468196487
LAMA1,3.1667735299210396
LAMC1,2.1305720082429684
LDB2,2.8621403368893783
LGALS1,3.8114871347892363
LGALS2,3.3475176921827363
LGMN,3.510824243137646
LILRB1,3.103393727892654
LRP2,3.8923684465553987
LST1,2.982776572338791
LTF,2.1891068925887622
LUM,2.928450831362485
LYPD6B,2.673129501367454
LYZ,2.793322064721012
MAPK13,1.970633886808845
MAPK3,2.270660269296924
MDM2,2.2896322702486867
MELK,2.9568230050889848
MIA,3.131294741335284
MKI67,2.1798193112547137
MLPH,2.14575060432187
MMP11,2.5587930084962394
MMP12,4.592514103484375
MMP9,8.89267489459831
MS4A1,4.727141975782992
MSR1,3.2660630247022993
MT2A,3.0295374648291653
MUC1,2.0293693930206747
MYB,3.4382488524589805
MYBL2,1.8532491726520715
MYC,4.03197083113088
MYL6,2.0289447936190745
MYL9,2.640098649516203
MYLK,2.4799866268566304
MYO10,1.8643354244291113
MYO5B,2.53467227146959
MZB1,2.551819346973303
"NAT1",3.113591440631015
NCAM1,2.2170278195890645
NDC80,2.1672567503008224
NDRG2,4.430531079584472
NF1,1.8329872939929093
NFKBIA,4.044105325156619
NKG7,4.455529472021754
NOTCH1,3.6637522897179293
NR3C1,2.8574575756766603
NUF2,2.58415619681034
OBP2B,4.98796882017427
ORC6,2.036019518134673
PABPC1,2.0068058879974675
PBK,2.8338183177988814
PDCD1,3.081893389344091
PDPN,3.7934325631047687
PDZK1IP1,3.9634358473879145
PECAM1,2.8922470351385203
PGR,3.265872867087383
PHGDH,1.9779319274946499
PI3,4.45873741929066
PIK3CA,2.017202644296981
PLEK,2.84454651694909
PLVAP,4.6273981644073885
POU2AF1,3.596234546683347
PRLR,3.5510265225075233
PTEN,2.9570590963417027
PTPRB,3.3615063142080555
PTPRC,3.579300982032706
PTTG1,2.4967898256522223
RAMP2,2.9515545700536667
RB1,2.3569753165353062
RPL13,3.2174190592155414
RPL18,4.494731821868525
RPSA,2.747246837431275
RRM2,2.45723523132221
S100A14,3.0325045930235848
S100A4,2.6059953232183517
S100A8,2.414939333930984
S100A9,2.7280636099847815
SDC1,2.8616483796230057
SFRP1,3.6952120831855257
SIAH2,2.3369429553072165
SLC2A1,4.553024057989868
SLC39A6,2.021790052918809
SLPI,3.464873736551007
SNAI2,2.3477767509288086
SOX10,4.1237493866206485
SOX18,3.2714771431412455
SOX4,2.647312241163283
SPDEF,1.5528228853845227
SPP1,2.8583048153699253
STAT5A,4.198951731112513
STMN1,2.101073833774333
SULF1,2.741375127170032
TAGLN,2.9263934031134182
TBX21,2.9066847390076846
TCF4,3.0420766341931165
TCL1A,2.764911936444707
TFEC,3.374234744815084
TFF1,4.988010658455314
TFF2,2.3992514189402754
TFF3,2.7972743479599815
TFRC,2.462517475061741
THEMIS,3.7254064334470858
THY1,4.3266549155971346
TIMP1,3.4476662811268337
TMEM45B,2.85257355007205
TMSB10,2.535092149498988
TP53,2.374229145857354
TPM2,4.099006971421053
TRAC,4.3124488343605965
TRDC,5.2801899044187826
TSPAN1,2.1372219006552022
TTC6,1.7177705195783772
TTYH1,3.7835816791037287
TYMS,2.4788352171913517
UBE2C,2.547166903171164
UBE2T,2.516901733316115
VIM,2.1355796232544573
VSIR,2.8521720598655116
XBP1,1.5175270893583763
XCL1,3.5214062374428488
ZEB1,2.580302188921782
ZNF571,2.57101819468801
