target,imp
EDNRA,1.9171366615032722e-7
CDON,0
IL20RA,3.920610256055029e-8
CD47,0.017015688791413457
UNC5D,0
PTGIR,0.003555887535722151
IL13RA1,0.01001630080072681
ACVRL1,0.001629396026845726
TYRO3,0.0030000000000000005
CD46,0.17689513184333552
CCR2,0
CHRM3,5.460270139300842e-4
ACVR2B,0.00692371875872982
SELL,0
C5AR1,5.768483811203021e-4
CCR1,5.973518554138174e-7
ADIPOR1,0.002963092589760683
LTBR,0.036614846830300335
ACVR1,4.810459611747998e-5
RAMP2,0
KIT,1.2195121951219523e-5
BMPR2,4.07727238782447e-4
KLRD1,0
LPAR2,2.197798805615601e-5
CMKLR1,1.9892144892144886e-4
LRP5,2.6499717258667768e-5
GIPR,0.25740645900927334
IL10RA,4.817389421440227e-7
ROBO1,0.0031087572769046374
PLXND1,0.004938555280224879
IL11RA,7.496251874062991e-7
ROR2,2.725120372277884e-4
RAMP1,6.888708481464685e-4
CD27,9.456264775413726e-6
ROBO2,0.0010842963732906952
NOTCH2,0.0010260427012185943
PTPRU,1.1036142305250319e-5
LRP2,0
IGF1R,1.9164928465885905e-4
LRP1,1.130476299768653
ACKR3,0
NPR3,0
ITGAD,1.3540166905124307e-8
TBXA2R,0
IL1RAPL1,3.383307758142828e-4
CD93,0.2065280284892107
SCARB1,5.162462059013781e-6
OPRM1,0
CALCRL,8.11455899664026e-6
ACVR1C,0
FLT3,0
SMO,0
ITGA6,4.572133171725676e-4
EPHB4,0.0024393038807630756
IL3RA,6.156213928434004e-6
ITGA3,0.001457372285522049
ITGA8,0
OSMR,0.0014920634920634929
ITGA4,1.8454494276012487e-5
SCARF1,4.7619047619047586e-5
MC1R,2.8181366714526272e-5
DDR2,2.5729793513922126e-5
PLXNB2,0.006708578688413673
IFNAR1,0.08228724560398532
EPHA4,2.0022246941045596e-4
FPR3,0.4030606034654896
PTPRF,0.011074350820754846
IL27RA,0
BDKRB2,6.782875322691284e-4
TNFRSF4,8.498023715415026e-5
GFRA1,0
ITGAL,1.9030610727585e-7
TGFBR1,0.08224129532249522
LRP6,0.15057619886252396
F2RL1,1.5584791333368786e-5
EPHB3,1.0482164900728461e-7
CD36,0.0019188255301892771
GRM1,1.0900870829601805
TACR1,0
CSF2RB,0
ITGB1,0.0022689963184855826
ITGA2B,0
VIPR1,3.5087485148151994e-4
PLXNA1,2.543295069285299e-4
EPHB1,0
IL2RA,5.255878862043714e-4
ERBB4,0.005357698209043253
OPRL1,0
TNFRSF10B,1.0913082714429408e-4
FGFRL1,2.777777777777779e-4
CCRL2,0
FSHR,1.0566687539135914e-7
IL2RG,0
IL12RB2,9.53932994286086e-5
FZD2,0
ATP6AP2,0.02802360170555466
ITGB7,3.635540301245356e-8
S1PR1,2.870813397129185e-4
EDNRB,0
ITGB6,5.418682600091896e-4
PLXNA3,7.927613725605948e-5
TGFBR2,4.372309502601998e-5
LPAR4,0
QRFPR,0
PDGFRA,0.3580928166308256
IFNGR2,4.6607927280507556e-4
ITGB2,0.0032740047974374803
FZD1,0
ITGAE,0.016924422867312695
NOTCH1,2.1934185744533615e-8
NOTCH4,5.11871424754905e-4
AXL,0
TNFRSF14,2.39961398546726e-4
TIE1,5.9391770039461646e-5
INSR,0.003007046315495081
ITGAX,2.580039584573736e-5
EPHB2,0
C3AR1,1.6580545312949314e-4
EPHA5,0
ITGA9,1.4036470781319507e-4
TNFRSF10A,8.538604293680788e-8
FPR1,7.05828944501984e-7
OXTR,3.09400280656811e-4
ITGA5,1.3333333333333307e-4
ITGB4,1.3887131809160383e-4
ITGB5,9.04129460346334e-4
CELSR1,0
ITGA11,0
PTPRB,1.3628937633774051e-5
FZD4,7.475531646216813e-7
PDGFRB,5.067534081939077e-5
DCC,6.666666666666665e-4
PTPRM,9.531569858763091e-4
VIPR2,5.698005698005715e-5
FZD5,0
IL1RL2,0
ITGAV,0.3118074787639418
LRP11,3.213388350266945e-6
NTRK2,2.979211093470962e-5
MARCO,0
ITGA1,4.758345715525483e-4
BDKRB1,2.6990553306342757e-5
CALCR,0
TNFRSF12A,0.25083493929386697
ROR1,1.1452392404773942e-8
ITGA2,1.867263974040089e-6
UNC5C,7.752092202159119e-4
PLXNC1,1.6850951257397576e-4
SDC2,4.88575132012426e-4
EPHA6,0.23816782307404716
TNFRSF8,1.7622946825150845e-4
TNFRSF19,0
TLR6,0
CCR5,1.7270679770679768e-4
TNFRSF21,5.728754353998072e-4
NOTCH3,2.467381917409516e-7
HTR2C,2.966976264189887e-4
LGR4,1.4913252122554456e-4
ITGB8,2.558061315371703e-4
ERBB2,0.160440969100063
LHCGR,0.0020769230769230773
ACVR1B,0.0012011476619462904
ASGR2,2.1010753852150263e-4
LPAR1,0
SCTR,4.09277905115944e-8
FZD6,0.2559458296156238
IGF2R,0.1205302104363487
ALK,2.473662120688907e-7
IFNLR1,0.00790868454661558
ACKR4,1.4056335671398505e-4
IL10RB,9.083702689024112e-4
RTN4R,0
IL12RB1,1.3520534046849831e-4
MERTK,0.001201494247310054
FZD7,5.411525434471508e-7
CD72,3.994929113493203e-6
CD74,0.16529570892446863
LILRB2,0.0022222222222222222
CD4,6.182460852665907e-4
AGTR1,1.685185185185186e-4
RYK,0.0010122354526349616
TLR2,0
PTH2R,0
CSF1R,1.2936507936507933e-4
F2R,0.10595785016685573
LDLR,0.0045108490752426775
GPR39,6.561340165642857e-5
IFNGR1,0.0014181995704740864
ITGAM,1.2065416273954014e-8
MST1R,1.3607965391118282e-4
ACVR2A,0.11841735827338805
EPHA2,4.347826086956524e-5
TLR4,0
APLNR,6.989734288447313e-4
RXFP1,0
ADORA2B,5.248998267770627e-4
NPR1,0
PLXNA4,0
GRIN2D,8.007642306011071e-4
IL17RC,4.903351333717829e-7
EPHA1,0
NRXN1,0
ADRB2,0.0011452159811292933
BMPR1B,6.500521513369332e-4
HCRTR2,0
ADIPOR2,0.0036011714724618576
BMPR1A,1.5951662102180517e-4
TNFRSF17,0
GRM5,6.177873328885343e-8
PROCR,9.746588693957114e-6
NTSR2,0
UNC5B,0
NPR2,3.3614338877496763e-4
CXCR4,1.354606789948196e-4
TNFRSF10C,0
FZD3,1.915715586336958e-4
PLXNA2,0.005817478900122779
NPSR1,0
CCR3,0
ACKR2,1.7434158663474052e-7
PTPRG,0.1206084494088822
SDC3,7.598689507456628e-4
PTCH1,0
VLDLR,0
RAMP3,0
KLRG1,5.538461538461537e-4
FZD8,0.0015400517954697532
CSF2RA,0.1684530678789689
IL6ST,0.0011329773051607247
LIFR,8.108774342540336e-8
IL1RAP,1.1689070718877842e-5
FLT4,1.3830640797746727e-7
EGFR,4.226190476190474e-4
IFNAR2,0.002538802379256669
IL17RA,0.38395174951102995
NRP1,9.831229392606032e-4
NRP2,1.977020101986271e-4
PLXNB1,1.3333277580052832e-7
IL4R,2.672715285508333e-5
IL7R,0
EPHB6,0
CD44,0.41908437567037915
ERBB3,0.2547155860666297
IL15RA,3.2826975717171423e-4
