target,imp
SEMA3G,31.555665583176673
SEMA3B,30.646425849721236
CXCL11,17.360560503226505
NRG4,36.02971543356191
INHBB,36.676134720730055
EDA,29.28712774482306
BMP4,30.215565000883018
PTN,30.1031746721634
EDIL3,29.16549959166165
CCL17,37.30888930549697
LTBP3,42.16752951243447
PDGFA,26.185608075440992
NID2,24.824457653424496
EFNA1,48.860233298626774
SAA1,33.042500235859954
LAMA5,67.06821235395044
CCL11,46.308239688052346
APOE,38.501394872195675
IL7,40.56467379077131
EFEMP2,22.900340415968575
SPP1,39.65810062580251
NRG1,20.209891013400455
SLIT2,28.50974599758842
CXCL10,45.51754078068257
TGFB2,30.87087153426091
S100A8,36.38799914224983
LAMA2,20.969284803997226
TNFSF18,16.00546485388648
SEMA3E,17.2682817026144
PDGFB,30.546295104134227
VEGFC,38.18209173642813
CCL4,23.563874381553674
IGFL2,27.82808934314543
INHBA,33.59280867517005
PDGFD,32.90193177636946
CCL8,35.283164543362815
ANGPT2,25.978734446098784
BTC,24.262234857968107
CXCL6,33.80992394545819
RSPO3,25.700881108378738
HP,24.00448391135806
MST1,19.49436592033165
ORM1,30.444620394257026
VCAN,29.4942282241066
CCL5,34.611541604415294
AMH,24.5627662170191
NMU,31.264581499799853
VTN,35.637112023014545
ADM,25.470382474733757
NTNG2,14.183499325260103
NRG2,21.987833849523227
SEMA3C,51.76983780821694
KITLG,33.552880336135644
APOB,31.705788818483484
THBS1,25.21512645111773
CCL22,29.695997073951894
ANGPTL1,23.210308278560138
ANXA1,30.56854687163507
WNT7B,17.67564376567171
PSPN,30.55745764799859
LAMA3,37.70862248467135
LAMB2,22.74557174867685
FGF1,27.138499216647553
NMB,21.493954676021794
IFNG,29.132917378218853
LTB,44.588274732397664
GDF15,38.289698112923595
CXCL17,19.481888013646323
CXCL14,18.658113947332158
PDCD1LG2,34.26877418346478
WNT9A,23.931911681690917
SPON2,19.08031112181607
WNT2B,41.619412443391184
FST,22.281071522873816
FGF14,34.93260256734265
WISP3,28.95478002860796
CKLF,31.899144164038177
PLAT,13.20025318907196
SERPINE2,33.371361866934556
F8,33.51148137721955
TIMP1,19.683764892880728
CAMP,38.341768097054405
SERPINC1,25.32247945843329
COL4A5,32.324487919663554
COL8A1,36.28771947874619
ALB,24.66398436681369
C5,17.737994969472073
F2,26.684905433909627
FGA,65.77510641185314
FGB,39.66214957016208
FGG,33.168432619096336
SERPINA1,15.364036656570601
COL3A1,32.696785745215536
C4BPA,22.837609030268574
COL18A1,56.29060833799144
COL1A2,42.9049883098287
PSAP,39.983886090701596
PLA2G10,27.921957179460755
CD86,30.33423831948136
FBN1,27.882695457965987
MMP2,19.369701488881734
CRP,93.89655628167073
COL4A2,15.022653284910334
COL6A1,35.35599829052854
