target,imp
SEMA3G,10.027780926631243
SEMA3B,13.483418164211297
CXCL11,9.847887260269369
NRG4,21.144544901093425
INHBB,18.38827302948685
EDA,34.45542195199711
BMP4,24.98998966628708
PTN,9.108321096935743
EDIL3,20.367496626329977
CCL17,27.422881279739627
LTBP3,19.758046339984208
PDGFA,7.355205940483216
NID2,10.869805280666975
EFNA1,9.717407611148516
SAA1,18.664696703589385
LAMA5,21.892898563356397
CCL11,8.529314546009148
APOE,16.764352072247892
IL7,12.482200956366734
EFEMP2,24.79547079624638
SPP1,9.38891543888346
NRG1,19.615800314319443
SLIT2,19.369847523620976
CXCL10,11.374681691520411
TGFB2,9.755952139348803
S100A8,9.506616868019744
LAMA2,8.502541748528778
TNFSF18,9.426238666929486
SEMA3E,26.435538364633903
PDGFB,9.91958952404621
VEGFC,16.878512288808764
CCL4,9.350506056090147
IGFL2,15.558751087616054
INHBA,27.607548886959727
PDGFD,16.86617108759624
CCL8,12.467968853974345
ANGPT2,25.803206800239003
BTC,23.886663964969443
CXCL6,16.33593891576966
RSPO3,18.73379456225992
HP,22.931931014127652
MST1,8.587278730801051
ORM1,10.058631563356306
VCAN,45.61247998307849
CCL5,14.720061657539475
AMH,14.81806075022252
NMU,17.462348881948483
VTN,11.933810811705298
ADM,15.377860427957257
NTNG2,26.744660507343575
NRG2,8.865661112546388
SEMA3C,81.59698071893871
KITLG,33.28375289615535
APOB,8.395774731994168
THBS1,18.655741933504963
CCL22,16.34492652652737
ANGPTL1,7.207719048426846
ANXA1,16.921953645864757
WNT7B,16.92321099423133
PSPN,10.225730951609872
LAMA3,9.589710442487759
LAMB2,13.61409380801744
FGF1,12.110500688749898
NMB,22.951002584849306
IFNG,28.87548497223653
LTB,11.307989635867093
GDF15,11.397366777436746
CXCL17,5.666754946427517
CXCL14,14.908699389118873
PDCD1LG2,23.771016748159383
WNT9A,21.185760038190452
SPON2,11.833415850945384
WNT2B,12.679526298925826
FST,14.09133504598761
FGF14,7.43258815169292
WISP3,25.585492429786303
CKLF,31.205825741858902
PLAT,12.048806787300892
SERPINE2,18.154564736389073
F8,16.037154100747916
TIMP1,22.751627064201784
CAMP,12.341308749597884
SERPINC1,15.61837907999773
COL4A5,12.17395629495915
COL8A1,16.9340055926553
ALB,28.278825545750223
C5,15.054950362379493
F2,3.797321623260739
FGA,13.226938024443985
FGB,35.67742424093377
FGG,22.325711786750503
SERPINA1,27.088592729049754
COL3A1,13.557376253557784
C4BPA,9.751397520435866
COL18A1,13.7694350916378
COL1A2,15.640833998515305
PSAP,23.97884855183817
PLA2G10,5.416301275438115
CD86,16.8882420538622
FBN1,19.452474132744424
MMP2,18.03074913825693
CRP,14.485420846699625
COL4A2,14.104726441537473
COL6A1,29.83762800632127
