target,imp
IL18,0.4820592222547623
SEMA3F,0.12561487541178704
TNFSF4,0.24724290293705145
CTF1,0.2959706326974763
IL12A,0.1953303771676238
CSF1,0.26811249952944544
RARRES2,0.20502813316818508
CXCL11,0.3461224314441898
NRG4,0.17838104310203717
INHBB,0.7413597734090047
WNT4,0.33650981704203803
BMP3,0.35902095118886557
EDA,0.27175188574983755
CCL13,0.18696003163032593
BMP4,0.33085104850436764
WNT5A,0.2445688676374006
PTN,0.16511121289163433
CXCL12,0.19709044905896872
CCL17,0.12804768620336957
GDF11,0.14125263120957446
EREG,0.2246449069311662
TNFSF12,0.4093078619362114
CXCL1,0.08739204569645033
HBEGF,0.23972200372429012
ANGPT1,0.2286096159704103
CX3CL1,0.10202820978439636
FGF13,0.1464673834956407
ANGPTL3,0.21774970507102243
BMP5,0.1823764397104075
PDGFA,0.12935710275899856
TGFB3,0.3014158004061209
CCL26,0.3251042172408284
IL15,0.34519988266797
TNFSF14,0.20154564698009428
CCL11,0.6252291257143182
OSTN,0.0958661715536929
IL7,0.18245111576020906
CLCF1,0.28945354258448713
NRG1,0.19214509610064
CXCL10,0.23118829040091543
TGFB2,0.2426962416106726
NTS,0.314611365193542
TNFSF18,0.28756204492652393
PDGFB,0.18150644341077027
PGF,0.23719606162885537
VEGFC,0.27240844320378327
NRTN,0.14391997967489245
CCL4,0.15712683939020838
IL16,0.5323414982160173
AREG,0.46251451562897666
INHBA,0.19785152689907026
SHH,0.21847781788826187
PDGFD,0.7243481788614503
CCL8,0.20989308748906932
CCL28,0.19661505622170192
IL34,0.26228594736859595
MDK,0.19168058224166717
BMP2,0.21476349080238266
BTC,0.2879715073569403
IGF1,0.3062109410189985
CXCL6,0.20900886564077475
GAS6,0.12066130382735281
MST1,0.10227919872002125
CCL5,0.35142450067269637
AMH,0.3581689381414367
PDGFC,0.21115415955133734
ADM,0.19947432534119763
NTF3,0.14374467780484104
TGFA,0.11041267149082667
CCL15,0.4608073989367085
TGFB1,0.27140682219639795
EDN1,0.26665139716489406
AGT,0.25333031459925415
FGF7,0.3650905251777996
BMP6,0.2789187142127124
CCL3,0.2438767689652529
IL1RN,0.12477773676263776
NRG3,0.17286693898156558
NRG2,0.15760542635598573
KITLG,0.32419479284033026
VEGFA,0.1656962542480724
TNFSF10,0.44533794731707127
CCL22,0.20131005418139192
BMP7,0.23586821778200293
IL1B,0.2405641975522204
HGF,0.19565297966021056
ANXA1,0.18842174352592614
WNT7B,0.24477031059299148
TNFSF13B,0.1998716085632349
PSPN,0.2543846262831909
TNFSF15,0.17385496226108255
FGF1,0.16939804470804357
CCL2,0.19134646472648636
TNF,0.07608991155388196
VEGFB,0.14600204324374075
NMB,0.15047301128873578
IFNG,0.28983848622764335
