target,imp
IL20,0.5012392166952894
SEMA3G,1.0302501737540397
SEMA3A,0.35655647462374274
PLG,0.8293412086551778
INHBB,0.2555182918371656
BMP4,0.2000020253438931
WNT5A,0.35800949816963185
TG,0.10171208784383085
KNG1,0.36637038813259826
GDF11,0.382922677978105
ANGPT1,0.35684730437072204
ANGPTL3,0.5697952455632692
LAMC2,0.24569204663805475
FGL1,0.31056086818269313
IL15,0.4831487805680962
EFNA1,0.6056380753854086
SAA1,0.4179679032032405
CCL11,0.16213948918619786
APOE,0.8222811647431238
TF,0.21658567218757308
LAMB1,0.40104845731822647
IL7,0.500795439604291
SPP1,0.09810692014222225
SLIT2,0.5496778249349403
CXCL10,0.2761363987744106
EDN2,0.6046543651018937
DKK2,0.38512189088112886
CXCL13,0.7685970059225734
NTS,0.18678215684136146
WNT3,0.3955704398610563
IGFL2,0.344952157315358
CCL8,0.33588027449053925
ANGPT2,0.12475453412824516
CGA,0.41586126410842444
BTC,0.6040386338848539
CP,0.2957775966799987
HP,0.2206340199859369
CCL20,0.4229709291905489
ORM1,0.7302908803198129
CCL5,0.5714155336291017
DCN,0.4958914043808646
NMU,0.2618437490015617
CCL21,0.42707743317300867
VTN,0.2774178529470282
TGFA,0.8163661440203053
WNT3A,0.27670719183891157
EDN1,0.0837491960042769
AGT,0.24653264377250841
CNTN4,0.5520906578632739
CGN,0.2510811841257165
NPW,0.8938258501720062
APOB,0.2106784554028902
HGF,0.9915341771574505
ANXA1,0.5606893078497494
TNFSF13B,0.7944800901567917
TNC,0.9394569312960945
NMB,0.1420285920225405
LTB,0.22226630309759923
FAM3C,0.19065123275970614
LGALS9,0.1408592039628223
IL33,0.3812845344018846
CXCL14,0.16267371359418553
WNT9A,0.5305461091696141
WNT2B,0.7005543389637512
FST,0.444788787656104
BMP8B,0.7643718069543312
ANGPTL4,0.01874948949022053
BMP1,0.29294450794060894
TFF1,0.37732245078627535
C3,0.5489717427943507
RBP4,0.37212471782067114
COL5A1,0.5197042601147588
SERPINC1,0.19383531490108566
COL4A6,0.21735970121311435
A2M,0.17189831726299887
ALB,0.11025306220706652
ZG16B,0.16585841061582063
MMP7,0.19802336976232884
COL11A1,0.3287367412686882
C5,0.25200476125493737
F2,0.13389196268531292
FGA,0.2009276227560795
FGB,0.3418850495024363
FGG,0.1523838023684421
TGM2,0.41464600092311926
SERPINA1,0.42369855929976685
PLAU,0.17376265502535337
TFPI,0.3060218857483723
C4BPA,0.499885068008638
PLA2G10,0.2038737432113997
CD86,0.30805754150869313
CRP,0.21716382455300018
F12,0.08529711975506019
COL9A2,0.07079888028025891
COL9A3,0.5727078164030337
COL6A1,0.38146375889423983
ADAM17,0.8052108589518447
