target,imp
A2M,1.833811038215574
ADAM17,4.463407503568805
ADM,0.012817961202378
AGT,0
ALB,3.3124649897706484
AMH,0
ANGPT1,0
ANGPT2,0.3276408401995184
ANGPTL1,0
ANGPTL2,0
ANGPTL3,0.022988081419402513
ANGPTL4,1.375563685118083
ANXA1,1.6041609560547772
APOB,1.0247859735008416
APOD,5.7152550995965505
APOE,7.412914609638832
APP,4.641924886626816
AREG,0
ARTN,0.03333571557711232
AZGP1,0.4457917067841206
B2M,10.945364510021577
BGN,2.836324558121683
BMP1,0
BMP2,0.002680424768109817
BMP4,1.5770731503762536
BMP5,0
BMP6,0
BMP7,0
BMP8A,0
BMP8B,0
BTC,0.02796454454470786
C1QTNF1,2.546262456404957e-4
C1QTNF5,2.3575615806991603
C3,0.6473463295785352
C4BPA,0.24487120035862403
C5,2.512711803073159
CALR,10.867672612832662
CAMP,2.8834718132588026
CCL11,3.107293015513779e-4
CCL15,0
CCL16,0
CCL18,0
CCL2,0.4244294406634107
CCL20,0
CCL21,0
CCL22,0.0025814262536184218
CCL23,0
CCL26,0
CCL3,3.732305168203831e-4
CCL4,0.04645578911489766
CCL5,0.012969484559242312
CCL8,0
CD55,3.4118393259776427
CD5L,0
CD86,0
CFH,2.0698293324141033
CGA,2.302692512403064
CGN,8.921262258249573
CKLF,2.9828564669680184
CLCF1,0
CLEC11A,1.3712664724692237e-4
CNTN4,10.822897112982485
COL11A1,0
COL14A1,0
COL18A1,2.5503556274998873
COL1A1,3.051609253097647
COL1A2,13.653510228684627
COL3A1,11.73032366534519
COL4A1,1.1767486585594271
COL4A2,15.531052512063434
COL4A3,0
COL4A5,0.05202779128839849
COL4A6,0
COL5A1,1.379850310744949e-4
COL5A2,0.9361469433245587
COL6A1,0.002016167214838483
COL6A2,0.14749214131382943
COL7A1,1.1772598910206324
COL8A1,0.02278977284714443
COL9A2,0.1287250305849918
COL9A3,0.008649836083839674
COPA,4.731177929890404
CP,2.0333319063497814
CRLF1,3.9111087738334214
CRP,0.00790125958770611
CTGF,0.10757549172808824
CX3CL1,0
CXCL1,0
CXCL10,0
CXCL11,0
CXCL12,0
CXCL13,2.468165832551284
CXCL14,0
CXCL2,0.05085862573851095
CXCL6,0
CYR61,5.918492109369367
DCN,2.7980734959314084
DEFB1,0
DKK2,0
EDA,0
EDIL3,1.0785094854019082
EDN1,1.509890305699946e-4
EDN2,0
EFEMP1,0
EFEMP2,2.0877481394946127
EFNA1,1.3074998236076565
EFNA4,0.059073288988594964
EGF,1.7205831897648905e-4
ENHO,0
F10,0
F11,0
F12,0.01729592204175585
F13A1,0
F2,0.02198470602255427
F7,0
F8,0
FAM3C,0.005200480566363772
FBLN1,0
FBLN2,0
FBN1,2.567287839578875
FGA,3.026277821506528
FGB,3.1504671968164377
FGF1,0.029852179568217146
FGF12,0.012584452986389811
FGF13,0
FGF14,0
FGF18,5.87886346782015
FGF7,0
FGG,0.44719133820329915
FGL1,13.2001467680271
FN1,8.998559246720259
FST,0
GAS6,5.421185686612342
GDF11,2.3131778106046718e-4
GDF15,0
GDF9,0
GNRH1,0
GPI,5.711776922913151
GREM1,0
GRN,4.512277174139619
HBEGF,0
HGF,0
HLA.E,6.110901581566469
HP,1.2215047151191059
HSP90AA1,19.639291764996255
IGF1,0.008733594093596989
IGF2,0
IGFBP4,0.02534357365952733
IGFL2,0
IL10,0
IL11,0
IL15,0.002711491792810725
IL16,0
IL17C,0
IL18,0.007774323372043499
IL19,0.004130282005789461
IL1RN,0
IL20,1.6877725654115272
IL24,0
IL33,0
IL34,0
IL7,0
INHA,0.005464951591034852
INHBA,1.4752713871747627
INHBB,1.2344014729639539
KITLG,1.3639159043438196
KNG1,0.15800614272711686
L1CAM,0
LAMA1,1.4681887579368036
LAMA2,1.9894764379249
LAMA3,2.4877316049938507
LAMA5,0.0646491539062246
LAMB1,0.41321327571190847
LAMB2,5.233337607457043
LAMC2,0
LGALS1,9.327620235360092
LGALS3BP,0.036065206966575794
LGALS9,0.0029721735448263644
LTB,0
LTBP3,7.258897793041131
MDK,0.32240459791174364
MFGE8,0.025919411355509264
MIF,7.015801685761321
MMP13,0
MMP2,1.8495816462950842e-4
MMP7,0.24119447912085065
MST1,0.013559760246051584
"NAMPT",0.0037113359432464233
NCAM1,6.117359353607871
NID1,0.026701844165868835
NID2,0
NLGN1,0.01053727595906096
NMB,0.007241039147432828
NMU,0
NPB,0.572671844030604
NPNT,4.2811735752926406e-4
NPW,0.0019348871393323219
NRG1,0
NRG2,0
NRG3,10.502435361911768
NRTN,0
NTF4,0
NTN1,0
NTN4,0
NTNG2,0
NTS,0.37741405681371876
NXPH1,0
NXPH3,0.00588012831717978
OLFM2,0
ORM1,2.4632486683129473
PDGFA,0.07750274961544303
PDGFB,0
PDGFC,3.146403129807271
PDGFD,3.3086504008160325
PGF,0.020938185640662185
PIP,5.254412510330522
PLA2G10,0
PLAT,5.765772899377843
PLAU,0
PLG,0
POMC,0
PROC,1.8266806396672117
PSAP,11.021361116701922
PSPN,0
PTHLH,0
PTN,0
PYY,4.067374129663506
RARRES2,4.369146607220096
RBP4,1.0839225686899363
RELN,0.09836912863862736
RGMB,0
RLN2,0
RPH3A,0
RSPO3,0
S100A8,0.007369048376451314
S100A9,0.020675651146008233
SAA1,0.5309195541655957
SEMA3A,0
SEMA3B,5.4164183996625415
SEMA3C,0.0095993566183861009
SEMA3D,0
SEMA3F,4.837044176129648
SEMA3G,0
SERPINA1,3.706008164663217
SERPINA7,0
SERPINC1,2.732209984954524
SERPINE1,4.306211920327923
SERPINE2,0.4233692388369444
SERPING1,8.184874477515828
SFTPD,0
SHH,0
SLIT2,0.0021714880505836185
SLIT3,3.1932315860974945
SPINT1,8.10740979793297
SPON2,2.9882640826483398
SPP1,5.523986759895914
TF,0.38505858311326047
TFF1,7.107332511679321
TFPI,4.001438674824646
TG,0
TGFA,0
TGFB1,4.792063493468682
TGFB2,0.015921515750080602
TGFB3,3.1969746379672874
TGM2,0
THBS1,10.402806433949632
THBS2,3.0989162675012873
THPO,0
TIMP1,9.636134745307146
TIMP2,2.1561929614879007
TNC,3.9324894532510357
TNFSF10,0
TNFSF12,0
TNFSF13B,0.008031673261136057
TNFSF4,0
TNFSF8,0.08049269889575235
TSLP,0
UCN,0.17791014424560087
VCAM1,0
VCAN,6.755914519398966
VEGFA,0.13278606047920216
