target,imp
CD47,6.435698087531696e-7
FXYD6,2.1721616416794413e-4
TYRO3,2.5475360026184276e-5
BOC,2.7643403568571962e-5
ACVR2B,3.81706593094294e-6
RHBDL2,2.9444985625584196e-4
CSPG4,7.31458381881319e-8
CMKLR1,1.5668559023242039e-6
CDH5,2.2824432004515987e-4
RET,2.0075347160327348e-5
PLXND1,1.4803278492142307e-6
MCAM,0.0012045855195746387
IL11RA,3.4486932149373e-5
ACKR3,9.33373913798408e-5
SCARB1,1.3776656783413879e-5
ITGA6,1.7991941333256713e-6
EPHB4,1.2500447466737713e-6
ITGA8,5.103884961952497e-4
OSMR,1.4960070127438842e-6
ITGA4,5.06598066269601e-4
RTN4RL1,3.080475301281102e-5
BDKRB2,1.4309942042493354e-5
CD53,3.884014867322005e-4
CD36,6.137449103079466e-5
NRXN2,9.514508297493872e-6
TACR1,2.36610754400466e-5
ERBB4,2.3327613694210154e-5
APCDD1,7.782166580671506e-4
ITGB7,3.561320503178898e-5
S1PR1,2.2316880624950516e-4
ITGB2,1.4365208523131309e-5
TMEM67,2.5683251215734095e-5
NOTCH1,3.053193124906438e-4
AXL,1.536088811984339e-5
TIE1,7.864257589611927e-5
OXTR,2.533139172925826e-5
ITGB4,6.388305258704663e-5
PDGFRB,3.541011161976051e-5
PTPRM,1.4116650663727538e-5
ITGAV,1.8551591855676743e-4
LRP11,1.8575273760570488e-5
MARCO,5.12415519888198e-6
ITGA1,1.7305226854404703e-6
TNFRSF12A,1.0473548623530741e-5
ITGA2,3.828515695884609e-5
UNC5C,1.6703180352502233e-6
PLXNC1,2.2771243461257376e-5
EPHA6,9.962496787304498e-6
TSPAN1,1.1564646913578288e-5
TNFRSF19,1.512954736558761e-4
ROBO3,7.241742878924133e-4
NOTCH3,2.7984057726495704e-5
ITGB8,1.2394959497679961e-4
NTRK3,1.5286641946252177e-6
LPAR1,1.6075499361419258e-6
FZD6,6.548218334215811e-5
IFNLR1,9.268610879183069e-6
CD74,6.490358442337932e-7
TLR2,1.1780573145473389e-4
LDLR,1.951540185539321e-5
ITGAM,3.829574792659951e-5
ACVR2A,1.9106684432734744e-5
APLNR,8.806496676813025e-5
NPR1,6.231308866048866e-5
IL17RC,4.7182524082706435e-6
EPHA1,1.4575863811530337e-6
NPY1R,1.0064227719545607e-4
HMMR,1.3548371532874447e-4
UNC5B,3.9090076362693156e-4
CXCR4,9.883964581111628e-6
TNFRSF10C,9.459391209291992e-6
PLXNA2,2.5009255953750572e-5
PTPRG,6.870498834767527e-5
CLEC2B,1.5258611693375168e-4
CD96,4.553222119087732e-5
RAMP3,0.0016867999394631103
SPN,6.0848968597854415e-6
GPR35,3.2693852899207735e-5
CLEC2D,3.630419548418672e-4
CD248,1.705595323941339e-5
PTPRC,4.433001812325599e-5
CD33,4.3965533557669225e-4
PTPRJ,1.0856071009050554e-5
S1PR3,2.7376619674294954e-5
P2RX7,1.296939386522119e-5
P2RY8,1.947009227420801e-6
CELSR2,0.0010775906712217054
FCGRT,2.3402026972760688e-6
PTPRT,5.369298584941544e-6
OPN3,7.729629641981442e-5
IL1RAPL2,3.086033106708134e-5
KLRG2,5.3156004903820857e-5
GPR156,1.7533116908531948e-4
STAB1,2.2736006061888574e-4
PTPRN2,1.891196884381914e-6
GPR65,2.1634557279386625e-5
GPR34,4.065570632518925e-6
PTPRH,1.3816618022509735e-6
GPRC5C,1.6692181890599948e-6
ESR1,2.626120699195929e-5
GRM8,7.011834148522762e-4
P2RY11,2.7049012708426094e-4
ANTXR1,0.0011128753084618424
LPAR5,1.7720847162866843e-4
GPR68,6.072886551985106e-6
NRP1,1.0199835402817207e-5
ENG,1.1084076905992473e-5
FZD8,6.771864686734409e-6
CSF2RA,3.36545731346392e-4
TREM2,9.226839180383518e-5
LIFR,5.378602605743444e-4
EGFR,2.5180069565308784e-5
IL1RAP,1.896851934347558e-5
FLT4,2.1102290601384896e-6
ST14,3.8579776028976984e-5
IL17RA,6.062320915350941e-4
IL4R,1.4810156035785634e-6
COL13A1,1.6512647503090963e-4
FGFR3,1.0007454083306244e-5
ERBB3,1.1645459281930693e-5
PVR,1.1452388758835334e-5
TRAF2,1.3229098475342596e-5
HFE,1.854249026210929e-6
EPHA10,1.0976798553004057e-4
GABBR1,3.215215493513327e-5
