target,imp
CD47,5.951263585166783e-5
FXYD6,2.1088754868727553e-5
TYRO3,7.350767677346618e-5
BOC,7.31217740603837e-5
ACVR2B,1.0724021583800283e-5
RHBDL2,1.1461729984016314e-7
CSPG4,1.3146113450181873e-4
CMKLR1,1.2520727003094363e-4
CDH5,6.084078206732375e-5
RET,1.5522610628505017e-5
PLXND1,1.618993470003616e-5
MCAM,2.648422520828952e-5
IL11RA,1.615167290434727e-5
ACKR3,6.0315297089850673e-5
SCARB1,1.0137347324685724e-4
ITGA6,1.0860117641059739e-4
EPHB4,8.597199389510342e-6
ITGA8,7.043475941976054e-6
OSMR,1.0262847606599227e-4
ITGA4,4.02137291330996e-5
RTN4RL1,3.49042196591614e-7
BDKRB2,7.701926362791155e-5
CD53,2.1051088488203454e-6
CD36,2.1543951347215595e-5
NRXN2,1.0054005136054808e-4
TACR1,1.4626917334377503e-5
ERBB4,2.527022433536662e-5
APCDD1,0
ITGB7,1.5941960202529253e-7
S1PR1,1.1703512924070352e-5
ITGB2,1.8715454715472367e-5
TMEM67,1.1546903705370662e-5
NOTCH1,7.181827234258292e-9
AXL,1.1999932092598254e-5
TIE1,1.5989617634145138e-5
OXTR,4.520044873438883e-6
ITGB4,2.87456087886602e-6
PDGFRB,1.0666459326108762e-6
PTPRM,5.729801631236817e-5
ITGAV,1.9280410522248253e-6
LRP11,2.6800017283528047e-5
MARCO,1.0947763236665571e-4
ITGA1,2.1524673204099086e-6
TNFRSF12A,1.6408143377792266e-4
ITGA2,4.009830862482392e-5
UNC5C,5.764994601770285e-6
PLXNC1,2.1939660492881398e-5
EPHA6,1.2874282545406213e-5
TSPAN1,2.8027567995169516e-6
TNFRSF19,5.8007090937957606e-5
ROBO3,4.4744592933767607e-05
NOTCH3,2.8826727372340593e-5
ITGB8,1.1844158554059122e-6
LPAR1,1.5145887421907597e-5
FZD6,2.974161440843194e-5
IFNLR1,2.8010426097599925e-6
CD74,4.430195164690014e-5
TLR2,1.2880875110481545e-5
LDLR,2.9180116510245687e-5
ITGAM,3.396420204722296e-7
ACVR2A,4.0977690146879774e-5
APLNR,8.347941280792493e-6
NPR1,4.728373917132064e-5
IL17RC,1.3186676412310664e-5
EPHA1,8.855905405239333e-5
NPY1R,8.036804796865285e-7
HMMR,2.3060314401446825e-5
UNC5B,6.919391150350153e-10
CXCR4,3.1891588393539664e-5
TNFRSF10C,2.9330550635481007e-5
PLXNA2,4.33591569853904e-5
PTPRG,3.809152264740625e-5
CLEC2B,1.2099073464470266e-5
CD96,4.6120261141957985e-5
RAMP3,1.2058913608257093e-7
SPN,6.439350519942489e-5
GPR35,9.344782895197026e-6
CLEC2D,4.579483233912965e-6
CD248,2.015340762104552e-6
PTPRC,4.698996208754272e-6
CD33,7.550046226274376e-9
PTPRJ,8.931686697529561e-5
S1PR3,3.790925973013121e-5
P2RX7,2.0683564736826074e-5
HRH1,1.0160797438925384e-7
P2RY8,8.133728778362282e-6
CELSR2,5.167382698742289e-7
FCGRT,6.0094944496893874e-5
PTPRT,1.1461539689885891e-5
OPN3,2.344002758806125e-5
IL1RAPL2,7.198182028321149e-5
KLRG2,9.306479198973602e-5
GPR156,4.605264434817747e-6
STAB1,1.575501208027364e-5
PTPRN2,3.2264963880620476e-5
GPR65,4.5917849128757326e-5
GPR34,5.306062868499033e-5
PTPRH,2.9470304121420823e-5
GPRC5C,1.3523321540513839e-5
ESR1,2.6108644002500036e-7
GRM8,1.7169727491246535e-8
P2RY11,7.76784848892085e-6
ANTXR1,4.21018157642397e-9
LPAR5,3.5584165568171767e-6
GPR68,1.3896540469653455e-5
NRP1,4.789202156418294e-5
ENG,4.1798592282961745e-5
FZD8,5.413984734273538e-5
CSF2RA,7.5022156306551775e-6
TREM2,8.840170828688912e-5
LIFR,4.7101951864796096e-8
EGFR,7.758855945855075e-5
IL1RAP,1.0446465693296339e-4
FLT4,4.510073946162628e-5
ST14,4.279675761700318e-5
IL17RA,6.3594544002175925e-9
IL4R,2.490134863953787e-5
COL13A1,2.1731232216387923e-7
FGFR3,2.1692019064972213e-6
ERBB3,9.295731155045098e-6
PVR,8.426582480714171e-5
TRAF2,1.0926291194491428e-4
HFE,1.12321154920271e-5
EPHA10,1.936610695559227e-5
GABBR1,2.3226954517194316e-4
