target,imp
CD19,2730.37383586574
PECAM1,2583.5810156387706
HLA.DRA,2632.659839056497
MKI67,3573.9900980374605
CD274,1957.2999747016365
FAP,2179.4544365279066
CTLA4,2091.2288677524148
CD69,4935.759031327734
CD2,2191.5837211639605
B3GAT1,2674.4538547026214
PDPN,2638.1108312167617
HIF1A,1984.9491427675835
COL4A2,3191.72813218226
CD40LG,3202.1255941688514
NCAM1,1889.4724068122
IGHM,3512.0163075132946
MMP12,2112.1033561855043
CD36,3727.8982477567415
CD9,2322.070769491974
CD1C,4212.862145647021
ITGA6,2242.4496038292737
PTPRC,3430.093992815068
FCGR3A,1795.9014856709018
FOXP3,2955.1589516865292
IL3RA,1998.5824967844292
KRT19,6901.254291885906
HLA.B,2151.0813174076134
THY1,3486.390300521032
IL7R,1753.602218478012
ICOS,2468.1787529470494
CXCR5,2044.0333620841702
KIT,2949.908294584405
PDCD1,2207.236889593022
CD5,3706.419006768034
PDCD1LG2,1880.2165628326477
ITGAX,4696.577431472234
VIM,3062.386402045179
ICAM1,3014.512624876808
LILRB1,1898.6179519220336
CD7,2683.3787681804297
FUT4,3063.7779975353783
CR2,2280.4070366343403
CD38,4413.538909230108
CD4,1880.241631557273
ISG20,2275.8078516388355
CD40,2729.217902654794
CD8A,2033.3153338906868
PTPRCRA,2404.034508568386
ENTPD1,2826.649351510134
