target,imp
CD19,286403276.42333186
PECAM1,212622676.58006775
HLA.DRA,169028328.11220017
MKI67,233760282.98251835
CD274,217118387.52907455
FAP,210956057.73863262
CTLA4,309399619.94344324
CD69,162134606.82981336
CD2,156711453.87038028
B3GAT1,139742011.7877357
PDPN,196119065.07825413
HIF1A,167034303.8502658
COL4A2,164096530.37771192
CD40LG,148055316.1602537
NCAM1,268853510.16659933
IGHM,201481879.71401063
MMP12,219173111.35260025
CD36,140074637.05320436
CD9,218520029.6433953
CD1C,161528348.98449677
ITGA6,203828469.67996487
PTPRC,152664116.4570363
FCGR3A,224156262.65171748
FOXP3,185527358.7302233
IL3RA,222296133.52761135
KRT19,215500092.12861225
HLA.B,242626378.85063407
THY1,226352798.76218736
IL7R,266588463.6849448
ICOS,150777720.6733603
CXCR5,197447968.32915428
KIT,144453933.0668686
PDCD1,235655049.84157178
CD5,199554927.3352815
PDCD1LG2,176222390.5239048
ITGAX,151946079.58513173
VIM,492887622.1808727
ICAM1,170810246.0141815
LILRB1,270691736.1178398
CD7,157884200.10233524
FUT4,187742562.31242982
CD38,179551695.10171348
CD4,252555263.3667571
ISG20,179455991.75895667
CEACAM1,283649241.90693486
CD40,166027694.49001467
CD8A,191542509.30739677
PTPRCRA,180673544.28079063
ENTPD1,189876807.48483756
