target,imp
ACTA2,2287.527647641301
ACTG2,2494.2647607158333
ACTR3B,2864.929386680008
ADGRL4,2570.754800105783
AGR2,2602.8449704261825
AHR,2519.5150302567617
AIF1,2468.16312305935
AKT1,2808.486429629866
ALDH1A3,2469.210545591446
ANLN,2117.011729948662
AP1M2,2742.8055820765935
APOC1,2193.1976242001288
APOE,2223.4931850794587
AR,2586.918841219305
AURKA,2860.0838590798044
AZGP1,2807.514269269064
B2M,1911.6154042850924
BAG1,2312.964550639517
BANK1,2581.421824969882
BCL2,2428.5822311711363
BGN,2099.958442400262
BICC1,2664.055079067373
BIRC5,3168.0646869967445
BLVRA,2409.689370351854
BRAF,2525.9759653418655
C1QA,2049.0809314683997
C1QB,2185.7695799904955
CALCRL,2606.475894314419
CAPN13,2455.351461424102
CCL2,2742.381442774692
CCL3,2499.5593030872355
CCL4,2542.593910375279
CCL5,2501.4665027858737
CCNB1,3176.1043436634955
CCND1,2325.2579430907685
CCNE1,2589.5270591274993
CCNE2,2590.5668262469767
CD14,2517.304945251748
CD163,2143.55206458358
CD19,2501.3228303973588
CD2,2471.138541076728
CD24,1873.7208887873414
CD274,2650.101103572507
CD34,2439.734711187295
CD36,2635.8063279057405
CD38,2382.2935192097198
CD3D,2477.325314195669
CD3E,2234.6612955867963
CD3G,2705.5861146818006
CD4,2353.3784757778176
CD40,2341.0221250730947
CD40LG,2381.0047756430895
CD44,2128.2495633694634
CD5,2568.704129063256
CD63,2579.4422681153674
CD68,2474.8217001726243
CD69,2540.4835695283155
CD7,2535.558208986977
CD74,1890.013135723588
CD79A,2536.580300658693
CD79B,2531.545541620825
CD8A,2695.535255268886
CD9,2854.6926650381442
CD96,2505.5083330399752
CDC20,2891.398912164832
CDC6,2483.9115643929613
CDH1,2473.590493463538
CDH11,2273.1697147836044
CDH3,2681.109483371294
CDK4,3543.1197396106345
CDK6,2606.386013787109
CDK7,2497.0791533531337
CDKN2A,2521.016814378472
CEACAM1,2304.8806611490304
CENPF,2047.9520890716572
CEP55,2153.2953311394713
CLDN4,2553.343595405548
CLU,2483.21463592319
COBL,2701.8745892464067
COL1A1,2019.979391545337
COL1A2,2085.5161539978694
COL3A1,2030.8368893241045
COL4A1,1959.6439362486644
COL4A2,2534.372274312239
COL4A5,2275.0072679530645
CR2,2628.246840019914
CRABP2,2421.489260834392
CSRP2,2960.5394467606548
CST3,2615.8089672331425
CSTB,2736.219255613943
CTCF,2141.3304806110473
CTLA4,2767.891044282881
CTSL,3213.600428202007
CXCR5,2517.7570166854866
CXXC5,2675.9036534473103
DCN,2392.707886272449
DERL3,2491.9298483554117
EFNA5,3608.741259780248
EGFR,2623.1513394104195
EIF3E,2145.495139408405
ELF5,2406.5611755953696
EPCAM,2451.7918083646127
ERBB2,3052.551236792045
ERBB3,3183.5274994204356
ERBB4,2590.8615553733807
ESR1,2538.6386729343853
FABP7,2490.6366725893595
FAP,2476.957382883722
FASN,4401.117768140089
FAT1,3100.2155821910605
FCGR3A,2354.624943543389
FCN1,2421.0001745824056
FCRL5,2210.4739181242894
FGFR1,2566.535218310965
FGFR2,2180.7153697972876
FGFR4,3749.690584042686
FN1,2187.160066681792
FOS,2107.398843221908
FOXA1,2720.28983117877
FOXC1,4441.934375224441
FOXP3,2703.1202757466976
FXYD3,2911.6020874207607
GATA3,2516.036879997545
GNG11,2608.786198682431
GNLY,2475.7551577993872
