target,imp
ACTA2,549.8704372134449
ACTG2,1124.905250333649
ACTR3B,483.8180661833439
ADGRL4,210.99377434162977
AGR2,139.20870137522385
AHR,411.16914874192787
AIF1,206.86507409180456
AKT1,656.4223588720528
ALDH1A3,341.6281248345603
ANLN,866.4010188509716
AP1M2,270.69014337928485
APOC1,475.35390939446916
APOE,696.831393193823
AR,357.80034374041634
AURKA,907.014372876961
AZGP1,4305.17806320824
B2M,2270.5652644595216
BAG1,614.3838329633417
BANK1,179.90232776983848
BCL2,365.64603434022666
BGN,1364.5474873782302
BICC1,311.4226240961183
BIRC5,248.25767154407163
BLVRA,285.37576912239496
BRAF,302.3585421879301
C1QA,670.0802033833111
C1QB,474.7529881896306
CALCRL,289.45883976731216
CAPN13,321.82849821342757
CCL2,177.282362830195
CCL3,366.24064071007047
CCL4,225.60223057989765
CCL5,345.88025665769834
CCNB1,697.7725777304862
CCND1,758.6399764878543
CCNE1,948.3944629545363
CCNE2,208.86768237196273
CD14,368.92829187365504
CD163,798.9444537986367
CD19,109.37631098872035
CD2,301.71693949824504
CD24,7317.739890172362
CD274,161.64983835316642
CD34,427.60900168928293
CD36,276.21361521445453
CD38,186.27261552849376
CD3D,310.35047915886474
CD3E,278.50312459990585
CD3G,299.6438747929013
CD4,450.8279707272107
CD40,786.6687871037805
CD40LG,224.05729608674795
CD44,1108.1592193707565
CD5,137.98586382409204
CD63,892.8873041669208
CD68,262.3169866680165
CD69,238.5250860661303
CD7,191.4411332072974
CD74,1772.854805033601
CD79A,262.6695016413341
CD79B,183.71388813402467
CD8A,245.05891949261036
CD9,498.0313056357238
CD96,274.60162774145306
CDC20,430.11248345253045
CDC6,577.520484397823
CDH1,2369.9624672506525
CDH11,542.110271753418
CDH3,249.37052558056
CDK4,768.1616398140054
CDK6,140.97188134010358
CDK7,395.51570555863555
CDKN2A,360.3238337668904
CEACAM1,723.117679255079
CENPF,1053.2709714550879
CEP55,521.4057711364378
CLDN4,221.0725534550362
CLU,424.73273117425873
COBL,1543.6942947010807
COL1A1,1697.414587089504
COL1A2,2760.028673921225
COL3A1,2673.7020331965655
COL4A1,1792.0980335721583
COL4A2,1193.9072420535479
COL4A5,508.361489284245
CR2,83.9537100454796
CRABP2,453.386753195721
CSRP2,422.9050166776492
CST3,339.34169102028324
CSTB,214.48683652785496
CTCF,925.8622506864026
CTLA4,59.800734569254494
CTSL,766.8285483602624
CXCR5,135.03209615594835
CXXC5,217.68135291296005
DCN,199.78799664575388
DERL3,416.67588580942873
EFNA5,1267.5869541878685
EGFR,593.7258260160058
EIF3E,862.5804160763882
ELF5,368.5426090370303
ERBB2,601.8198530251979
ERBB3,651.7144103921636
ERBB4,134.99797079977435
ESR1,139.17528170650883
FABP7,501.93656387706886
FAP,424.7187299634941
FASN,1179.2146118638248
FAT1,424.00930808351853
FCGR3A,683.6582843051209
FCN1,225.7516000205003
FCRL5,438.06490115874163
FGFR1,444.2996360227005
FGFR2,999.9869572745192
FGFR4,337.9205430477466
FN1,1795.4900482730927
FOS,1932.8592610523292
FOXA1,198.52479480548507
FOXC1,3291.193396176727
FOXP3,327.9461578659746
FXYD3,1713.6851546190167
GATA3,528.6930156433324
GNG11,187.2490099216112
GNLY,227.846303106635
GPNMB,587.8096032333544
GPR160,109.6822756489203
GRB7,183.7997890484864
GSN,447.4023141189986
GZMB,198.4380134299464
HIF1A,1044.9683076106164
HLA.A,335.914271066891
HLA.B,1598.3374961860457
HLA.C,507.5609742884459
HLA.DPA1,436.9317848282026
HLA.DRA,858.0648611935612
HLA.DRB1,198.52510362477005
HLA.DRB5,182.81349867039964
HLA.E,1687.3847429566722
HSPB1,1032.8424365366568
HSPG2,713.5601211932664
ICAM1,531.9949105295838
ICOS,102.7476290002272
IFITM3,738.7289645802477
IGF1R,1712.6530508513627
IGFBP5,921.2692273548029
IL2RA,331.77058424242006
IL32,874.4776715634625
IL3RA,234.51526171666907
IL7R,225.25053027572903
ISG15,1126.551549793524
ISG20,619.6778818035342
ITGA6,1032.398764075247
ITGAX,608.3443499846485
JUN,1355.3921263388884
JUNB,1642.2150065000062
KIF23,1385.4030907081656
KIT,144.76578911522628
KRAS,634.2509612957548
KRT10,141.76846160189868
KRT14,216.11903569602896
KRT15,455.51901616037367
KRT17,1854.1790057245507
KRT18,743.6300874471433
KRT19,3574.021479740783
KRT5,1479.8571206110685
KRT7,2374.9893045762988
KRT8,1156.691396408735
LAG3,244.11551638806387
LAMA1,356.8774167702551
LAMC1,930.6875157763237
LDB2,595.0258123804081
LGALS1,1283.1833414834293
LGALS2,144.74199028539402
LGMN,1018.0605117646718
LILRB1,666.9453178684779
LRP2,268.29550308506964
LST1,172.2205888015774
LTF,589.8044149494839
LUM,881.1040650946214
LYPD6B,224.50625982525474
LYZ,703.0264374641761
MAPK13,958.2162388221129
MAPK3,421.2433450302362
MDM2,436.96854519027147
MELK,496.02534334766455
MIA,200.01204779730782
MKI67,1177.2047081824333
MLPH,312.72099144517756
MMP11,768.2286499448591
MMP12,134.36941686627418
MMP9,351.3378151930792
MS4A1,203.04135641221498
MSR1,266.4721255009304
MT2A,137.3876997903261
MUC1,6867.860814387705
MYB,174.91601500874484
MYBL2,740.6275256080695
MYC,868.2369827202497
MYL6,1543.6091450078707
MYL9,1035.7362232103876
MYLK,887.8510183507991
MYO10,1136.1636743499048
MYO5B,397.10336485151925
MZB1,483.56349157785445
"NAT1",157.49053946867215
NCAM1,264.7812233391219
NDC80,561.8214071458053
NDRG2,876.0823570011319
NF1,812.8870759025297
NFKBIA,716.5440195443349
NKG7,300.7824597125816
NOTCH1,1112.8351444342231
NR3C1,581.3363475356073
NUF2,220.20387122686313
OBP2B,131.59291072207702
ORC6,593.2263502218052
PABPC1,1813.4682508005137
PBK,398.6378140461233
PDCD1,67.47251206724312
PDPN,273.8536699467957
PDZK1IP1,438.76811478720794
PECAM1,437.4793005487854
PGR,80.98287041630063
PHGDH,1199.5029825193985
PI3,131.7895078001516
PIK3CA,626.6912471438354
PLEK,513.4228145836705
PLVAP,566.3335823480191
POU2AF1,460.80656593722995
PRLR,385.8629283768197
PTEN,505.1118373740236
PTPRB,327.83814266811174
PTPRC,332.4292391882796
PTTG1,330.8837782608056
RAMP2,257.8974465328305
RB1,583.0973661037106
RPL13,606.4007133338048
RPL18,243.0692395182945
RPSA,940.6192701727938
RRM2,329.2349241178355
S100A14,396.852735898142
S100A4,590.2713186335183
S100A8,289.5104977485223
S100A9,687.0181331352628
SDC1,1728.5803713465202
SFRP1,779.6026174634508
SIAH2,686.1095760861218
SKAP1,261.4079924438997
SLC2A1,337.241879667529
SLC39A6,716.3472553115478
SLPI,658.7189094546709
SNAI2,628.1443544618047
SOX10,377.82435935799447
SOX18,282.90774355804604
SOX4,2561.7863255687153
SPDEF,232.53329215674867
SPP1,520.1015551269012
STAT5A,330.6365534646936
STMN1,1382.4276386178708
SULF1,656.6446204948498
TAGLN,431.98206699428874
TBX21,145.39921438036086
TCF4,363.7034071303959
TCL1A,60.093333384478704
TFEC,210.06511840374253
TFF1,210.4446608501455
TFF2,108.40146823419522
TFF3,240.41019212216358
TFRC,2491.423279364668
THEMIS,198.57021281438418
THY1,366.41249225019436
TIMP1,716.3803081874197
TMEM45B,149.87563357875962
TMSB10,1557.1081848284864
TP53,1114.8781410539825
TPM2,961.5876014403887
TRAC,186.79335584036357
TRDC,208.91676364150229
TSPAN1,105.12520095796621
TTC6,165.65385046909904
TTYH1,390.06212129800565
TYMS,2442.4464974926173
UBE2C,191.48114665032918
UBE2T,640.5411201673912
VIM,3197.798611837998
VSIR,327.6879619636199
XBP1,1388.7794932349398
XCL1,210.22894380223184
ZEB1,1034.0596139333777
ZNF571,757.9704851704469
