target,imp
SEMA3G,45.14243015241446
SEMA3A,28.055513121162925
CCL25,45.772236167023
OLFM2,71.22724784402266
CXCL11,57.58901582205157
WNT2,37.730220014465374
L1CAM,50.87267740227562
INHBB,43.01429980921321
NTN1,52.38299641591448
EDA,51.42115264883312
CCL13,55.63409294469479
BMP4,42.192049249814325
TG,28.960488583344542
PTN,44.90014840417091
CXCL1,34.35453180637256
CCL7,42.970054030581025
CCK,37.68579563851583
ANGPT1,36.30923028771558
FGF13,44.64984649018587
CYR61,45.451323639142295
SLIT3,43.862116983390386
FGF9,67.75531245806489
CCL26,44.138010518940206
IL15,43.58888392239974
PTHLH,59.72883075385906
CCL11,33.34653441550826
APOE,53.06847704584106
TF,40.7101728177148
LAMB1,51.91292391373132
NTN4,39.20994962276981
IL7,48.76471494988093
SPP1,32.08924769164083
SLIT2,47.8387653176556
CXCL10,53.113831333209504
LEFTY2,34.26761525921561
S100A8,73.84744242568115
IL23A,46.802221599511974
CCL19,25.273200741957197
PDGFB,36.23486768988401
VEGFC,54.59369472395564
IL16,47.18862901596049
WNT3,76.94876731158881
INHBA,43.1190255663557
GHRL,37.698980189053316
PDGFD,34.66011668209313
CCL8,44.037164302171725
IL34,64.12929202113678
ANGPT2,29.602455705159368
BTC,39.38832709736566
HP,52.670835161077775
ORM1,41.65519086827346
VCAN,33.6643248794588
CCL5,57.65292462622773
RSPO4,39.52740061542079
VWF,66.31788258563029
IL11,79.75690518080496
GDF5,36.790343351887536
RAET1E,46.297836071473945
PNOC,77.56252880286647
PDGFC,35.20651011969922
LEP,56.618027466289966
GNRH1,50.19143021350478
TGFB1,27.839569164718906
ZP3,38.029761436966076
AGT,36.867156026170086
FGF7,43.529761633199286
CNTN4,34.21098937232208
IL1RN,58.93059884423026
NRG3,60.43139751359876
NRG2,37.19846586329415
C1QTNF5,34.140276164944055
SEMA3C,35.82632543652951
VEGFA,56.30898571456444
CCL22,56.09626503358359
IFNL1,44.37026243260148
EBI3,56.74198002745181
ANXA1,58.17911903109436
TNFSF15,71.33057632185705
LAMA3,49.16530647074767
LAMB2,59.789896217352364
LTB,42.02013349397356
SFRP2,53.32172203581759
CXCL14,61.77434975021077
WNT5B,31.663591394410105
WNT9A,42.37496709565419
IL36RN,32.70527995562508
FST,51.66728479964884
FGF12,36.4782022171506
ANGPTL4,65.82415116664751
FGF14,61.55092485225851
WISP3,58.15260844754663
CD55,28.8989347592552
COL5A2,36.96182864237907
F10,28.539506635941848
MMP12,53.59396941370388
FN1,45.52495670650182
COL3A1,76.43425984482366
COL1A1,55.35474208338815
COL4A1,74.95374709681393
COL18A1,55.6814085968656
COL1A2,70.85756468631162
LTF,83.94128809504038
FBN1,55.991363065045874
COL5A3,41.59946122900484
MMP9,67.24662815977744
COL4A2,63.2239847415126
COL9A1,24.947353785784735
COL9A3,68.77508894865736
COL2A1,52.422082329528756
NCAM1,22.769384744548237
COL7A1,48.97700176085641
COL6A1,63.13387096159179
COL4A4,31.338386509157445
