target,imp
A2M,0.24365689157750847
ADAM17,0.058028095459795676
ADCYAP1,0
ADIPOQ,0
ADM,3.086539605317051e-4
ADM2,0
AGT,1.9479494398000897e-4
ANGPT1,0.040748078359682284
ANGPT2,0
ANGPT4,0
ANGPTL1,0
ANGPTL2,2.685979310466968e-4
ANGPTL4,0
ANXA1,2.50665134493405
APLN,0
APOB,0
APOD,3.553214258253202
APOE,3.2515236576371533
APP,0.9099252378420563
ARTN,0
AZGP1,2.3461208256132347
B2M,13.849559029908983
BGN,3.3301406418263617e-4
BMP1,0.001390411736732875
BMP4,0
BMP5,3.522512549367307e-5
BMP6,0
BMP7,7.851996398253652e-5
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0
C1QTNF5,0.061060876130488405
C3,0.005021103698795976
C5,2.459833013058366e-4
CALCB,0
CALR,3.0951197288048236
CAMP,0.517602036440066
CCK,0
CCL11,3.463362294742286
CCL13,0
CCL17,0
CCL18,0.05037193454886001
CCL19,1.8450904031990454
CCL2,5.212428981241288e-6
CCL20,0.0018348806836523807
CCL21,1.0902702088433358e-4
CCL22,0
CCL23,0
CCL24,0
CCL25,0
CCL26,0
CCL28,1.0335897871251143
CCL3,0
CCL4,0
CCL5,1.8291378643673308
CCL7,0
CCL8,1.2511909603064503e-4
CD40LG,1.9167551886900447e-4
CD55,0.1679881137687189
CD5L,5.08987179339986
CD70,0
CD86,5.600136246299544
CFH,1.2045331219416555
CGA,0
CGN,0.08616562458844225
CKLF,3.713274903973903
CLEC11A,0.030339369951942644
CNTN2,0
CNTN4,1.2441778614530052e-5
COL11A1,0
COL14A1,9.059110013944077e-6
COL18A1,1.1732885062100096
COL1A1,1.6244289371819036
COL1A2,3.1823556112892923
COL2A1,0
COL3A1,1.0898434929294851
COL4A1,2.856594727946257
COL4A2,1.2770251076060324
COL4A3,0
COL4A4,0
COL4A5,0
COL4A6,0
COL5A1,0.0011890249625442816
COL5A2,3.1719746320967
COL5A3,0
COL6A1,0.31214954531679423
COL6A2,0.06134702295855444
COL7A1,0
COL8A1,0
COL9A1,0
COL9A2,1.9525771329813202e-4
COL9A3,2.192900236917656
COPA,1.0909259945575611
CP,0.01182965768363787
CRLF1,0.3640701435587614
CSF1,0
CTF1,0
CTGF,0.8296842794936545
CX3CL1,0
CXCL1,0
CXCL10,0.11854634293560594
CXCL11,2.75315343301403
CXCL12,0.0022625240403785956
CXCL13,0
CXCL14,7.645727872002361e-4
CXCL17,0
CXCL2,0
CXCL3,0
CXCL5,0
CXCL6,0
CXCL9,0
CYR61,0.017374027944305422
DCN,0.06422794445995311
DEFB1,1.712624894941942e-4
DHH,0
DKK1,0
DKK2,0
DLK1,0
EBI3,0
EDA,1.1009022764827736e-4
EDIL3,0
EDN1,0.873290197397277
EDN2,3.371450953500166e-4
EDN3,0
EFEMP1,0.015756141156425006
EFEMP2,0.003975253754422978
EFNA1,0.018880033150716055
EFNA4,0.8511922958902235
EGF,0
ENHO,0
EREG,0
F10,0
F12,0.35693705525642705
F13A1,0
F7,0
F8,0
FAM3C,2.1247264260024497
FASLG,0
FBLN1,0.014796821114686276
FBLN2,0.4849815370389256
FBN1,3.222511353144747e-5
FGF1,0
FGF10,0
FGF12,2.2314408771146875e-5
FGF13,0.4071751460884109
FGF14,0
FGF18,0
FGF2,0
FGF7,7.899201091597436e-4
FGF9,1.612014305554965e-4
FGL1,0
FN1,2.2086603567708574
FST,0
GAL,0.004348687384275818
GAS6,0.22889069023519298
GDF11,0
GDF15,0
GDF5,1.9219736126653564e-4
GDF6,0
GDF9,0
GDNF,0
GHRL,0
GNRH1,0
GPI,1.9914448064439247
GREM1,6.048999979674667
GRN,0.05333697878764061
GZMB,0
HBEGF,0
HGF,0
HLA.E,1.0236003558695002
HLA.G,0
HP,0
HSP90AA1,3.827986425807335
ICAM4,0
IFNG,0
IFNL1,0
IGF1,6.823369814598968e-5
IGF2,0
IGFBP4,2.8682156729842796
IL10,0
IL11,0
IL15,0
IL16,2.156395084646249
IL17B,0
IL17C,0
IL18,3.456264452242037
IL19,0
IL1B,0
IL1RN,0
IL23A,0
IL27,0
IL33,0
IL34,0
IL36G,0
IL36RN,0
IL37,0
IL5,0
IL6,0
IL7,0.11743106091756884
INHA,0
INHBA,0.9375283121150711
INHBB,0.006404842508692424
INHBC,0
INHBE,0
KITLG,0
L1CAM,0
LAMA1,0
LAMA2,0
