target,imp
A2M,3.5122014897789784
ADAM17,1.7458636179745446
ADCYAP1,0
ADIPOQ,0
ADM,0
ADM2,0
AGT,1.8595796732973133
ANGPT1,0
ANGPT2,0.7632130961302538
ANGPT4,0
ANGPTL1,2.5435626406401495
ANGPTL2,0
ANGPTL4,3.6021561910860957
ANXA1,0.8297782166147755
APLN,0
APOB,0
APOD,1.9304344024949942
APOE,3.2546549675670535
APP,2.343440097478916
ARTN,0
AZGP1,3.5248702776683127
B2M,7.576204028631274
BGN,0.7461229940811336
BMP1,7.958995593546487e-6
BMP4,0
BMP5,0
BMP6,0
BMP7,0
BMP8A,0
BMP8B,0.008223751214177009
BTC,0
C1QTNF1,0
C1QTNF5,0.1722730218470941
C3,0.33953457941735804
C5,0
CALCB,0.09317645198728629
CALR,4.296872516634201
CAMP,0
CCK,0
CCL11,0
CCL13,0
CCL17,0
CCL18,0.046344815105030135
CCL19,0.5144479650202728
CCL2,0.8564947099571628
CCL20,6.862019126556949e-7
CCL21,4.480408996250212
CCL22,0
CCL23,0
CCL24,0
CCL25,0
CCL26,0
CCL28,3.479429862532331e-6
CCL3,0
CCL4,2.009675236400732e-4
CCL5,0.48535060511677136
CCL7,0
CCL8,0.4623831017252482
CD40LG,0
CD55,0.019024401793508484
CD5L,0
CD70,0
CD86,0.016242995164444073
CFH,0.07656578748759739
CGA,0
CGN,1.8962263534689652
CKLF,0.023611692437461577
CLEC11A,1.103756788672869
CNTN2,0
CNTN4,2.96919397476076e-6
COL11A1,0
COL14A1,0.3100481679226559
COL18A1,1.6075464623605011
COL1A1,1.1732970019629467
COL1A2,2.60276617891376
COL2A1,1.345291973557395
COL3A1,4.756598499079202
COL4A1,2.6395310509388885
COL4A2,0.8952920441065828
COL4A3,0.43128298574299534
COL4A4,2.3395732476529916
COL4A5,0
COL4A6,0
COL5A1,2.0664097443427436
COL5A2,2.64629874612259
COL5A3,0
COL6A1,2.467221204885351
COL6A2,1.2183819647084377
COL7A1,0
COL8A1,0.004523947402898552
COL9A1,0
COL9A2,0
COL9A3,0.4114198639221791
COPA,3.3205922818058524
CP,0.027619095564749598
CRLF1,6.048812850994645e-4
CSF1,2.5077698245434843
CTF1,0
CTGF,1.3386933081501793
CX3CL1,0
CXCL1,0
CXCL10,2.567901651604675
CXCL11,0.4991385791688047
CXCL12,0
CXCL13,0
CXCL14,0.37146203963520746
CXCL17,0
CXCL2,0
CXCL3,0
CXCL5,0
CXCL6,0
CXCL9,0.009398572816202292
CYR61,2.1001861650719467
DCN,3.737322938695176
DEFB1,0.003993504893015119
DHH,0
DKK1,0
DKK2,0
DLK1,0
EBI3,0
EDA,0.033099540903603286
EDIL3,1.4169285331119787
EDN1,1.8986547956067656
EDN2,0
EDN3,0
EFEMP1,3.40612003361197e-4
EFEMP2,1.4270728289992285
EFNA1,0.01836663910143245
EFNA4,0
EGF,0
ENHO,0
EREG,0
F10,0
F12,0
F13A1,17.557182060141244
F7,0
F8,0
FAM3C,4.767408962754549e-4
FASLG,0
FBLN1,0.023879828428899463
FBLN2,0.05545130718630422
FBN1,0
FGF1,0
FGF10,0
FGF12,1.8355872303429166
FGF13,0
FGF14,0
FGF18,0
FGF2,0
FGF7,0.9260966669855129
FGF9,0
FGL1,0
FN1,5.454925065034269
FST,5.553508905531338
GAL,0
GAS6,0.6240815944526896
GDF11,0
GDF15,0
GDF5,0
GDF6,0
GDF9,0.017028065655207616
GDNF,0
GHRL,0
GNRH1,0
GPI,0.1296723293302595
GREM1,0.015942456936899097
GRN,1.0514007127950227
GZMB,1.8402265142848374e-4
HBEGF,0
HGF,0
