target,imp
IL18,0.05499406251005922
SEMA3F,0.009957446808510639
CTF1,0.0010184888463019134
CCL25,0.019962352126966603
CSF1,0
RARRES2,0.05143212808060363
CXCL11,0.04022725465607739
WNT2,0
NRG4,0.04095243309683836
NGF,0
INHBB,0.030576840645553532
WNT4,0.017934930839664912
EDA,0
CCL13,0
BMP4,0.026799593712307935
WNT5A,8.116883116883116e-4
PTN,0.01888888888888889
CXCL12,2.732843137254902e-4
TAC1,0.009830508474576272
GDF9,0.019859916747748195
TNFSF11,0.04666529353142394
LHB,0.04308982286972016
CCL17,0.03445150869112361
GDF11,0.10470301032838625
EREG,0.0013937282229965157
TNFSF12,7.03690143787038e-4
CXCL1,0
IL5,0.04383573689438416
CCL7,0.019282650666256732
CCK,0
HBEGF,0.009876543209876543
ANGPT1,0.02959570084792883
CX3CL1,0.009689249363867685
FGF13,7.371794871794871e-4
GAL,0.02839767156862745
ADCYAP1,3.289369077607651e-4
PDGFA,0.03966735966735967
PF4,0.052869124423963146
TGFB3,0.010208976334691445
FGF9,0.019323495032144946
CCL26,0
IL15,0
CXCL3,0.009666666666666667
CD40LG,0.029769215343000727
PTHLH,1.4686035521738703e-5
TNFSF14,0.019745222929936305
CXCL2,0.03674261083743842
CCL11,0.060434911589055
CD70,0.019992267543011793
GDF6,0.024897499475998973
IL7,0.009166666666666667
WNT11,0.050501711596063335
OXT,0.002216188106436179
NRG1,0.013290734824281149
PENK,0.03089674715813743
CXCL10,0.04404255319148936
CCL23,0.03744735868475712
TGFB2,0
IL23A,0.009642857142857142
EDN2,0.0035754385182533853
CXCL13,0.028886833519608728
CCL19,0.08039038896352167
PDGFB,0.02526315789473684
PGF,0.005463261686050262
VEGFC,0.020905395597360873
NRTN,1.7655088142094124e-5
IL27,0.019249662894600138
CCL4,0.035125971402317664
THPO,0.0012816041088546638
IL16,0
WNT3,0.048642396943807446
INHBA,0.009734991129252243
GHRL,0.07717526418491938
SHH,0.009041257748755744
PDGFD,0.019310344827586208
CCL8,0
CCL28,0.021270118840171017
EGF,0.019588449270704102
IL34,0.0392726137345198
CGA,0.05536927667226792
MDK,0.010998727519131701
BMP2,0
BTC,0.01223768451044654
IGF1,0.019440476190476192
IL10,0.014285714285714285
CXCL6,0.05389381536527448
GAS6,0.057226653380099614
NTF4,0.0011979166666666668
CCL20,0
MST1,0.051184475301762546
CCL5,0.018539538436939257
IL19,0.022426827076873677
CCL21,0.03415988543220685
IL11,0.019748427672955975
EDN3,0.04937527248347195
GDF5,0.050812129583831724
TNFSF8,0.08369396207570105
PNOC,3.2572638999829035e-5
PDGFC,0.013492454088077015
ADM,0.01890935546496772
CXCL5,0.02248541745612295
UCN,0
FGF2,0.018535353535353533
NTF3,0
TGFA,0.010582260290591698
LEP,0.06944947506079106
GNRH1,0.02106926106097093
TGFB1,0.03473076923076923
CXCL9,0.0040849487691893924
EDN1,2.8210627076679526e-5
LTA,0.008571428571428572
IL17B,0.09846342721975665
AGT,0.002361323155216285
FGF18,0.01131809268735951
FGF7,0.083265551435833
INHA,0.01716452367379562
FASLG,0
CCL24,0.03947996192829614
BMP6,8.06675914212524e-5
CCL3,0.04178238366838562
IL1RN,0.009641627631943308
NRG3,0.10556749248894662
IL6,0.03607741935483871
FGF10,0
NRG2,0.025755113625667615
KITLG,0.03170457809600133
VEGFA,0
TNFSF10,0
CCL22,0.06438416830822902
BMP7,0.0033142493638676847
IL1B,0.019198478586368865
CALCB,0.0103491067050187
IGF2,0.02816326530612245
HGF,0.016666666666666666
ADIPOQ,0.01763330743353164
EBI3,0.014058705976108577
ANXA1,0.0096875
WNT7B,4.269403290417469e-4
TNFSF13B,0.0049744810534314635
PYY,0.04780819201611118
PSPN,0.058153362835834076
TNFSF15,0
FGF1,0.06490593452564554
CCL2,1.3340159790214257e-4
TNF,0.029530586549068767
VEGFB,0.017148527225799053
POMC,0.0570554916510734
NMB,0.012781591660310197
ARTN,0.01490722559463769
LIF,0.03126458946330995
