target,imp
A2M,4.406817652963041
ADAM17,1.306353275585595
ADCYAP1,0
ADIPOQ,0.002141430549296859
ADM,0
ADM2,3.3228750308965456
AGT,0
ANGPT1,0
ANGPT2,0
ANGPTL1,0
ANGPTL2,0.47684468509945693
ANGPTL4,1.0325688850470287
ANXA1,4.360179322189523
APLN,0
APOB,0
APOD,5.469842375223823
APOE,5.831121520726644
APP,1.2501545509197605
ARTN,0
AZGP1,5.695903373151736
B2M,3.6702480068689836
BGN,2.6255903278911976
BMP1,0
BMP2,0
BMP4,1.3460825697016068
BMP6,0
BMP7,5.964202940625753
BMP8A,0
BMP8B,0
BTC,0
C1QTNF1,0.7433727045453747
C1QTNF5,0.013938521972003785
C3,1.9228223358012722
C5,0.0020917839611665134
CALCB,0
CALR,4.447232504135469
CAMP,1.6504158684350472
CCK,0
CCL11,0
CCL13,0
CCL17,0
CCL18,1.4292358053434624
CCL19,0.9621334455562084
CCL2,0.03390119822451101
CCL20,0
CCL21,0
CCL22,0
CCL23,0
CCL24,0
CCL25,0
CCL26,0
CCL28,2.1087001200446163
CCL3,0
CCL4,0
CCL5,0.86965790554862
CCL7,0
CCL8,0
CD40LG,0.0014625265972138468
CD55,0.02760586439596084
CD5L,0
CD70,0.004800784599873578
CD86,0
CFH,0.1084566025320963
CGA,0
CGN,4.37893377703404
CKLF,0.011052913662925627
CLEC11A,2.5564720480002385e-4
CNTN2,0
CNTN4,0.0017743298704654853
COL11A1,0
COL14A1,0.006463630242409986
COL18A1,0.8108906166624391
COL1A1,3.222993969120492
COL1A2,1.6139225689126724
COL2A1,3.6533848215732836
COL3A1,3.2135427866723334
COL4A1,0.17780012201074835
COL4A2,1.9813506823556575
COL4A3,0
COL4A4,0
COL4A5,0.5511826348653956
COL4A6,0
COL5A1,0
COL5A2,0.0020016176335021342
COL5A3,0
COL6A1,4.420318967699541
COL6A2,0.8116296276318528
COL7A1,2.231272247418738
COL8A1,3.1085444395731964e-4
COL9A1,0
COL9A2,1.695878744281579
COL9A3,2.925102661400018
COPA,4.249222360048223
CP,0.07701792730901909
CRLF1,0.8292489071645888
CSF1,0.6389663640768587
CTF1,0
CTGF,2.7615518314474405
CX3CL1,0
CXCL1,0
CXCL10,0.6621789916557036
CXCL11,0.45835035420357895
CXCL12,0.4792245825106341
CXCL13,0
CXCL14,0
CXCL17,0
CXCL2,0
CXCL3,0
CXCL5,0
CXCL6,0
CXCL9,0.0034308476627067375
CYR61,0.0331447991075072
DCN,2.39998489166437
DEFB1,0.7698035622639448
DHH,0
DKK1,0
DKK2,0
DLK1,0.13621857252684993
EBI3,2.2801824979773233
EDA,0
EDIL3,0
EDN1,0
EDN2,0.011115260724929072
EDN3,0
EFEMP1,0.021208052314913163
EFEMP2,0
EFNA1,2.723538223170707
EFNA4,3.0117107875183833
EGF,0
ENHO,0
EREG,0
F10,0
F12,0.5322884343340276
F13A1,2.1181067418921256
F8,0
FAM3C,0
FASLG,0
FBLN1,1.6284578036653112
FBLN2,1.7707360554179592
FBN1,5.002592405498856e-4
FGF1,0
FGF10,0
FGF12,1.1638752757648891
FGF13,0
FGF14,0
FGF18,0
FGF2,0
FGF7,0.09242306929844628
FGF9,0
FN1,1.6569276398188069
FST,0
GAL,1.7486556627079108
GAS6,1.5195631170428987
GDF11,2.8824324661072205
GDF15,0
GDF5,0
GDF6,0
GDF9,0
GHRL,0
GNRH1,0
GPI,2.3720177838233183
GREM1,0
GRN,0.8181867008070136
GZMB,0.009117048917696711
HBEGF,0
HGF,0
HLA.E,2.0727693539676633
HLA.G,0
HP,0
HSP90AA1,6.394905078574896
ICAM4,0
IFNG,0
IFNL1,0
IGF1,0
IGF2,0
IGFBP4,0.011902640054418682
IL10,0
IL11,0
IL15,0
IL16,0
IL17B,0
IL17C,0
IL18,0
IL19,0
IL1B,0
IL1RN,0
IL23A,0
IL27,0
IL33,0
IL34,0
IL36G,0
IL36RN,0
IL5,0
IL6,0
IL7,0
INHA,0
INHBA,0.0019263912654858795
INHBB,1.3384078383840292
INHBC,0
INHBE,0
KITLG,0
L1CAM,0
LAMA1,0
LAMA2,0
LAMA3,0.8546520279002724
LAMA5,3.5478633278937566
LAMB1,0.6435450768984878
LAMB2,3.0494277194445583
LAMC2,3.2602039193645114
LCN2,4.362438281888508
LEFTY2,0.7971111166708522
LEP,0
LGALS1,2.7340319322013342
LGALS3BP,4.297267663284495
LGALS9,1.6496542344301535
LHB,0
LIF,1.2823467967045277
LTA,0
LTB,0
LTBP3,1.8368656082796264
LTF,0.7826774792357739
MDK,6.139121033668694
MFAP2,0
MFGE8,2.356298313840864
MIA,0.9917814068528947
MIF,5.1467255958928275
MMP1,0
MMP12,0
MMP13,0
MMP2,0
MMP7,0
MMP9,0.9857848519009241
MST1,0
"NAMPT",0
NCAM1,0
NDP,0
NGF,0
NID1,0
NID2,2.069386540365055
NLGN1,0
NMB,0
NMU,0
NPB,0
NPNT,0.21261899378985136
NPW,0
NRG1,0
NRG2,0.19260938293578556
NRG3,0
NRG4,0
NRTN,2.997676834957238
NTF3,0
NTF4,0.5864669568142874
NTN1,0
NTN4,0.6053140910831561
NTNG2,0
NTS,0
NXPH2,0
NXPH3,0
OBP2A,0.9635379418360677
OLFM2,0
ORM1,0
OSM,0
OSTN,0
OXT,0
PCSK9,0
PDCD1LG2,0
PDGFA,2.4208749375002387
PDGFB,0
PDGFC,1.467874576966071
PDGFD,0
PENK,0
PF4,0
PGF,0
PLA2G10,0
PLAT,0
PLAU,1.8675455965266294
PNOC,0
POMC,0
PPBP,0
PROC,0
PROK2,0
PSAP,7.033066778381994
PSPN,0
PTH,0
PTHLH,0
PTN,1.2032041603693173e-4
PYY,0
RAET1E,0
RARRES2,0.6242292884198116
RBP4,0
RELN,0
RGMA,0.7411040418815612
RGMB,0
RLN1,0
RLN2,0
RPH3A,0
RSPO1,0
RSPO2,0
RSPO3,0
RSPO4,0
S100A8,7.109769712863132
S100A9,6.4398556430747025
SAA1,5.880982880984537
SCGB1A1,0
SCGB3A1,0
SEMA3A,0
SEMA3B,0.07241171242768775
SEMA3C,0.0018303109660206996
SEMA3D,0
SEMA3E,0
SEMA3F,2.9212713223466875
SEMA3G,0
SERPINA1,0
SERPINC1,0
SERPINE1,0
SERPINE2,0
SERPING1,0.29097389386282385
SFRP2,0
SFTPD,0
SHH,0
SLIT2,0
SLIT3,0
SLURP1,1.3480939029317258
SPINT1,1.9884586737756822
SPON2,0.9532143540441175
SPP1,1.997850723362313
TAC1,0
TF,0.17396048580571521
TFPI,2.1030257355607698
TG,0
TGFA,2.6195667489872596
TGFB1,0
TGFB2,0
TGFB3,0.4278780847768381
TGM2,0
THBS1,0.015085279464115009
THBS2,4.105546454242256
THPO,0
TIMP1,0.715899002559904
TIMP2,4.564481278111616
TNC,0
TNF,0
TNFSF10,2.94903651408581
TNFSF11,0
TNFSF12,0
TNFSF13B,1.0472639604146639
TNFSF14,0
TNFSF15,0
TNFSF8,1.2069302447213103e-4
UCN,0
UCN2,0
ULBP2,1.171065548033082
UTS2B,0
VCAM1,0
VCAN,0.6489694692720601
VEGFA,5.0754951170622284
VEGFB,2.7436866315500494
VEGFC,0
VIM,7.9105856805108115
VWF,0.8478884590843347
WISP3,4.697255361733165
WNT10A,0
WNT10B,0
WNT11,0
WNT2,0
WNT2B,0
WNT3,1.038365622363351
WNT3A,0
WNT4,2.1981538466798725
WNT5A,1.9542318144339526
WNT5B,0
WNT6,1.9604055513042733
WNT7B,0
WNT9A,0.9935867940711121
WNT9B,0
ZG16B,0.04076972166582021
ZP3,0
