target,imp
SEMA3G,48.209225204241584
SEMA3A,53.587340381908504
CCL25,35.95141680785247
OLFM2,55.53779637704292
CXCL11,54.04784154832336
WNT2,55.17240736571368
L1CAM,53.4880863787341
INHBB,99.89263207114165
NTN1,69.63333034618884
EDA,69.92419318914003
CCL13,47.65988937688999
BMP4,44.400395780121826
TG,42.03802768866073
PTN,76.31453237919918
CXCL1,56.62073640283584
CCL7,38.90574762089628
CCK,38.47341766531949
ANGPT1,47.70661857095411
FGF13,56.54806478134379
CYR61,67.76682559732713
SLIT3,57.78759053906398
FGF9,36.87418067983393
CCL26,56.45283162991535
IL15,50.184630960719694
PTHLH,39.8896830476792
CCL11,39.042313691340226
APOE,62.718903634353204
TF,69.90222184925065
LAMB1,80.50481869863252
NTN4,62.41561832941651
IL7,54.717312310043525
SPP1,62.46132095791404
SLIT2,57.89166718726131
CXCL10,63.2901428323179
LEFTY2,82.09597799530594
S100A8,64.18361747611463
IL23A,45.127016111952756
CCL19,65.54594701205639
PDGFB,35.298309803900935
VEGFC,49.32371494181302
IL16,54.81561683839515
WNT3,67.2751107026428
INHBA,58.807503597579405
GHRL,49.4634307460407
PDGFD,34.32373253475783
CCL8,55.37553844843927
IL34,77.83543877293044
ANGPT2,41.860143526935865
BTC,41.54856273130551
HP,37.65551385831126
ORM1,36.23017115119214
VCAN,68.5617775237772
CCL5,90.27595446191827
RSPO4,63.19139484917218
VWF,65.02055633924327
IL11,62.941123869158176
GDF5,42.62033244767909
RAET1E,51.26440753963825
PNOC,36.22400417300667
PDGFC,73.23915724240432
LEP,62.04177413453719
GNRH1,61.06532682452416
TGFB1,64.36094338311186
ZP3,59.50144642433516
AGT,62.06342763796516
FGF7,65.56590049028752
CNTN4,60.60580039091799
IL1RN,48.622540627639644
NRG3,53.578191058810006
NRG2,55.44178370280355
C1QTNF5,63.81488844790046
SEMA3C,63.28063262533089
VEGFA,65.85016876232443
CCL22,52.12267478040796
IFNL1,47.55669207390516
EBI3,36.82937131924209
ANXA1,91.26878867127827
TNFSF15,59.60481384412391
LAMA3,58.42362339536658
LAMB2,70.5786466802262
LTB,63.92110070628645
SFRP2,56.316179825517864
CXCL14,63.02358820072356
WNT5B,41.42783985355376
WNT9A,85.81105762689376
IL36RN,46.41017332267777
FST,76.3980236797279
FGF12,55.16807410410397
ANGPTL4,70.88754909726737
FGF14,59.06938929119523
WISP3,53.26262731155326
CD55,69.66116666534859
COL5A2,83.65375577690996
F10,39.61482496496092
MMP12,62.27837858007041
FN1,59.08823442545509
COL3A1,62.528062024529156
COL1A1,59.241060207960956
COL4A1,64.46131379366834
COL18A1,67.45480347296645
COL1A2,78.17549396546703
LTF,70.83171864570872
FBN1,40.60707105190476
COL5A3,76.85665963835895
MMP9,59.943604940195655
COL4A2,63.17265899550071
COL9A1,60.52317246835357
COL9A3,65.15935333692734
COL2A1,48.05670690511397
NCAM1,39.64370290155717
COL7A1,53.25662970580789
COL6A1,66.14778089787833
COL4A4,38.28680425546355
