target,imp
A2M,5.622709532094839
ADAM17,3.040644604689949
ADCYAP1,5.111851943766984
ADIPOQ,0.9529575456476586
ADM,4.798146697537266
ADM2,4.889530518418457
AGT,2.4902072298175786
ANGPT1,4.96796944920588
ANGPT2,5.512248793739404
ANGPTL1,3.3498499509212536
ANGPTL2,4.539574756751349
ANGPTL4,6.4127874179900095
ANXA1,4.869300414462498
APLN,3.6300496289395654
APOB,5.778158239840712
APOD,14.68394505001129
APOE,3.6051471670313244
APP,4.381516552588359
ARTN,2.5756521805253296
AZGP1,3.575315796830802
B2M,0.6640376021759572
BGN,1.2358792769725053
BMP1,1.5634351298353828
BMP2,2.2789759023183405
BMP4,3.491998202010172
BMP6,2.8990572554435006
BMP7,7.3905579959577405
BMP8A,2.2044135542641263
BMP8B,6.112798766984872
BTC,1.9364996901766893
C1QTNF1,2.5793680717376684
C1QTNF5,5.61400591509358
C3,5.3021441006171806
C5,3.7809591832240623
CALCB,2.8870573908110675
CALR,1.388311279963449
CAMP,4.739589259212718
CCK,2.2042191944494185
CCL11,4.521513970699453
CCL13,5.141600655507853
CCL17,4.697962379768931
CCL18,2.5113817064888977
CCL19,4.188982699951597
CCL2,2.9550421557910074
CCL20,4.205613433007949
CCL21,0.028103593012794085
CCL22,4.148336483071693
CCL23,3.8283311180781654
CCL24,7.306388843689648
CCL25,7.129356704004299
CCL26,5.493297612685035
CCL28,3.4918639724771867
CCL3,4.464289632819589
CCL4,4.924417084952404
CCL5,2.6484127174089225
CCL7,2.776650428788523
CCL8,5.0998142649793365
CD40LG,4.4104311397955485
CD55,0.556757941841784
CD5L,2.326836782762175
CD70,3.777146080590387
CD86,5.360668919265596
CFH,6.375152821360091
CGA,2.4716756316747834
CGN,3.1764125934212317
CKLF,5.330943080638479
CLEC11A,3.5071557601123073
CNTN2,3.205604993111013
CNTN4,4.007513370780561
COL11A1,6.047882658734252
COL14A1,3.172260039139661
COL18A1,5.6092491123416774
COL1A1,4.37764483862938
COL1A2,4.770667372005505
COL2A1,5.090410036115838
COL3A1,3.4212473274581026
COL4A1,3.756550924709448
COL4A2,1.9469163841020802
COL4A3,4.902964551998272
COL4A4,6.851387992464107
COL4A5,2.164221510636661
COL4A6,4.816595357593809
COL5A1,4.074103664669092
COL5A2,4.254678346500939
COL5A3,4.374690708129577
COL6A1,3.581912681914292
COL6A2,4.716678205150601
COL7A1,3.3878234635611806
COL8A1,2.323552370632457
COL9A1,4.973524034179926
COL9A2,2.2034804895269544
COL9A3,2.879040543352757
COPA,5.421803486814792
CP,3.137889900298506
CRLF1,3.974681529315449
CSF1,2.1880233215572265
CTF1,1.3323390444507965
CTGF,2.8491743067731203
CX3CL1,5.003627545103024
CXCL1,2.469482336066697
CXCL10,3.2052038564061163
CXCL11,6.358041452909537
CXCL12,5.017829902304222
CXCL13,2.4061266758293183
CXCL14,5.701861040931096
CXCL17,5.0294944572967015
CXCL2,3.5470069777860447
CXCL3,2.254775466694109
CXCL5,6.431557759798434
CXCL6,2.7320290923011985
CXCL9,2.3294082637407536
CYR61,2.2470648257198964
DCN,3.495558459748064
DEFB1,3.094813125239875
DHH,5.0870992831217
DKK1,2.698018847520477
DKK2,8.15841976880316
DLK1,6.046217497055337
EBI3,3.626385770014291
EDA,4.809325677835786
EDIL3,4.919039342074682
EDN1,3.3897739841151373
