target,imp
SEMA3G,18.042438500698466
SEMA3A,15.620273429036553
CCL25,16.558538362248377
OLFM2,16.476094753156374
CXCL11,25.35690776830469
WNT2,12.03566301174984
L1CAM,12.535126996149538
INHBB,12.682855210919763
NTN1,16.207800739764043
EDA,9.402386787436994
CCL13,24.362037433067048
BMP4,11.963150192030964
TG,9.32602087096785
PTN,18.90312430987866
CXCL1,9.81824338504362
CCL7,18.773894499357137
CCK,9.800355192288205
ANGPT1,18.436320446016563
FGF13,25.374232707667566
CYR61,29.940896467104263
SLIT3,47.44740081962658
FGF9,5.031845983412937
CCL26,20.502596405642677
IL15,14.799866211460165
PTHLH,17.48627545162241
CCL11,22.61458154203415
APOE,27.750290183152217
TF,32.91225931927054
LAMB1,26.740116429057963
NTN4,32.21992098376872
IL7,18.492867360712992
SPP1,27.355080050227457
SLIT2,6.890310445494422
CXCL10,16.836387197980482
LEFTY2,18.53214100326175
S100A8,22.34202821805227
IL23A,18.946663242059913
CCL19,13.538230278409236
PDGFB,9.450982577110674
VEGFC,30.739677350674228
IL16,19.449279860657935
WNT3,17.89548441266121
INHBA,21.139153908698155
GHRL,13.319808918456372
PDGFD,7.241258737903402
CCL8,17.581690614657763
IL34,36.34239052722639
ANGPT2,18.769333233450112
BTC,15.660010107818696
HP,12.820656286745482
ORM1,5.645804829061404
VCAN,23.123350245112626
CCL5,19.14799607588283
RSPO4,15.424682430696864
VWF,20.855919218989598
IL11,15.498405305572414
GDF5,5.276740097075176
RAET1E,12.136115748846203
PNOC,24.565218652901578
PDGFC,6.603091986821495
LEP,16.275456924094495
GNRH1,11.598046413035563
TGFB1,21.493682745755283
ZP3,19.80218393806866
AGT,12.69677652689945
FGF7,10.789674492654044
CNTN4,18.318823768899623
IL1RN,9.642497001951233
NRG3,17.991109816922144
NRG2,4.465732820488045
C1QTNF5,19.979567930285736
SEMA3C,11.090679561334582
VEGFA,20.36972063324678
CCL22,18.588490469532406
IFNL1,21.66127690372765
EBI3,14.142672909069873
ANXA1,14.764175861064043
TNFSF15,21.421258159023054
LAMA3,15.343022274532009
LAMB2,48.192319631339544
LTB,35.21307255513077
SFRP2,23.339408537523067
CXCL14,9.626282543812431
WNT5B,15.905463858322124
WNT9A,19.535404209675804
IL36RN,11.915145395352205
FST,18.939757644589847
FGF12,12.234311773462691
ANGPTL4,15.728497291732568
FGF14,11.083858276847216
WISP3,40.56947155717661
CD55,23.370868608792225
COL5A2,14.616619544069271
F10,19.866586108186688
MMP12,13.691796172854009
FN1,17.630773469717354
COL3A1,14.157691962841257
COL1A1,17.52925894145708
COL4A1,13.10123767138289
COL18A1,26.596696832875026
COL1A2,19.631320501139307
LTF,12.247531354869034
FBN1,22.955335651090376
COL5A3,16.180053045027638
MMP9,15.595955483969817
COL4A2,21.180616362973666
COL9A1,33.54597217892302
COL9A3,21.306331355778262
COL2A1,20.486413083855414
NCAM1,14.02756114406876
COL7A1,21.675156372423306
COL6A1,18.953520359312332
COL4A4,18.494961898335262
