target,imp
SEMA3B,17.47102289310949
NXPH1,22.517620771348906
NRG4,17.514768893174036
WNT4,16.95970206854301
TG,18.602953666867396
LTBP3,16.92434281400196
NLGN1,25.230992152136313
CCK,18.54439486627057
RELN,19.116591891237327
SPP1,22.784062571576882
WNT3,16.48505737259975
PDGFD,26.33636145738176
NDP,20.333790310464703
CGA,46.289756809929735
MDK,16.35950302128842
IGF1,19.793611619161663
MST1,18.851987528832332
MFGE8,25.30631680706733
ZP3,17.511413062184424
FGF18,16.77698463373838
CNTN4,17.729097667308427
CGN,15.482989738606374
NRG3,16.981301572655592
FGF10,19.802329418233068
NRG2,16.031078227010525
ANGPTL1,25.530799029257956
ANXA1,21.0970449494063
LAMA3,18.06036529595718
LAMA1,20.104863027232877
FAM3C,17.610223097348623
GDF15,17.495862656185295
FST,14.437821159649348
FGF12,21.57044483008657
COPA,14.404605494254676
TFF1,17.266526787246722
TIMP1,33.62087731836728
VIM,26.39908650889383
LTF,20.783567831593476
MMP2,25.554067902957808
COL9A2,13.027683897768044
NCAM1,19.389267043460162
