target intercept intra juxta.15 para.100 p.intercept p.intra p.juxta.15 p.para.100
IL13RA1 0.017258276929815 -0.0925514424925482 -0.112869571583217 -0.0466852622876041 0.473976017063044 0.185694731462809 0.270443613507492 0.582082108095543
ITGA3 0.0160408824400238 -0.0887348283059393 0.0744288389327143 -0.0883295354023738 0.525052300270384 0.238547521515886 0.387302971169085 0.317326926396274
NOTCH1 -0.0105168322803638 0.0555086670759786 -0.0227242728853133 -0.0114762376963264 0.261840334225673 0.593324047136178 0.966277976154305 0.884883413361843
CELSR1 -0.0302310072141014 -0.0283438732935253 -0.0533857880644908 -0.0410516240379 0.0346230886838627 0.640596652984166 0.783883591722242 0.772244449540965
ERBB4 -0.0790133664170644 0.0726100931550695 -0.0242256101401689 0.23502527397233 0.00362981852909323 0.237062891874658 0.755372926383553 0.000412831536035138
ITGA1 -0.00500532736718982 0.63452793093154 0.00795311869268799 0.0304821860615036 0.512477296184435 3.54120713390795e-10 0.942114504691518 0.644968477493457
ITGA7 -0.00507353535252859 -0.0185978204651116 0.186552553191684 -0.0290181606883851 0.627187075415727 0.802881326992869 0.694750433376201 0.811390719694259
AGTR1 -0.0346840222528296 -0.0106396505061849 0.00167733789744828 0.069407136035295 0.106524329332134 0.900205508434273 0.984965197763519 0.298117505743411
RAMP3 0.000647046183120155 1.01282147548642 -0.00120532848664565 0.0107930684318279 2.22811231846837e-05 0 0.801107352023271 0.00900119085696139
ADIPOR2 0.000432469209201448 1.02539359210194 -0.00560998605644077 -0.00563429217200073 0.337516344104951 0 0.40071459985352 0.365245418095298
NPTN -0.02542264366322 -0.0193490567482962 -0.0305303162360613 -0.0141090007268346 0.271001194449849 0.797353551809931 0.682584119446621 0.855745525167767
LPAR6 -0.0227015827100382 -0.0346980023436772 -0.0307350425469359 -0.0332961108782071 0.122593936845509 0.656359603309877 0.687251989012427 0.717598943042996
GPR158 -0.00592815487744446 -0.165185198280151 -0.0516287066946921 -0.0302164412528583 0.637495297400488 0.0371986582724312 0.550006786234556 0.784471082639585
NRP1 -0.000137101048728423 1.021003382734 -0.00865871083772312 -0.00181259256322777 0.550616244062264 0 0.169714178137661 0.75522847194544
MET -0.00434809507318261 -0.0164996773965032 -0.022964155403112 -0.0160832265730411 0.728625948265061 0.846179411440487 0.770247603324005 0.850124405319923
BMPR2 -0.0304952275394655 0.0146940677454631 -0.0382337006875128 0.0353728472905628 0.106152724478415 0.852811168152753 0.692458901453786 0.788502804454104
ITGA8 -0.0107364702060296 0.254177255936544 0.153211664828118 0.0692784124112532 0.242675242962458 1.19135344395322e-05 0.53991631699767 0.421054304501018
NOTCH4 0.000331378629454215 1.01262469600174 -0.00277232323006906 0.00808630155468085 0.00045492230567693 0 0.566360352975461 0.0441464153341861
ITGA2 -0.0169269546662839 0.312691043445003 -0.109210048803031 -0.066666759927913 0.259968068979614 0.00175944704875534 0.388437325730922 0.490450821944484
PTPRB 0.000425181134726733 1.01157788832873 0.00249350430609257 0.00721128836774723 3.10571869005506e-05 0 0.619327700000523 0.0971052325502606
LRRC4C -0.00459824428956765 -0.00799091603935329 -0.0359818694903198 0.148472814449417 0.810616784600499 0.893658415233245 0.645940596588509 0.18293268297051
GPR39 -0.00149223088804445 -0.0535685761020054 -0.0384168954827463 0.0763095996641603 0.932997528250118 0.412850845692674 0.623909151703194 0.523275448755546
CD81 0.035357929002488 -0.161147304803663 -0.0313030222050808 0.173486180528951 0.22613076226799 0.0100214282948603 0.704032468790015 0.0159415912465648
IL20RB -3.85124857088804e-05 1.01882130601344 -0.00783930657415741 -0.00201320193071641 0.891544194194129 0 0.199517167702351 0.719067091075051
FCRL3 -0.000397498126211887 1.01799524187202 -0.00394592449117251 0.00138346611368666 0.314526743481397 0 0.530740191732058 0.811484243305145
