target,imp
IL13RA1,0.44047464081143467
BMPR2,2.0274242108834564
LRP5,1.7833487448154015
ROBO1,4.117499704328472
ROBO2,2.2427279875012642
IL1RAPL1,1.9555681756264198
OPRM1,3.0661363773167882
ITGA3,2.1638962415797955
ITGA8,3.8064485038080784
OSMR,0.876701551299249
MC1R,5.526156156354254
EPHB3,5.759997990988595
CD36,15.53370224617712
ITGB1,3.753086562395974
ERBB4,14.597659255317705
LRRC4C,3.735273646571107
IL12RB2,7.984713944136809
PLGRKT,3.2517610195041455
PLXNA3,23.04398653575882
LPAR4,3.710951502171276
KREMEN2,1.0236664219664318
NOTCH1,4.502617374131315
NOTCH4,3.167619106779863
INSR,1.3437914193518639
ITGA9,1.837327234913067
ITGB4,6.756047494285551
NRXN3,6.706857689967221
CELSR1,3.183944063197687
PTPRB,1.1897966460931262
DCC,2.693743803384383
PTPRM,0.0158417170607801
VIPR2,4.026754949755178
IL1RL2,4.524147121228941
LRP11,3.620429405317097
ITGA1,0.02534423219122244
ITGA2,4.3155266358651385
NEO1,0.45130225148888004
EPHA6,11.581513276037061
ADCY1,4.623208499466398
TSPAN1,1.0224265746163068
APLP2,2.4011000987446245
ITGA7,1.5112693837135078
CD81,0.8078554413117195
IGF2R,2.2571476645241604
ALK,8.344585767773548
IFNLR1,3.2863268294180448
RTN4R,4.425002323036706
KISS1R,2.8026453480576827
AGTR1,1.2082651508248696
GPR39,0.28712774182202205
IFNGR1,2.355239651926513
CNTNAP2,2.0319851324790763
NRXN1,0.6332911187141351
BMPR1B,3.453377906773963
ADIPOR2,13.52083862274561
IL20RB,3.0079935025764764
GRM5,5.407736109698761
NTSR2,1.3384284446903822
CCR10,1.9894156613096434
TNFRSF10C,3.1014685391467323
PLXNA2,1.558206539110407
RAMP3,2.548150088360879
PTPRD,6.687198347825764
AR,2.995932293912331
PTPRJ,1.4103562045129223
GRM7,0.027624219336744204
GRM4,3.3198948436817255
MAGED1,2.656840756091329
NPTN,4.078596333280817
FCRL3,3.3999616580248455
CELSR2,2.891084772727715
PAQR7,2.376965280628887
PTPRT,3.4048606399356465
IL1RAPL2,5.395365824475195
LPAR6,5.094366803069429
GPR27,1.389469970438722
LTB4R,2.578354302542339
CLEC5A,4.934053424033557
LRP12,1.3975375040696658
LRP3,3.915117330280777
GPR158,2.0773154675576144
PAQR5,1.2358513519257817
ESR1,4.4180547350428085
GRM8,4.949621676881361
P2RY11,9.47499780504925
TSPAN15,1.8903864700989461
GRIN2A,4.200733742819117
NRP1,5.978854033806098
CD9,7.382703806696839
FZD8,3.9432356626005314
ST14,5.774313765839688
PTPRS,1.7103983448614437
PLAUR,3.0564618253502345
KDR,0.22596731985179264
MET,4.655457572373492
ICAM3,6.347040099513918
FGFR2,5.564219440476008
JMJD6,2.4552722773684814
PVR,0.1776136798253629
CD40,4.310556056168473
EPHA10,1.4318740650866146
