target,imp
A2M,0.2248479936513301
ADAM17,15.38042454154158
ADM2,0
ANGPT1,0.001254095730065552
ANGPT2,0.01805488852326757
ANGPTL1,0.016149706311903027
ANXA1,4.999175534766253e-4
APP,0.16392459177160623
AZGP1,18.456855073839144
B2M,42.20635683463784
BTC,0
CALR,5.4904498353416535
CCK,0.21744485088258259
CCL28,3.9213139081140433e-4
CD55,0.12250571954226398
CD5L,5.884298323538162e-4
CD70,0
CGA,66.86464914516932
CGN,0.0020080180946971614
CHAD,0.4372192412942419
CKLF,0.1352755688688009
CLEC11A,9.281810801310364
CNTN4,0.015066533066130585
COL14A1,0
COL18A1,4.7117968043088656e-4
COL1A2,0
COL4A1,0.01903903498927406
COL4A2,0.0034760517373657374
COL4A5,0.016836306429237915
COL5A1,0.00380396704353021
COL5A2,0
COL6A1,0
COL7A1,0.0014479915416677125
COL9A2,0.3777726822134999
COL9A3,1.7182004097419324e-4
COPA,2.8348928373279785
CRLF1,0.0036951034903717163
CYR61,0.01951727256555989
DCN,0.002601156096907227
DKK2,2.1342172103915314e-5
EDA,0.019540253751099485
EDIL3,2.4488138785226052
EFEMP2,0.07584941548080518
EFNA1,7.21809191976762
EFNA4,0.006938959655378583
EGF,0.04782731445486599
F10,2.2011569103282945e-5
F12,0.003668939048364844
F8,0.008214719708360897
FAM3C,0.034837791436537896
FGF10,0.08848610470316119
FGF12,9.250345382039826e-4
FGF13,1.6847547836979562
FGF14,0.003355553439905119
FGF18,0
FN1,0.43538361122555375
FST,0.3136982985409306
GAS6,0.06363394131452794
GDF15,0.36407388117332395
GHRL,1.582958830276454e-5
GNRH1,0.0016389746482406457
GPI,2.3098328290825982
GRN,0.13674024661102996
HGF,0.004315778796235099
HLA.E,0.0013031619902100328
HLA.G,0.047890717912205776
HSP90AA1,28.17475942149239
IGF1,2.8206954796053564e-4
IGFBP4,0.19815792478896402
INHBB,1.7247888211053553
KITLG,0.01487914677345619
L1CAM,0
LAMA1,0.02544702726164612
LAMA2,0
LAMA3,0.14896897361217523
LAMA5,0.0033856760081683035
LAMB1,0.00389108789467132
LAMB2,6.10711152169391
LGALS1,10.887292019171815
LGALS3BP,28.760614966905706
LTBP3,0.09405468208423634
LTF,14.549427305382629
MDK,2.9291660096082763
MFGE8,0
MIF,30.364241035706662
MMP2,0
MST1,0.004641770508279345
"NAMPT",1.7516164658708464
NCAM1,0.023717937854847958
NDP,0.017083260019018012
NLGN1,0.07684308446668968
NPNT,9.789617841997411e-4
NRG1,0
NRG2,0.0015240128334455382
NRG3,0.0021927924074321846
NRG4,0
NTN1,9.533969082384255
NTN4,0.5789688235548613
NXPH1,5.409606961708146
OSTN,3.166154692713585e-5
PDGFB,0
PDGFC,0.027569304127647395
PDGFD,0.0015457480914435663
PLAT,0.001223160946713505
PSAP,27.47682139003321
PTN,6.63223703400051e-4
RARRES2,1.0249138474391308e-4
RELN,18.42699021592628
RGMB,2.1991274923942132
RPH3A,5.421591362041103e-4
SEMA3A,0.006631248724924417
SEMA3B,0.07112238287386038
SEMA3C,0.0012606013980651853
SEMA3F,0.008552822640576776
SERPINA1,0.5672235904753227
SLIT2,0
SLIT3,0.017514885767179057
SPINT1,0.1478494756766318
SPON2,0.07563068704455905
SPP1,0.02174947625813056
TFF1,6.988719130966992e-4
TG,0.007495370318478372
TGFA,0.012070531269728488
TGFB1,0.013750605839026325
TIMP1,19.850033133547225
TIMP2,0.10672610226526641
TNFSF10,0.21086388375612802
TNFSF12,5.702118213146279e-4
TRH,1.0784742552011601
UCN,0.002177161190636481
VEGFA,4.391513808346129
VEGFB,0.07416740794071933
VIM,0.008323296896711513
WNT3,0
WNT4,0.006356589694178469
WNT9B,2.4344387197813204e-4
ZG16B,8.573097500471647
ZP3,0.002037967127683941
