target,imp
SEMA3B,0.01141237558766689
NXPH1,0.010145528300596694
NRG4,0.008414356677496926
WNT4,0.010143832527969547
TG,0.010978077632669463
LTBP3,0.0066765068196899535
NLGN1,0.021175692506929127
CCK,0.011546593541426238
RELN,0.008130645898925011
SPP1,0.029749985818788353
WNT3,0.0378735492318341
PDGFD,0.01096156464528141
NDP,0.006302569604983611
CGA,0.015983528528713226
MDK,0.011062872474550527
IGF1,0.010254077381313696
MST1,0.007113737996915235
MFGE8,0.023750449556156614
ZP3,0.02037697523776957
FGF18,0.009891235404786288
CNTN4,0.013544387852164719
CGN,0.029745080332162027
NRG3,0.009985708869540559
FGF10,0.006468425395933877
NRG2,0.016958582975103494
ANGPTL1,0.013144419532571045
ANXA1,0.028584746000546075
LAMA3,0.012006386765267971
LAMA1,0.010604915192982076
FAM3C,0.013749122374719359
GDF15,0.021097005353618466
FST,0.007978413135224098
FGF12,0.00951133694753911
COPA,0.016309159385334854
TFF1,0.012211255475063774
TIMP1,0.009969997264193032
VIM,0.038112890510248666
LTF,0.02134671179701614
MMP2,0.02082811060412075
COL9A2,0.007722562912976969
NCAM1,0.00985330324053064
