target,imp
CD19,65.56622384744134
PECAM1,16.669929831846634
HLA.DRA,20.609270879558483
MKI67,44.98686876914244
CD274,19.91998856981391
FAP,18.058816566367064
CTLA4,183.9718459893632
CD69,21.106487375527227
CD2,118.0374245963466
B3GAT1,91.21307377479485
PDPN,131.44533324093095
HIF1A,113.67872688479254
COL4A2,18.869679495555538
CD40LG,58.2841645850638
NCAM1,73.83484793057387
IGHM,13.13320564748101
MMP12,491.390238428036
CD36,14.41157652550292
CD9,14.236600136117493
CD1C,30.674827064023916
ITGA6,159.00904612983254
PTPRC,18.48568101517697
FCGR3A,193.57475984183068
FOXP3,35.91574450794927
IL3RA,28.714378931480983
KRT19,21.213716476807367
HLA.B,26.36461036052724
THY1,14.277787190204172
ICOS,13.24663498851586
CXCR5,29.08510408702874
KIT,19.511523057200442
PDCD1,50.45772805092235
CD5,28.786766309299
PDCD1LG2,333.5727662512247
ITGAX,18.618353295267756
VIM,18.386954866153754
ICAM1,16.57989861188837
LILRB1,159.6915191461627
CD7,20.070615500978253
FUT4,43.35224452905209
CR2,403.3001262986774
CD38,18.579059395059044
CD4,207.58354126786887
ISG20,21.23227900714853
CEACAM1,30.885719462632487
CD40,16.084177532315465
CD8A,55.59493707783323
PTPRCRA,18.583603665587617
ENTPD1,16.701743911718722
