target,imp
ACTA2,296.4760197419489
ACTG2,109.95374335661747
ACTR3B,327.8303220661891
ADGRL4,85.26400633574251
AGR2,461.0685209922874
AHR,295.1468309332926
AIF1,145.1096677175502
AKT1,866.038636548858
ALDH1A3,337.0726834086725
ANLN,455.3187349264351
AP1M2,276.8261486981369
APOC1,297.6930567833158
APOE,328.6487989993558
AR,255.9891094517136
AURKA,1433.9477436016416
AZGP1,2084.290211340096
B2M,1067.4771760990188
BAG1,1659.592726874682
BANK1,226.72203627929798
BCL2,180.264416119033
BGN,793.3328623989994
BICC1,119.53843163975365
BIRC5,165.35767191182006
BLVRA,305.82707241747454
BRAF,121.40490849185622
C1QA,238.52514275160266
C1QB,233.62303789605375
CALCRL,162.63701088702317
CAPN13,205.31698685741827
CCL2,97.21485798285676
CCL3,167.34939387988564
CCL4,153.94167130944052
CCL5,197.96261950706645
CCNB1,697.472474474269
CCND1,2145.3661223531576
CCNE1,363.4125581850294
CCNE2,149.5470182801007
CD14,206.5889983808437
CD163,212.91863527663952
CD19,137.88147036206888
CD2,266.2339328802785
CD24,2064.452529500353
CD274,186.15678848152052
CD34,200.59619261417413
CD36,372.7833960423014
CD38,152.14654157369208
CD3D,129.17345925675173
CD3E,200.84058407370844
CD3G,237.96829115417444
CD4,277.29710959321307
CD40,119.15107817497814
CD40LG,274.8431422159533
CD44,319.6485187130737
CD5,152.52353354539053
CD63,953.3404412254131
CD68,159.64633986044555
CD69,139.71922910162067
CD7,213.21438145989404
CD74,1695.0689709942735
CD79A,132.74662818750056
CD79B,121.87442632625724
CD8A,118.17912136813122
CD9,408.14515746390947
CD96,225.68059489017963
CDC20,427.9099457347086
CDC6,230.43916409107732
CDH1,3308.6314306917398
CDH11,121.50818164355685
CDH3,89.15037373383002
CDK4,562.0915044959054
CDK6,209.41405909928955
CDK7,353.34742201710463
CDKN2A,180.1014042280753
CEACAM1,117.73008998161951
CENPF,499.9268669622326
CEP55,382.96096090792685
CLDN4,487.1236443858301
CLU,1302.1100391342393
COBL,425.5443224674598
COL1A1,730.9509221589357
COL1A2,871.9885058046857
COL3A1,665.0444692117038
COL4A1,563.7388554796148
COL4A2,472.8563924389708
COL4A5,324.726278620014
CR2,76.60890265568767
CRABP2,1067.5947568253487
CSRP2,158.46293573270776
CST3,151.20574987389344
CSTB,197.54216912159146
CTCF,974.471631244683
CTLA4,84.88529979929943
CTSL,886.2238320404613
CXCR5,259.47712989152427
CXXC5,250.78073239186403
DCN,109.781800657033
DERL3,204.30843957706537
EFNA5,104.35960492487928
EGFR,712.2783615808783
EIF3E,716.8246398130353
ELF5,706.8354138871338
EPCAM,896.2976566602765
ERBB2,678.8190896530045
ERBB3,964.9368728650421
ERBB4,218.22681291161913
ESR1,98.39761439410749
FABP7,268.5977518144198
FAP,200.16274112447067
FASN,2584.108450894294
FAT1,199.36798910858545
FCGR3A,291.26492609194696
FCN1,167.14851836463683
FCRL5,68.20837809825461
FGFR1,771.0087829786146
FGFR2,345.830031099092
FGFR4,986.3023290608519
FN1,800.9795554002558
FOS,648.8881740601978
FOXA1,1553.451693048631
FOXC1,388.8397406961221
FOXP3,362.2667521639227
FXYD3,680.806831368013
GNG11,157.11796687113787
GNLY,164.73374419540696
GPNMB,380.0449138263776
GPR160,195.42775342863047
GRB7,329.54249613618265
GSN,277.8312490617672
GZMB,128.48190828627673
HIF1A,584.2171994539912
HLA.A,255.50930783507593
HLA.B,466.43879014247466
HLA.C,211.92828874444226
HLA.DPA1,276.94045300639596
HLA.DRA,674.5842624402665
HLA.DRB1,204.92553135886948
HLA.DRB5,173.9612382575
HLA.E,753.9159653667107
HSPB1,1353.9857558606493
HSPG2,289.7916855171793
ICAM1,178.94773484907785
ICOS,185.9279929404048
IFITM3,306.79506063582716
IGF1R,219.9927561580953
IGFBP5,835.3566632121385
IL2RA,228.94761637114286
IL32,272.42746841226733
IL3RA,146.73315499432363
IL7R,157.49505182774294
ISG15,664.6331859409916
ISG20,401.95230632402576
ITGA6,145.9813131684333
ITGAX,206.49130204004123
JUN,980.3316195459131
JUNB,897.7720452271117
KIF23,439.9712337439827
KIT,288.72437773539184
KRAS,589.4139992052116
KRT10,231.04062144092524
KRT14,83.9666246078237
KRT15,295.91404973563965
KRT17,199.4388345956587
KRT18,1823.2662156698611
KRT19,2387.035989616638
KRT5,493.0563944956521
KRT7,2265.5593184940585
KRT8,2115.930858555921
LAG3,191.57520142327093
LAMA1,114.65345214457562
LAMC1,217.54011469195694
LDB2,312.7268221944541
LGALS1,929.5760797080475
LGALS2,55.157669792311275
LGMN,754.2830994753033
LILRB1,135.8784357035814
LRP2,3169.5594112345584
LST1,244.63686530761706
LTF,139.76027313158275
LUM,307.4470622633725
LYPD6B,448.11281909587984
LYZ,464.89072839614244
MAPK13,377.24102818481026
MAPK3,561.4761536941461
