target,imp
ACTA2,55.85758797445082
ACTG2,31.309033718513902
ACTR3B,85.87099586735316
ADGRL4,26.779636334288263
AGR2,84.18800164761915
AHR,58.003726253420794
AIF1,45.80283683858501
AKT1,115.33739097737129
ALDH1A3,79.9323587907965
ANLN,82.5551515636379
AP1M2,112.04673281384393
APOC1,87.6517545178703
APOE,63.453504503724496
AR,83.57781816374204
AURKA,140.48718283284484
AZGP1,162.5381834362563
B2M,155.46607155796667
BAG1,156.54064970395743
BANK1,53.36922887323262
BCL2,42.284201667393376
BGN,107.33203359781744
BICC1,39.32595746221803
BIRC5,47.30214590522255
BLVRA,65.4942839566038
BRAF,64.78229324303878
C1QA,108.72528614965529
C1QB,47.459801250949525
CALCRL,50.28403533703434
CAPN13,56.286907420630975
CCL2,45.28137681877621
CCL3,30.51667595455652
CCL4,48.49132788920152
CCL5,38.910461798607045
CCNB1,92.21637928295117
CCND1,151.80823359459245
CCNE1,88.10608876314959
CCNE2,92.53909751675609
CD14,62.2513981514506
CD163,61.66280559441008
CD19,88.40922951434038
CD2,56.62726383480098
CD24,138.11424187447778
CD274,41.896536834602784
CD34,39.315943316477565
CD36,80.2506467563403
CD38,44.319153994307925
CD3D,62.52543440605851
CD3E,48.61668844098534
CD3G,66.55540061979542
CD4,57.58675437744367
CD40,51.88406775407478
CD40LG,91.72617439801208
CD44,97.46728079775477
CD5,70.39584599907785
CD63,155.025867472631
CD68,64.58136516419832
CD69,72.5710021720623
CD7,92.30205777128681
CD74,145.27547387919248
CD79A,81.52250080908851
CD79B,71.65141624246505
CD8A,37.27929105462058
CD9,70.40984955136733
CD96,45.67762830105087
CDC20,70.41168885539905
CDC6,116.80313628303229
CDH1,211.5206583087477
CDH11,43.598292557156654
CDH3,61.844176347150075
CDK4,89.13279981539199
CDK6,91.3656613678421
CDK7,78.44136656719688
CDKN2A,64.49999244692054
CEACAM1,36.43745369836418
CENPF,135.710744605701
CEP55,85.20415820675169
CLDN4,61.58241232440774
CLU,157.45890903665799
COBL,94.395380475094
COL1A1,106.1681736632874
COL1A2,102.19434789883834
COL3A1,82.77071296552772
COL4A1,72.75299257194324
COL4A2,59.620193974264886
COL4A5,77.84768785753346
CR2,43.282275705653745
CRABP2,159.74603398799047
CSRP2,38.75221858702842
CST3,70.06186420849076
CSTB,82.77663129599372
CTCF,107.8943264120308
CTLA4,56.041333853500255
CTSL,138.89878615527118
CXCR5,87.23191682879839
CXXC5,70.34297784162099
