target,imp
ACTA2,31.597823290657193
ACTG2,36.865318497899146
ACTR3B,22.012091881595534
ADGRL4,38.41772688390874
AGR2,23.66047398910419
AHR,23.191873625107167
AIF1,29.43636220131085
AKT1,25.543832101837
ALDH1A3,24.01153226088702
ANLN,18.235613735270157
AP1M2,18.961828384895288
APOC1,33.048568287884486
APOE,29.69738052521115
AR,39.03974561373331
AURKA,23.447791074393777
AZGP1,25.080856447602876
B2M,35.22067732362178
BAG1,18.504133744399258
BANK1,44.91650336917482
BCL2,48.15967517982596
BGN,21.987432015705473
BICC1,34.27114181761106
BIRC5,13.852597185384843
BLVRA,25.202491157424802
BRAF,33.957249901430885
C1QA,41.75072835595851
C1QB,23.654856417609132
CALCRL,35.01044133488832
CAPN13,20.432539883682583
CCL2,32.213579429016825
CCL3,38.66144114689865
CCL4,42.35399011235189
CCL5,31.18049149690087
CCNB1,26.72790045688946
CCND1,21.059291895074633
CCNE1,25.067165174837438
CCNE2,36.24414361717897
CD14,36.82366046338597
CD163,22.989902754270958
CD19,31.10498132078646
CD2,46.630852195728494
CD24,22.426524175345204
CD274,27.409367395347985
CD34,28.795547101151246
CD36,38.86950086205907
CD38,54.847937705929326
CD3D,30.51298850229673
CD3E,32.74919256830871
CD3G,27.160532906442995
CD4,32.331955951980746
CD40,36.73966843962904
CD40LG,23.947003559025596
CD44,23.960242600072988
CD5,30.25938837555425
CD63,29.328560287855577
CD68,27.947576945641185
CD69,23.10758631564844
CD7,22.246548597141445
CD74,29.26613343084649
CD79A,29.513770163124818
CD79B,40.735780877785686
CD8A,32.57068464435787
CD9,21.14751057869216
CD96,27.650213283440735
CDC20,32.35731662492198
CDC6,25.788711846461236
CDH1,23.993245150743764
CDH11,27.036113005908724
CDH3,29.226635462822237
CDK4,23.305230453738503
CDK6,31.886677778248004
CDK7,22.93300325405609
CDKN2A,34.58472569408312
CEACAM1,33.709527728133914
CENPF,27.680972101745006
CEP55,34.284908761445294
CLDN4,22.406483559304093
CLU,18.81675515692809
COBL,19.59468725946009
COL1A1,38.22140179185865
COL1A2,38.52689844078484
COL3A1,34.72974584822725
COL4A1,21.29961307882213
COL4A2,34.874915071245425
COL4A5,31.72689034320589
CR2,30.968391249743735
CRABP2,18.115658476139114
CSRP2,39.10551941466443
CST3,29.283879733869167
CSTB,21.0444644244533
CTCF,20.22111456670434
CTLA4,21.163067241686402
CTSL,20.52006343987843
CXCR5,52.729757011935725
CXXC5,36.586752460846284
DCN,30.348207719663748
DERL3,31.300371075001145
EFNA5,33.11692314644939
EGFR,25.98664700678969
EIF3E,26.47659110946411
ELF5,30.585569131927624
EPCAM,20.18351736991982
ERBB2,26.176262520691985
ERBB3,22.918752115450864
ERBB4,30.654039355428232
ESR1,31.066887514415892
FABP7,31.266709836141104
FAP,30.493174382194155
FASN,21.809726325445077
FAT1,20.78513568549765
FCGR3A,20.746083823882483
FCN1,33.24174322783265
FCRL5,37.64317740274398
FGFR1,24.525758447466416
FGFR2,24.461384762747663
FGFR4,21.254639750843854
FN1,22.96748170729925
FOS,29.598555561500028
FOXA1,16.048129421431508
FOXC1,26.15163178325906
FOXP3,36.92586226761337
FXYD3,29.995969365379054
GATA3,26.227804474043687
GNG11,25.43674064183338
GNLY,36.013427281503
GPNMB,29.711936298938095
GPR160,31.809012441235897
GRB7,21.690902351354048
GSN,40.03310250485953
GZMB,35.478561672273344
HIF1A,20.889557110954375
HLA.A,23.61777636954697
HLA.B,23.496780037855597
HLA.C,39.931330126966806
HLA.DPA1,24.152970819674792
HLA.DRA,24.766139930370937
HLA.DRB1,26.076658818524365
HLA.DRB5,24.322561210572626
HLA.E,27.116977151675865
HSPB1,23.482054057262687
HSPG2,33.39207318999625
ICAM1,33.437792863683015
ICOS,26.975351973626577
IFITM3,29.729823114068758
IGF1R,32.403388740567635
IGFBP5,21.830446328990476
IL2RA,28.724342003470962
IL32,18.693627726864076
IL3RA,23.282950882968247
IL7R,22.00526180325392
ISG15,25.367053747224407
ISG20,35.00607120084322
ITGA6,28.289458330072634
ITGAX,34.33047246316173
JUN,25.689539901311147
JUNB,22.359389296214594
KIF23,29.141871281615096
KIT,22.607683051300764
KRAS,18.954107913944405
KRT10,29.069747603173568
KRT14,22.38844965498121
KRT15,20.327051869877643
KRT17,34.97756041395589
KRT18,23.00885362269941
KRT19,8.924839855380991
KRT5,36.24512770272665
KRT7,22.186074646634438
KRT8,17.04347371789323
LAG3,44.369301364610635
LAMA1,30.419125737021762
LAMC1,35.76817382468403
LDB2,35.63546526438066
LGALS1,26.595940694301916
LGALS2,22.23784465262401
LGMN,21.482024161004738
LILRB1,25.026393780124813
LRP2,26.857964345396173
LST1,26.326253151917467
LTF,29.908898504302666
LUM,25.342834954760068
LYPD6B,25.724947983120448
LYZ,27.684575908075118
MAPK13,36.359458566623445
MAPK3,30.11384783012572
MDM2,31.93173239406745
MELK,27.829651184487574
MIA,34.16108670481876
MKI67,21.658529548321695
MLPH,19.620168382297287
MMP11,32.39329084015475
MMP12,31.06457360495821
MMP9,27.85045309540487
MS4A1,30.319109285780613
MSR1,33.45093774547691
MT2A,39.21310861139622
MUC1,37.064661840789384
MYB,35.444598075980245
MYBL2,30.635018216660526
MYC,27.86623913434216
MYL6,17.476159707209955
MYL9,28.577532739091353
MYLK,32.19742180494233
MYO10,27.45129840239713
MYO5B,24.9613719833098
MZB1,29.3626723458858
"NAT1",40.225917046377084
NCAM1,40.44967075354404
NDC80,27.628414865347658
NDRG2,29.867929975858438
NF1,36.91519254451934
NFKBIA,27.326891700186476
NKG7,33.09981459719077
NOTCH1,20.42567902158048
NR3C1,31.916608031952183
NUF2,28.483783620615583
OBP2B,29.78560978372617
ORC6,24.68504724318352
PABPC1,14.773856575607299
PBK,18.25851018888232
PDCD1,37.735234016637776
PDZK1IP1,33.26067940248721
PECAM1,39.77658798224868
PGR,32.700198271653704
PHGDH,23.129873828570904
PI3,21.73539451930173
PIK3CA,36.41656144230646
PLEK,25.02762774552121
PLVAP,25.892707885838796
POU2AF1,32.69151570180349
PRLR,22.23972555449515
PTEN,23.337591067937122
PTPRB,39.76260043902079
PTPRC,35.03955339140684
PTTG1,22.586007364810992
RAMP2,37.50518369530072
RB1,32.0752863818524
RPL13,25.31248025071262
RPL18,32.54959597084232
RPSA,25.238081292756334
RRM2,30.19142696783189
S100A14,29.682714481411022
S100A4,36.364234199811314
S100A8,31.711815436173012
S100A9,23.036911042949427
SDC1,20.625450834034233
SFRP1,44.19286718319281
SIAH2,27.82802601603078
SKAP1,47.41454505453168
SLC2A1,30.313395664211615
SLC39A6,35.22199342972315
SLPI,27.718950736078526
SNAI2,37.67337252766673
SOX10,44.22522311885686
SOX18,21.709575870723146
SOX4,24.34481526824308
SPDEF,26.337935331314902
SPP1,42.39608884589116
STAT5A,37.726565577000365
STMN1,15.283614301189571
SULF1,25.33705380707425
TAGLN,33.203581742184554
TBX21,35.29778175024141
TCF4,30.502653352228954
TCL1A,40.19912951327369
TFEC,33.76574538245504
TFF1,24.721286190169376
TFF2,30.144635326024297
TFF3,35.682628878304534
TFRC,29.180072251801445
THEMIS,28.802580992894626
THY1,48.475898090543986
TIMP1,29.35895758334561
TMEM45B,19.20243290542205
TMSB10,16.402152843688885
TP53,25.06696347929485
TPM2,22.197437877489342
TRAC,23.025493917610092
TRDC,30.668815504629052
TSPAN1,33.227053504267744
