target,imp
ACTA2,122.81315457117263
ACTG2,105.6393149491112
ACTR3B,147.9109388343818
ADGRL4,131.3901837360084
AGR2,133.4607293116583
AHR,152.74490066114754
AIF1,129.3016135791757
AKT1,133.21179837325826
ALDH1A3,122.14022711299711
ANLN,124.7096603749018
AP1M2,162.14849319059547
APOC1,121.21512410870473
APOE,174.57031987945334
AR,148.45403849482793
AURKA,116.57735558790304
B2M,98.54469621465019
BAG1,69.57795406446276
BANK1,115.62607149901167
BCL2,115.60343795217035
BGN,141.00648712054843
BICC1,161.57894876029692
BIRC5,166.95268156439298
BLVRA,122.89021476465821
BRAF,120.23614454459603
C1QA,132.10426055306482
C1QB,127.22717343274928
CALCRL,154.26277383792797
CAPN13,130.80845025138453
CCL2,100.62729128078912
CCL3,119.57144629522045
CCL4,121.94783074717428
CCL5,87.04966601835805
CCNB1,105.12673455162688
CCND1,100.69837004997272
CCNE1,130.59195920779382
CCNE2,134.3992134885889
CD14,129.5576963218854
CD163,165.57818290372796
CD19,132.58871246595731
CD2,115.7735895429527
CD24,161.98911184132396
CD274,152.57605488661181
CD34,105.46437703055749
CD36,99.85876200463328
CD38,123.77034038072561
CD3D,97.62054763413212
CD3E,129.63655172018804
CD3G,122.09657729060537
CD4,124.55056254416466
CD40,144.3493778727534
CD40LG,118.34232506380748
CD44,128.11547084878083
CD5,108.92305326564936
CD63,85.36443467927619
CD68,111.61152932492014
CD69,112.86397349064774
CD7,147.78432506236197
CD74,110.8915572409154
CD79A,139.79465911129884
CD79B,145.5677578247181
CD8A,117.9740235194272
CD9,141.39005273348155
CD96,117.94303145483424
CDC20,126.56172176786602
CDC6,110.28737774757917
CDH1,81.1719648700503
CDH11,118.593316462849
CDH3,161.21363244755324
CDK4,134.60203711505108
CDK6,120.83232602929647
CDK7,107.89836828393263
CDKN2A,139.72007856251824
CEACAM1,96.18502300394121
CENPF,131.92876778058374
CEP55,134.23060021857955
CLDN4,320.34298671407646
CLU,125.69277975882812
COBL,120.45134545937181
COL1A1,154.70567213818575
COL1A2,137.1510655545981
COL3A1,131.47528817513614
COL4A1,133.11081208434237
COL4A2,102.66745191053968
COL4A5,128.63417049409887
CR2,114.29216795260076
CRABP2,105.60116227178551
CSRP2,135.03977480695264
CST3,126.46198116649165
CSTB,132.8271759141593
CTCF,91.12456348928634
CTLA4,98.20295324023618
CTSL,127.72441606716697
CXCR5,147.6223865293939
CXXC5,169.20893595914706
DCN,168.0862154177031
DERL3,156.42079777536293
EFNA5,122.19407554535991
EGFR,175.19936310161063
EIF3E,133.02902147639028
ELF5,110.47523606067465
EPCAM,128.7071854681636
ERBB2,125.29766358773007
ERBB3,131.33399553648644
ERBB4,180.03068109358844
ESR1,124.10636520635704
FABP7,137.28031346454875
FAP,170.16710594891643
FASN,131.2125784138452
FAT1,137.96827253996935
FCGR3A,180.20368737357106
FCN1,118.50382159565117
FCRL5,123.22003963688232
FGFR1,89.3615423720877
FGFR2,224.78870998157387
FGFR4,301.7431125210334
FN1,127.10356074322856
FOS,130.0319363404307
FOXA1,139.71615130063196
FOXC1,116.01261484747265
FOXP3,114.17095985366218
FXYD3,131.58472091853457
GATA3,151.05981784425853
GNG11,121.96070245482417
GNLY,139.31584595908868
GPNMB,107.36284666570855
GPR160,142.78499145841036
GRB7,238.87064082276785
GSN,107.03082588317972
GZMB,137.7634269455999
HIF1A,160.16222187900274
HLA.A,130.25241875869776
HLA.B,131.35012053976894
HLA.C,170.04181270508053
HLA.DPA1,124.22693820855478
HLA.DRA,139.72345597651315
HLA.DRB1,132.29451972093682
HLA.DRB5,156.56041878915713
HLA.E,102.28587837830769
HSPB1,102.6015814277493
HSPG2,123.20224624508505
ICAM1,118.56031429493177
ICOS,102.62600433157208
IFITM3,138.68496656863948
IGF1R,116.9075401034012
IGFBP5,111.6470631438894
IL2RA,89.10011704264039
IL32,105.02013683659658
IL3RA,100.13167247277755
IL7R,84.57963688167052
ISG15,253.70021362563813
ISG20,118.87571873898048
ITGA6,136.9261593726273
ITGAX,124.10201647304632
JUN,96.12704012082693
JUNB,99.64472795398022
KIF23,107.85120112508949
KIT,231.9464137954712
KRAS,149.19921719986422
KRT10,137.3622659557295
KRT14,115.79229351425674
KRT15,154.1624755417862
KRT17,154.43345045756575
KRT18,93.11371604102595
KRT19,143.21496681406958
KRT5,143.3194759043514
KRT7,149.10540405001922
KRT8,107.47394808465639
LAG3,138.74862879964815
LAMA1,152.66565192471947
LAMC1,119.80471953512647
LDB2,109.3518095318542
LGALS1,129.0761139798281
LGALS2,140.72881738503978
LGMN,98.20466376935319
LILRB1,99.06482804352197
LRP2,122.0853601764752
LST1,91.80180598024494
LTF,127.66435934691758
LUM,112.38321571368469
LYPD6B,136.07495074756486
LYZ,120.15133104547657
MAPK13,106.69091327268701
MAPK3,135.96471240466755
MDM2,154.97994633975807
MELK,107.97791498478247
MIA,112.4522527523777
MKI67,130.01938698559067
MLPH,146.746554483742
MMP11,146.6002640331972
MMP12,119.8527063509514
MMP9,181.22157343687653
MS4A1,141.78599610159898
MSR1,96.806972524152
MT2A,166.11019019026168
MUC1,294.13501124064044
MYB,163.32844042679127
MYBL2,112.51552601049434
MYC,139.52978250129132
MYL6,90.43553812671064
MYL9,134.9088018537588
MYLK,169.57233659725907
MYO10,145.48354877101087
MYO5B,111.13181710392622
MZB1,105.19431887406603
"NAT1",153.71077580332604
NCAM1,124.99147277810061
NDC80,136.56059803086654
NDRG2,124.1016217350518
NF1,212.8394410834384
NFKBIA,124.29724732473956
NKG7,138.36622200470097
NOTCH1,121.91140881139981
NR3C1,179.38820672184698
NUF2,120.38617041033166
OBP2B,139.07673522401004
ORC6,143.40494015435945
PABPC1,90.33827592237613
PBK,107.34363170169692
PDCD1,113.93710219333181
PDPN,135.2022367392135
PDZK1IP1,134.4483853421092
PECAM1,130.133822352718
PGR,117.87403856110873
PHGDH,275.52202009059243
PI3,114.22816364275565
PIK3CA,131.74953524601236
PLEK,109.7461321700403
PLVAP,116.05871833915776
POU2AF1,135.70572753593436
PRLR,124.97846490714146
PTEN,94.76528252999601
PTPRB,159.5165672072132
PTPRC,136.65512787322635
PTTG1,104.52950168637938
RAMP2,133.66467753705757
RB1,147.84422675239372
RPL13,98.82769487568099
RPL18,107.89450455224704
RPSA,86.74597322094498
RRM2,122.75247865962812
S100A14,258.695828519195
S100A4,121.70202266506917
S100A8,185.54145531647987
S100A9,132.89327936880002
SDC1,143.20421627471094
SFRP1,101.25696780986114
SIAH2,107.09000917116184
SKAP1,112.13838606038503
SLC2A1,142.50538131272856
SLC39A6,117.44474904997811
SLPI,115.79563901767182
SNAI2,121.83987079283294
SOX10,154.0104210330668
SOX18,168.2478752950283
SOX4,129.96003758389682
SPDEF,338.70603991616485
SPP1,124.14727055989228
STAT5A,174.64378161714268
STMN1,96.51152458714289
SULF1,166.8370236037556
TAGLN,112.66853259464894
TBX21,190.20567378803767
TCF4,143.97733982092532
TCL1A,151.60810925242137
TFEC,105.89639118735175
TFF1,318.8390345134726
TFF2,158.8295977892134
TFF3,153.765354080689
TFRC,112.5856041721546
THEMIS,114.6365175723322
THY1,82.83632862348375
TIMP1,124.3437922917437
TMEM45B,162.3832258682425
TMSB10,121.7874807209519
TP53,75.58401321951983
TPM2,137.21597978310055
TRAC,90.03945089630594
TRDC,118.33876748013199
TSPAN1,133.4319086582853
TTC6,164.23891210722522
TTYH1,163.7719695419094
TYMS,115.7703679500617
UBE2C,145.73346968497938
UBE2T,144.40876626962196
VIM,165.80933453656155
VSIR,111.62108259048117
XBP1,90.1635182057997
XCL1,132.95491500001776
ZEB1,114.0359189479969
ZNF571,135.03859085631194
