target,imp
ACTA2,0.0777016245981814
ACTG2,0
ACTR3B,0.08086498168824485
ADGRL4,0.027376714909332217
AGR2,0.11138565878059546
AHR,0.09041303357093076
AIF1,0.0631344199931893
AKT1,0.19023581076770069
ALDH1A3,0.4338535287224201
ANLN,0.11130243209010658
AP1M2,0.19379910056781033
APOC1,0.36864677958324643
APOE,0.23672800599892033
AR,0.07313977111112466
AURKA,0.2664152131815033
AZGP1,0.22903186049196425
B2M,0.30991960972804283
BAG1,0.32233421229471554
BANK1,0.06278406557527673
BCL2,0.034055056634129756
BGN,0.562023693977914
BICC1,0.14860414772412528
BIRC5,0.04232738095238095
BLVRA,0.04350803093157715
BRAF,0.13705295940069648
C1QA,0.4151716270300669
C1QB,0.3047119075456462
CALCRL,0.051857407718081096
CAPN13,0.06606642870282743
CCL2,0.1401909215200238
CCL3,0.05466617397946074
CCL4,0.04563900989526774
CCL5,0.041188739457423434
CCNB1,0.0719626786115981
CCND1,0.45379971207187253
CCNE1,0.20681088604794187
CCNE2,1.01593927587907e-4
CD14,0.015418244665333704
CD163,0.2228223777405594
CD19,0.21033551555724364
CD2,0.3716927410994856
CD24,0.7594706149042691
CD274,0.09626610171839674
CD34,0.15704565777933466
CD36,0.03947617333527978
CD38,0.00795005807200929
CD3D,0.0657881686355445
CD3E,0.29057975912675993
CD3G,0.18633188555750146
CD4,0.029765601135230635
CD40,0.05590616438107341
CD40LG,0.16741523561713387
CD44,0.13952926324045406
CD5,0.01877729072792738
CD63,0.0784458190557647
CD68,0.03491974277624846
CD7,0.4132067577919161
CD74,0.5320422390279818
CD79A,0.19287875498642926
CD79B,0.014463605946966747
CD8A,0.05502327375680599
CD9,0.0266005128633489
CD96,0.3140790410771423
CDC20,0.11329683947437501
CDC6,0.1791151750342759
CDH1,0.27495486866330565
CDH11,0.21854413865911176
CDH3,6.108037940934174e-5
CDK4,0.20331556637802423
CDK6,0
CDK7,0.13880700727982154
CDKN2A,0.10718771506627563
CEACAM1,0.1516441907008734
CENPF,0.21121834724348157
CEP55,0.14039249864637168
CLDN4,0.04646875062523697
CLU,0.2389393433617479
COBL,0.158286790605335
COL1A1,0.5005220046190543
COL1A2,0.7350885939579433
COL3A1,0.14212497063755625
COL4A1,0.24373401972147046
COL4A2,0.42938250695164826
COL4A5,0.24783680928036145
CR2,0
CRABP2,0.17457736560721532
CSRP2,0.08466592629074371
CST3,0.07344419885668178
CSTB,0.019065934065934063
CTCF,0.3434584232174083
CTLA4,0.11040252247171703
CTSL,0.11046461476393481
CXCR5,0.2922672768402245
CXXC5,0.09818031671692222
DCN,0.43085099926799614
DERL3,0.0033801819391665613
EFNA5,0.04012152663849717
EGFR,0.20435424973531394
EIF3E,0.31906505414198677
ELF5,0.14341645490953567
EPCAM,0.26774647684015074
ERBB2,0.14036642968310134
ERBB3,0.0543355865428721
ERBB4,0.20201241443532575
ESR1,0
FABP7,0.07725934260578395
FAP,0.1388357951273812
FASN,0.3936088126183453
FAT1,0.022357225417267354
FCGR3A,0.2862237086006174
FCN1,0.1299343424956932
FCRL5,0.18482081157171515
FGFR1,0.1147517908016755
FGFR2,0.03071663990394212
FGFR4,0.15074129817168683
FN1,1.642897411611315
FOS,0.37345659332897513
FOXA1,0.13561037093961287
FOXC1,0.08413314749155365
FOXP3,0.14955502560351533
FXYD3,0.34606961552060944
GATA3,0.19751941283862734
GNG11,0.02829289330451828
GNLY,0.049253634399755185
GPNMB,0.150744647870644
GPR160,0
GRB7,0.02968079447157799
GSN,0.07054965989442633
GZMB,0.2706599393579366
HIF1A,0.3077208801187596
HLA.A,0.05324787051596406
HLA.B,0.3182332140175076
HLA.C,0.21253064611983646
HLA.DPA1,0.059970937614296053
HLA.DRA,0.3737969511708248
HLA.DRB1,0.05855669219626662
HLA.DRB5,0.04981051092678998
HLA.E,0.29634278424762545
HSPB1,0.35419963233082286
HSPG2,0.3637036914926306
ICAM1,0.0711158604001435
ICOS,0.10176097150218942
IFITM3,0.22837407240889088
IGF1R,0.26984484015152943
IGFBP5,0.14874643898050477
IL2RA,0.006823114083983649
IL32,0.1269867107216868
IL3RA,0.1502973253258191
IL7R,0.12480807824032937
ISG15,0.285595021600509
ISG20,0.05757795947353088
ITGA6,0.08668021388644828
ITGAX,0.3557505590112429
JUN,0.2979062001751821
JUNB,0.64308329259045
KIF23,0.24993016116573216
KIT,0.13900870496394377
KRAS,0.08251423837579712
KRT10,0.31390468052610626
KRT14,0
KRT15,0.0753375764146546
KRT17,0.05895951604823299
KRT18,0.2198492852376967
KRT19,0.4410439267617046
KRT5,0
KRT7,0.43081328711406824
KRT8,0.5282553699405167
LAG3,0.4992208228092996
LAMA1,0.15712706339337068
LAMC1,0.2220985010032887
LDB2,0.20441261633178523
LGALS1,0.3743290852158489
LGALS2,0.10035342182152888
LGMN,0.24638706367039398
LILRB1,0.04115431230950211
LRP2,0.2895267176359789
LST1,0.110739507615252
LTF,0.02563676214453689
LUM,0.815364243465956
LYPD6B,0.1748381032728497
LYZ,0.09934578998832637
MAPK13,0.111984366605541
MAPK3,0.08190481728423235
MDM2,1.2046437514227292e-4
MELK,0.18585658979279007
MIA,0
MKI67,0.05416625741205573
MLPH,0.15439439257190876
MMP11,0.1902495099926281
MMP12,0
MMP9,0
MS4A1,0.029284315133797912
MSR1,0.23833204379718115
MT2A,4.337663827468585e-5
MUC1,0.359125823240958
MYB,0.15491384313458684
