target,imp
ACTA2,164.64401226249564
ACTG2,167.22813272441283
ACTR3B,162.28959779269906
ADGRL4,198.7713458327102
AGR2,204.0129724426488
AHR,166.96343769168791
AIF1,131.5860817478697
AKT1,137.81363725120073
ALDH1A3,165.5720238095643
ANLN,146.45444973159397
AP1M2,161.82696420354677
APOC1,186.2576992809355
APOE,202.05919327049415
AR,191.701548466536
AURKA,126.5666735515092
AZGP1,230.59948229742196
B2M,145.2457475087081
BAG1,116.68980517006916
BANK1,155.17888565421177
BCL2,177.99524319782927
BGN,155.4278025811664
BICC1,211.0253295082738
BIRC5,154.79874657124617
BLVRA,179.30552696884206
BRAF,172.90991777163478
C1QA,149.03277651862743
C1QB,239.06975937662747
CALCRL,192.38194278161222
CAPN13,179.0054113068866
CCL2,220.59145489612968
CCL3,202.32774844786493
CCL4,177.29047810934594
CCL5,151.31984840663753
CCNB1,139.2412448148875
CCND1,111.92379995572078
CCNE1,167.15796686917344
CCNE2,157.31909732996843
CD14,220.9986590375749
CD163,177.3794562352672
CD19,188.1711136213361
CD2,150.65730033608216
CD24,129.40048387754317
CD274,182.73875132455282
CD34,191.69222036861888
CD36,186.08875817920764
CD38,142.73973169092775
CD3D,217.10703494657756
CD3E,171.01769545975293
CD3G,213.5098638068943
CD4,181.17766554671812
CD40,184.90525285525507
CD40LG,192.66032125832047
CD44,172.88991221823255
CD5,188.3740641011274
CD63,176.39490921185657
CD68,170.28036510202776
CD69,183.31467785973723
CD7,202.31576501661544
CD74,156.40822847665515
CD79A,189.16224424307
CD79B,167.40473322748122
CD8A,190.83862804517688
CD9,223.04490913540067
CD96,164.78261069072275
CDC20,160.53167763361247
CDC6,192.70041826280206
CDH1,134.51452964995227
CDH11,192.37024073298605
CDH3,178.1425947622394
CDK4,171.42908720390628
CDK6,184.8514407845457
CDK7,172.14601544673727
CDKN2A,175.05068052324765
CEACAM1,167.68920692603126
CENPF,144.92502426165305
CEP55,145.25437575147572
CLDN4,185.55844468062523
CLU,146.01447402112103
COBL,138.99884748352832
COL1A1,250.20443300271512
COL1A2,182.0690348051047
COL3A1,164.9098157265489
COL4A1,196.70536717577
COL4A2,180.71249937785
COL4A5,250.70575633486143
CR2,205.41139115276422
CRABP2,169.8260978499078
CSRP2,174.73158384258448
CST3,192.9758341331792
CSTB,184.1762545992524
CTCF,113.67739181481517
CTLA4,180.67482250824142
CTSL,153.27106129455618
CXCR5,171.85750449462793
CXXC5,167.6410923093639
