target,imp
ACTA2,14.272569250025558
ACTG2,14.219401749500367
ACTR3B,10.709157455289446
ADGRL4,16.02785163791731
AGR2,22.670394720035628
AHR,15.530812448003836
AIF1,21.792783750126272
AKT1,9.89342944961823
ALDH1A3,8.302087160611999
ANLN,19.84210319373809
AP1M2,9.819101008848884
APOC1,17.760045303430562
APOE,40.74149413927685
AR,25.707613483413887
AURKA,17.679381888138117
AZGP1,12.719567298815086
B2M,18.78488475685974
BAG1,15.044918057063137
BANK1,12.6336703449908
BCL2,18.360484420880006
BGN,16.94096267026507
BICC1,16.67824625917845
BIRC5,19.210929001946457
BLVRA,28.420270534428028
BRAF,14.843149746657915
C1QA,16.074829338083656
C1QB,17.266965199256507
CALCRL,38.4302138878423
CAPN13,16.72415853999978
CCL2,35.86961211054981
CCL3,20.836111250193003
CCL4,24.919788267634463
CCL5,9.615224766571783
CCNB1,18.382955442066894
CCND1,8.848455597284403
CCNE1,16.941302602089262
CCNE2,17.286536372142624
CD14,19.698001756286786
CD163,19.79602208792043
CD19,8.240515846736889
CD2,9.882094226846398
CD24,3.504982827820679
CD274,34.11587462593985
CD34,16.26760550461229
CD36,14.350106148255398
CD38,17.73584240165856
CD3D,19.58518011910786
CD3E,13.634639628318505
CD3G,22.305999427770498
CD4,23.01990731822106
CD40,22.672706783860043
CD40LG,24.895563668310864
CD44,23.7052729501484
CD5,22.463676005895095
CD63,15.944357211545634
CD68,30.445765700105653
CD69,22.360413007403512
CD7,17.844965237070074
CD74,16.96470842380888
CD79A,12.957775132887953
CD79B,14.431177993546415
CD8A,18.130094802182622
CD9,21.974453298843866
CD96,16.2388693712279
CDC20,18.652763617394104
CDC6,30.003139974562952
CDH1,14.1302239539114
CDH11,22.7980808308109
CDH3,14.741527851141923
CDK4,15.998038924329723
CDK6,25.67054267797079
CDK7,15.504462642468035
CDKN2A,22.892330541297454
CEACAM1,12.128137423412317
CENPF,15.02751244495105
CEP55,13.127298381999594
CLDN4,23.761084522729043
CLU,14.722475888966438
COBL,13.458562736570002
COL1A1,21.702657429718073
COL1A2,14.305965803756175
COL3A1,14.108983774255778
COL4A1,8.627700950015873
COL4A2,15.743798468222757
COL4A5,23.757069279783018
CR2,18.686008297268536
CRABP2,17.795713433910983
CSRP2,13.896450855400763
CST3,18.063160377805005
CSTB,12.813512208093883
CTCF,16.172887611132513
CTLA4,27.691828216877887
CTSL,18.753691933439015
CXCR5,20.744160222275504
CXXC5,15.565006414714993
DCN,21.79624247910493
DERL3,26.41440150722506
EFNA5,15.661743077237961
EGFR,16.461642537795036
EIF3E,12.420253808832591
ELF5,12.954265786106566
EPCAM,14.61124048515207
ERBB2,26.330751152259026
ERBB3,7.02979573070415
ERBB4,33.89645483707757
ESR1,23.73131623979107
FABP7,18.763279254856823
FAP,21.649556400772518
FASN,5.156897603195988
FAT1,13.380315938135723
FCGR3A,22.058626941550397
FCN1,16.449427926677732
FCRL5,32.310744384988126
FGFR1,17.494630440100643
FGFR2,8.232176730796478
FGFR4,21.69580932366192
FN1,13.900689375725143
FOS,24.432947583021857
FOXA1,12.48617462935092
FOXC1,27.87240908271919
FOXP3,43.685705650834116
FXYD3,17.059045424688428
GATA3,19.8031000112674
GNG11,25.7917339596538
GNLY,23.778474768014043
GPNMB,17.619860456859474
GPR160,24.60247066424672
GRB7,11.694914792954119
GSN,18.6523443870667
GZMB,18.233902894508503
HIF1A,3.8233875329829576
HLA.A,22.676752471749968
HLA.B,28.40326179239967
HLA.C,23.8799833506291
HLA.DPA1,12.622583874426521
HLA.DRA,16.771533707369226
HLA.DRB1,14.913662881304925
HLA.DRB5,18.6781736719255
HLA.E,17.70725002210608
HSPB1,21.694060495727072
HSPG2,23.89690033429555
ICAM1,19.744909263058695
ICOS,11.289790479378487
IFITM3,10.954882743098695
IGF1R,12.704958843156964
IGFBP5,16.80578169189283
IL2RA,34.148973416907886
IL32,20.459953790096773
IL3RA,13.410367570516517
IL7R,20.071413106727004
ISG15,28.272562066278248
ISG20,23.30829422429504
ITGA6,16.14470990046923
ITGAX,10.98730952281408
JUN,14.820475275212516
JUNB,15.367812914396517
KIF23,8.849274530752478
KIT,10.592359080597246
KRAS,23.2140664675527
KRT10,17.532911253056465
KRT14,15.43653069247247
KRT15,22.084893886917904
KRT17,15.686661378213465
KRT18,12.811573943983126
KRT19,15.97865419669684
KRT5,14.784976448241519
KRT7,13.339304457769078
KRT8,16.11944064090156
LAG3,14.86830638178832
LAMA1,27.31681740365913
LAMC1,25.903045194301882
LDB2,13.838447122834081
LGALS1,15.901941822428237
LGALS2,22.83575134754701
LGMN,13.993987430038505
LILRB1,13.76818957171952
LRP2,10.787016557638147
LST1,15.184263267759443
LTF,20.378316413683507
LUM,25.91452132869068
LYPD6B,17.42429539358036
LYZ,14.343243366125716
MAPK13,20.645005062339386
MAPK3,25.401656666568712
MDM2,18.947009007208134
MELK,20.557695210830772
MIA,32.288089956334396
MKI67,14.235283090769508
MLPH,13.27522253502098
MMP11,21.245661397311434
MMP12,31.781755485666146
MMP9,12.839504356810659
MS4A1,23.15774123079635
MSR1,17.138020052523608
MT2A,21.24812223609216
MUC1,19.228379045467275
MYB,15.950562068575069
MYBL2,17.036677302621825
MYC,15.88785513022705
MYL6,8.498325929726372
MYL9,7.210637320731145
MYLK,13.376478225392109
MYO10,23.14338429218739
MYO5B,10.690562615368206
MZB1,12.091725543185948
"NAT1",28.118337551312617
NCAM1,30.956755306307464
NDC80,20.835435862418898
NDRG2,17.43103555696919
NF1,19.159139237589674
NFKBIA,20.733708115539766
NKG7,21.42639091122629
NOTCH1,19.964620190421154
NR3C1,22.412998560914243
NUF2,19.473624074009955
OBP2B,19.673193616222164
ORC6,20.854157797767844
