target,imp
ACTA2,7.265646268063289
ACTG2,5.220182968599675
ACTR3B,7.596581269759498
ADGRL4,16.419909075283567
AGR2,2.1878107880082216
AHR,9.966619049158005
AIF1,1.0570252257569952
AKT1,10.331504259512858
ALDH1A3,10.376971170309305
ANLN,11.615173790331983
AP1M2,2.1211324569731813
APOC1,14.517224549323544
APOE,20.01953808462602
AR,9.228857398995642
AURKA,18.112264054317173
AZGP1,11.816368882961608
B2M,38.33691973406046
BAG1,27.469053733788236
BANK1,3.9583371238227714
BCL2,2.1314877742325766
BGN,32.20941177102408
BICC1,0.16887628689187253
BIRC5,6.231390261238874
BLVRA,18.93071473301136
BRAF,14.025206198033164
C1QA,10.180322339531406
C1QB,27.243630070388544
CALCRL,44.58953200473095
CAPN13,9.213215741663033
CCL2,8.365920500182973
CCL3,7.088931397543144
CCL4,19.015133784184076
CCL5,6.619021173890609
CCNB1,15.451124046223907
CCND1,25.743651583280457
CCNE1,13.33774709435376
CCNE2,1.1831938000718172
CD14,12.48084579991636
CD163,15.26462984121316
CD19,16.283445297827168
CD2,10.922936041161229
CD24,21.588823118103463
CD274,0
CD34,24.193596599301163
CD36,22.89462446932854
CD38,1.9784183761475027
CD3D,39.653755307336915
CD3E,15.302890183822967
CD3G,14.170476923692302
CD4,13.198335577155115
CD40,24.335154258277623
CD40LG,16.645756006898505
CD44,9.614653925918066
CD5,38.65835386872513
CD63,33.37264442764907
CD68,22.918719627835927
CD69,3.264454977875472
CD7,12.319529182063672
CD74,30.35684004420632
CD79A,3.8364742196444843
CD79B,21.90111915211379
CD8A,2.1853412120310964
CD9,14.733632645488337
CD96,7.35398753814482
CDC20,26.712405486035223
CDC6,18.574898129281138
CDH1,10.480001370967457
CDH11,13.71928922354464
CDH3,14.649611157416198
CDK4,22.947915421781694
CDK6,1.9291159533206304
CDK7,23.414450093683694
CDKN2A,9.715986924043184
CEACAM1,5.3025467505964095
CENPF,10.879776246328657
CEP55,14.741924225689276
CLDN4,11.521764681594487
CLU,5.032323422593751
COBL,22.880901600834285
COL1A1,25.56717177665912
COL1A2,26.738649216976444
COL3A1,26.47219994821165
COL4A1,60.413819129846416
COL4A2,52.319567454947084
COL4A5,14.701322642024692
CR2,8.950381731765752
CRABP2,21.47795234027795
CSRP2,5.392372602081948
CST3,26.81497927526228
CSTB,17.28305552431743
CTCF,24.827391984290838
CTLA4,1.1533038871215986
CTSL,9.487720811997647
CXCR5,7.060277948789612
CXXC5,17.21144238721197
DCN,6.707447714104437
DERL3,17.636550151613772
EFNA5,2.615933102091908
EGFR,10.023047197013696
EIF3E,21.429729770513653
ELF5,20.44604350467331
EPCAM,19.4955443115554
ERBB2,13.387163502984851
ERBB3,6.659820579260384
ERBB4,4.667321881167272
ESR1,0
FABP7,5.179180203513759
FAP,6.982232905826896
FASN,17.336166258608294
FAT1,27.85687668331532
FCGR3A,31.515067602849378
FCN1,1.7357310622537603
FCRL5,1.2379489455273116
FGFR1,14.134756816963998
FGFR2,7.943186297111046
FGFR4,5.981687099405648
FN1,23.143334963418134
FOS,40.402210980747505
FOXA1,27.049175520407044
FOXC1,4.55424877706615
FOXP3,22.657124231527618
FXYD3,1.7114367562371189
GATA3,11.766627495327953
GNG11,4.6578872263639814
GNLY,0
GPNMB,8.279781428077863
GPR160,2.035736012273151
GRB7,3.0157379723970634
GSN,16.44957365616769
GZMB,8.187395419557307
HIF1A,32.18966956003171
HLA.A,13.13666954082271
HLA.B,44.05207968497906
HLA.C,36.276066911763685
HLA.DPA1,13.690542272233229
HLA.DRA,16.61733784031891
HLA.DRB1,5.362086953591817
HLA.DRB5,16.447207261108
HLA.E,33.742718698450034
HSPB1,21.127818842872994
HSPG2,50.30828895726275
ICAM1,30.109496642179742
ICOS,5.548391044565328
IFITM3,8.39850330624755
