target intercept intra para.100 p.intercept p.intra p.para.100
Androgen -0.00505683374505496 0.261952488079541 -0.0235529055432112 0.834250445007372 0.00344106229463679 0.717770000872001
JAK.STAT -0.0373717794785764 0.752196775462758 0.530436695239569 0.090472452268786 2.02595625752044e-42 7.77592710639206e-27
Estrogen -0.00451106585749917 0.370582984327118 0.191727063871743 0.850492376102048 8.62849710366955e-06 0.0031972673226807
TGFb -0.00247007338208961 -0.052573098747786 0.189458189191145 0.919127573106637 0.610614286558841 0.00262049202591901
MAPK -0.0176653097810369 1.02527108693732 -0.0239974275300035 0.380521777566726 1.70853369564151e-137 0.652374321507604
p53 0.00141709357833135 0.0797975544145377 0.178527594604474 0.953095069143782 0.382536560625466 0.00604325756061151
TNFa -0.0153091881330126 1.14604777842566 0.0609365353748705 0.271104942769458 0 0.0922991287739152
VEGF 0.000714711734643003 -0.0304500025931128 0.117498795613233 0.976351774135413 0.762939228404591 0.0739594997583236
EGFR 0.00894598673633496 1.02872159429492 0.0391288236372578 0.660615435722623 4.76762881499042e-128 0.458079359892122
Hypoxia -0.00567218463643057 0.272206106241499 -0.0829944721778 0.814954535682685 0.00466571020489977 0.20378711968098
NFkB -0.00867603259011897 1.17332175198041 0.0298726858215098 0.517991767647975 0 0.384703379238627
PI3K 0.00398502340955687 0.221623700261164 0.0537587130293074 0.868766861098554 0.0154586088625175 0.39939334063969
WNT 0.000964679044830834 -0.0364087907540142 -0.00784080671500068 0.968263767054244 0.712877040303978 0.9040359314002
Trail -0.000421824756122861 -0.0838599839607316 -0.00388416104654682 0.986045148069044 0.417175104660441 0.954849208158461
