target,imp
A2M,4.5790688498700565
ADAM17,2.6503696999489947
ADCYAP1,0
ADM,0
ADM2,0
ANGPT1,0
ANGPT2,0.02338992018441745
ANGPTL1,0
ANGPTL2,0
ANGPTL4,1.6066515786030473
ANXA1,1.9841900180248002
APLN,0
APOD,4.271168058960908
APOE,7.635422790347615
APP,3.3295023746149788
AREG,0
ARTN,0
AZGP1,4.075173187239806
B2M,7.739794022053038
BDNF,0
BGN,1.1443681237936907
BMP1,0
BMP2,0
BMP4,0
BMP6,0
BMP7,0.5582974441254259
BTC,0.0029728592176948786
C1QTNF1,0.003696175623287168
C1QTNF5,2.0681833758376622e-4
C3,0.12039886385831966
C5,0
CALCB,0
CALR,3.9923354045449058
CAMP,0
CCK,0.012702112308927625
CCL11,0.04890750361837528
CCL13,0
CCL17,1.800543709211022e-4
CCL18,0
CCL19,0.013247977456195518
CCL2,1.5616824282337824
CCL21,0
CCL22,0
CCL23,0
CCL28,3.3460049225551085
CCL3,0.005103527266979846
CCL4,0
CCL5,0
CCL8,0.02173434729725225
CD40LG,0
CD55,6.238143173593458e-4
CD70,0
CD86,0
CFH,0.03629519666450478
CGA,7.23892633274558
CGN,1.7230828381048593
CKLF,1.6009649743924796
CLCF1,0.008512973550832227
CLEC11A,1.184458596421687
CNTN4,0
COL11A1,6.19072588447325
COL14A1,2.8830531984099794e-5
COL18A1,2.233079790864527
COL1A1,3.7935538254206516
COL1A2,4.1464496082505375
COL3A1,4.635657099134225
COL4A1,1.378342244615567
COL4A2,0.004628546968803517
COL4A3,0
COL4A4,0
COL4A5,0.0013687491357567661
COL4A6,0
COL5A1,0.023310271827600558
COL5A2,0.590138215761642
COL5A3,0
COL6A1,1.0098592284670558
COL6A2,1.9951092108496378
COL7A1,0.0030745179140603063
COL8A1,0
COL9A2,0.03647457122647323
COL9A3,0
COPA,5.18289463811712
CRLF1,0
CSF1,0
CTF1,0
CTGF,0.004886297067385717
CX3CL1,0
CXCL1,0
CXCL10,2.440990400681705e-4
CXCL11,7.222227661655334e-4
CXCL12,0
CXCL13,0
CXCL14,9.985221254204637
CXCL17,0
CXCL6,0
CXCL9,0.001416002658246449
CYR61,3.649880286845989
DCN,3.303952959786546
DEFB1,8.984510389414401
DKK1,0.0613985404840958
DKK2,0
DLK1,3.1583931908694685
EDA,0
EDIL3,0.0041325680347494885
EDN1,0
EFEMP1,0
EFEMP2,2.5199040066901173
EFNA1,0
EFNA4,0
EGF,0
ENHO,0
EPGN,1.236580454783037
EPO,0
EREG,0.0012372187313890537
F10,0
F12,2.431318206887482
F13A1,0
F7,0
F8,0
FAM3C,0.2487334782441679
FASLG,0.02309474965259568
FBLN1,0.016510454318534998
FBLN2,0.01662329194221182
FBN1,0.013401654492513897
FGF1,0
FGF10,0
FGF12,0
FGF13,0.018596607546239475
FGF14,0
FGF18,0
FGF2,0
FGF7,0.20338748680477883
FGF9,0.00799456955175768
FGG,4.519276410936823
FN1,2.1196527036751767
FST,0
GAL,0.7566604345466115
GAS6,0.24485377761327
GDF11,0
GDF15,0
GDF9,0
GH2,0
GHRL,0
GPI,4.562749606459613
GREM1,0.13579362153928123
GRN,0.603146739177083
GZMB,0.012280802617994585
HBEGF,0
HGF,0
HLA.E,0.09105739421629135
HLA.G,0
HSP90AA1,11.192932749611806
IGF1,0
IGF2,3.464247555534413
IGFBP4,1.4055764032133942
IGFL1,0
IL10,0
IL11,0
IL15,0.4082821813583879
IL16,0
IL17B,0
IL18,0
IL1B,0
IL1RN,0
IL27,0
IL33,0
IL34,0
IL6,0
IL7,0
INHA,3.944546431022755
INHBA,0.004385610034578269
INHBB,1.0176526405359143
KISS1,0
KITLG,0.8700382200362456
L1CAM,1.1854039358544468
LAMA1,0
LAMA2,0.3527849980804462
LAMA3,0
LAMA5,3.0497625913748987
LAMB1,6.032142153387567
LAMB2,3.1426975697659056
LAMC2,0
LEP,0.011791978798991637
LGALS1,10.016050795435671
LGALS3BP,0.001167213354722264
LGALS9,1.0867311441792247
LIF,8.418023743875163e-4
LTB,0.05732822156829002
LTBP3,0.13102236623456448
LTF,0.0029244466469964393
MDK,2.8528103176353206
MFGE8,0.4430054897307523
MIF,0.004331724069053296
MMP1,0
MMP13,6.234785194641024e-4
MMP2,1.291159341929473
MMP7,0
MMP9,0.0024817978835150177
MST1,3.1340176885090676
"NAMPT",0.07869411878932879
NCAM1,0
NDP,0
NGF,0
NID1,0
NID2,0.007128338702053823
NLGN1,0.009784891437659855
NMB,0.10445135063331647
NMU,0
NPB,3.060445530500191
NPNT,0
NPW,0.01095542291802874
NRG1,0
NRG2,0.011925336439647953
NRG3,0
NRG4,0
NRTN,0
NTN1,0
NTN4,0.4510568384189834
NXPH1,0.02857975269508715
OLFM2,0
ORM1,0
OSM,0
OSTN,0
PCSK9,0
PDCD1LG2,0
PDGFA,1.8849515727783097
PDGFB,0
PDGFC,0
PDGFD,0
PENK,0
PGF,2.1129970028579526
PLA2G10,0
PLAT,0
PLAU,1.2718936015013953
POMC,0
PPBP,0
PRL,0
PSAP,6.490892656494387
PSPN,0
PTN,0
RARRES2,0.24797291632115542
RELN,0
REN,0
RGMB,0.0024224826010971956
RPH3A,0
RSPO3,0
S100A8,6.933901852100188
S100A9,6.1344952897500455
SAA1,0.052184635153967346
SEMA3A,0
SEMA3B,3.8529634706941267
SEMA3C,3.3944470009780183e-4
SEMA3E,0
SEMA3F,0
SEMA3G,3.640697768808857
SERPINA1,0
SERPINE1,1.2938257512137523
SERPINE2,2.211418296227473
SERPING1,0.008190669936007828
SFRP2,1.9048011377947032
SFTPD,0
SLIT2,0
SLIT3,0.24448267009989802
SLURP1,2.403050848956801
SPINT1,0.7497279819655965
SPON2,3.343991736530208
SPP1,2.845237573154415
TFF1,8.737999049730403
TFPI,0.03547570541631655
TG,0
TGFA,0.11480817937059397
TGFB1,0.14074668021623335
TGFB2,0
TGFB3,0.05989479749986705
TGM2,0
THBS1,0.7477648379819815
THBS2,1.1568501828332727
TIMP1,2.4885748807413823
TIMP2,8.585195815711941
TNC,3.768876132648096
TNFSF10,0.09956344143771202
TNFSF12,0
TNFSF13B,0
TNFSF14,0
TNFSF15,0
TNFSF4,0
TNFSF8,0
TNFSF9,0
ULBP2,0
VCAM1,0.0012443829328328314
VCAN,1.1807483889222572
VEGFA,0.81635688936148
VEGFB,0.006700479053330187
VEGFC,0
VIM,3.955568962790986
VTN,0
VWF,0.002646921419814714
WISP3,0
WNT11,0.017687968198487454
WNT2B,0
WNT4,1.7561937599738457
WNT5A,4.5972919535455
WNT5B,0
WNT6,0
WNT7B,0
WNT9A,0
WNT9B,0
ZG16B,3.719745509175443e-4
ZP3,0.002558272520170658
