target,imp
EDNRA,1.8370500643301833e-6
IL20RA,5.827245267859894e-5
ACVRL1,1.4789688973488566e-4
TYRO3,0.0036317783952385953
BOC,0.03361992096826519
CHRM3,0.024273565685476846
SELL,1.6566301682385495e-4
ADIPOR1,1.571405565011161e-5
ACVR1,1.1861035608628183e-5
RAMP2,4.662410810533781e-5
CNTN1,0.01059919131852702
CRHR1,0.009043562258816496
CMKLR1,0.00534307718386328
MCAM,2.889584817079943e-4
ROR2,0.013602602382002262
FCER1A,4.42048321831608e-5
ROBO2,0.0018382226293741399
LRP2,1.2639953281075024e-4
IGF1R,1.1512286445155919e-4
ADORA1,0.004501092905832388
CD93,5.801904743636e-6
FLT3,0.024439723257204712
SMO,0.003445539870350321
IL3RA,5.27266829001108e-5
OSMR,2.7880620082387253e-5
EPHA4,1.5234150962304408e-4
FPR3,3.581088757806595e-5
PTPRF,3.463854553449249e-4
IL27RA,0.02049002441108565
BDKRB2,0.00030443589430250015
SSTR3,0.0016282097851988884
ITGAL,3.9236298628687384e-4
CD36,1.0310175104718157e-4
TACR1,0.021632938934554237
CSF2RB,6.003958501564171e-6
DCBLD2,6.91089666293919e-5
PLXNA1,1.4208154714639957e-4
CNTNAP1,2.3019183626853037e-6
EPHB1,9.083082330063327e-6
ERBB4,9.45000392095012e-5
OPRL1,1.6248268033646623e-5
TNFRSF10B,0.019309165413501167
CCRL2,1.6075571228568616e-4
CDH10,1.797232121076099e-4
ITGB6,0.003673181352870788
KREMEN2,0.00283343522748874
PDGFRA,8.597313177602652e-5
NOTCH1,3.4157939578208875e-5
NOTCH4,1.8881376745743858e-4
CCR7,6.0824087008471424e-06
TNFRSF10A,7.521051660173624e-4
OXTR,8.719339399260328e-4
IL18R1,1.446174768190618e-4
NRXN3,0.008139838952810237
PTPRB,7.853167304251456e-6
PDGFRB,0.0026903810683972683
PTPRM,1.2530759550356905e-4
VIPR2,3.1831651413350608e-6
IL1RL2,0.001946606774912464
LRP11,3.8582156802426825e-4
MARCO,7.536156357225914e-5
ITGA10,2.606283572528396e-5
BAMBI,2.9137110293635792e-5
TNFRSF12A,1.899027379979798e-4
ROR1,2.6773007876338266e-5
ITGA2,0.0010829852876412503
NEO1,2.1556454789966396e-5
ADCY1,1.1795010793712839e-4
TSPAN1,4.8790696766136506e-5
NOTCH3,6.534907976308846e-6
TNFRSF10D,3.0878693697158206e-6
ACVR1B,1.0642671288472062e-4
IFNLR1,1.0288154312132134e-6
ROBO4,5.1505443536081244e-5
THBD,1.6568665765729238e-4
MERTK,5.664812052540521e-4
CD74,3.587005794717691e-5
KISS1R,3.054471750040507e-5
LILRB2,2.8151149592979626e-6
TLR2,4.419102703391799e-5
LDLR,0.003151293059928908
EPHA2,0.003103530385420308
TLR4,1.3845755020097968e-5
APLNR,2.3230769471770641e-4
ADORA2B,0.0026533993937568915
BMPR1B,0.0051793813905523026
HMMR,5.313333272887552e-5
IL20RB,0.00883731435948764
PROCR,9.735188916228944e-6
CR1,1.437572616376543e-5
CXCR4,2.0753309825194528e-5
FZD3,3.0617068213718585e-4
PLXNA2,1.7269112352063455e-4
CCR3,0.0031627608574789647
PTPRG,7.112952711298597e-6
VLDLR,0.003051218413983395
CD22,4.4150757939449934e-4
CD96,1.7698265699148675e-4
THY1,1.29199539759635e-4
RAMP3,9.78999628268854e-6
PTPRD,0.005372946132432923
BTLA,5.2633783442615404e-5
CD248,0.008640888662236869
CD80,1.1392904606207694e-5
HTR1D,0.02082294626464809
MRC2,0.00646536866385965
TLR1,1.575520432397523e-4
SORCS2,0.006782008545535469
GPR176,2.2918904936704798e-5
P2RY8,4.384155680646183e-6
PTPRT,1.5003076873733388e-4
PTGER4,2.490677984975809e-5
IL1RAPL2,0.001196998378268415
HCAR1,0.01180860981141576
LILRB5,2.9644184951350848e-5
CYSLTR1,2.7622738723294773e-4
LTB4R,8.733064633116242e-5
PTAFR,0.00825919297379683
CLEC5A,2.5078406354980368e-5
P2RY10,3.349010844988763e-4
RELT,0.005649952554280286
GPR171,5.953224607379856e-5
P2RY6,2.283151723709817e-4
ADORA3,5.273344596598937e-4
FFAR2,7.110596473328358e-5
PAQR5,8.218571876882949e-4
PTGER3,1.4178311911020355e-5
ANTXR1,0.012647416872565273
LPAR5,1.0924392468544187e-5
NLGN2,0.01198201488561697
NRP2,3.0468221488197358e-5
PLXNB1,1.4930677753076642e-6
ENG,2.2025360051717207e-4
CSF2RA,2.3526862998413892e-5
IL6ST,2.3042823095932643e-5
DYSF,1.6921340713895198e-6
FLT4,9.2867780021522925e-06
IFNAR2,2.2880877002947197e-5
TGFBR3,8.444822411920707e-6
PTPRS,0.007729362558760024
PLAUR,1.830059471304133e-4
IL7R,2.481958423633892e-6
KDR,4.593914538798976e-6
SELE,1.1175243952426206e-5
COL13A1,2.9650059993190228e-5
ERBB3,0.010070823734767023
PVR,3.4031782822773936e-5
HFE,0.021375263072121516
EPHA3,1.8722939497293534e-6
