target,imp
SEMA3G,5.227677886678363
RARRES2,19.464697257200225
WNT4,20.893049407207464
CCL13,3.4256217401463522
PTN,9.377799937334622
CXCL12,11.321608183552978
GDF9,6.112682483235863
EREG,1.5940012623826851
NLGN1,4.069028784945051
APLN,3.4250636793648312
CX3CL1,3.033223101670074
LGALS3BP,2.8281849069876337
LAMC2,4.898922218099205
SLIT3,4.660924377104734
FGF9,9.485631750389981
IL15,6.523620377637521
NID2,8.287805926124827
ADM2,27.225287849107872
PRL,0.3997198827494774
SAA1,10.067383659422639
CCL11,7.712995029565224
APOE,5.480467594117287
NTN4,2.72928800032693
IL7,11.623704813565007
SPP1,27.5505489697829
DLK1,3.008178178043798
SLIT2,20.84812027908993
CXCL10,8.304748957004191
TGFB2,6.337816811129227
S100A8,10.070681980453083
DKK2,2.1992555713687683
CCL19,10.071597558989128
LAMA2,3.3886423320218135
NPB,8.00765048384616
CCL4,21.07893210181351
CCL18,6.179861595859181
IL16,5.727646651618661
GHRL,9.195018261668636
CCL8,8.960794888118915
CCL28,25.249198022220366
ANGPT2,10.437240886559698
CGA,13.44001531619666
BTC,15.81556942331701
IGF1,8.923737799838293
TNFSF9,4.082179622505623
THBS2,4.314953138405489
ORM1,7.141266490740054
VCAN,6.914463440509056
CCL5,23.958970547589384
NMU,5.844404859406403
CCL21,11.544401497975137
PPBP,2.1309445570548347
C1QTNF1,8.528907463409007
PDGFC,4.466298636336571
ADM,8.908978969198202
TGFB1,5.409737624240984
ZP3,11.748321038114959
CXCL9,6.681900575070708
CGN,22.9514239913877
BMP6,11.081867504854943
CCL3,15.354169937828612
IL1RN,12.454885747645285
FGF10,1.250589383907031
NRG2,4.765813831824861
KITLG,21.52821673269253
THBS1,14.189335842880157
IGF2,10.548100151505642
ANGPTL1,0.7382107903233478
LAMB2,12.058137414870048
LAMA1,43.22958366254447
TNF,4.20569849700039
POMC,8.960320522211212
LTB,2.0792004501927877
CLEC11A,6.751283977581119
WNT6,2.268013572927831
IL33,19.75993952504067
SFTPD,5.829316134927343
CXCL14,1.808830346726369
WNT5B,15.689692518038845
SPON2,17.686627097237977
WNT2B,7.334352296598106
BMP1,7.232498538943881
CFH,8.907483202116381
PLAT,18.831883208800694
CD55,9.571479044830623
COL14A1,0.9260144515146784
TIMP1,9.390444780091078
CAMP,4.914057595058469
COL4A5,6.939768319868636
COL11A1,4.394212763833762
FGG,11.76841239790441
GZMB,2.2111663196205873
COL3A1,6.552544738515605
COL1A2,17.03884561286117
F13A1,2.8821862234748448
COL4A2,11.568494275123394
COL9A2,15.067107723538971
MMP13,4.27457208528792
COL7A1,4.129351309047581
COL4A4,12.414874049030427
