target,imp
EDNRA,5.905553328829585
IL20RA,0.9060061484627956
ACVRL1,0.43037244337447755
TYRO3,4.705468570569604
BOC,2.0714480176324925
CHRM3,0.6834187705299116
SELL,2.6949960367993095
ADIPOR1,1.431698920120168
ACVR1,3.7771590607619094
RAMP2,0.0980588815083037
CNTN1,0.7719389991410126
CRHR1,0.06490622591108862
CMKLR1,1.412673066390075
MCAM,1.9998400658718536
ROR2,2.9825267351129283
FCER1A,2.097036143182399
ROBO2,0.9216745350287212
LRP2,4.628945177173657e-5
IGF1R,1.4501723083112186e-5
ADORA1,0.9737638083790375
CD93,3.2161328150425392
FLT3,0.04560778607167704
SMO,2.4255932924347685
IL3RA,1.2948722620405828
OSMR,0.3706751536193781
EPHA4,1.7476795573765214
FPR3,3.230482551164903
PTPRF,0.8388759980898987
IL27RA,4.380711662114244
BDKRB2,0.0407189658228417
SSTR3,0.0029437975177476665
ITGAL,1.7017147502446455
CD36,0.042751774006212356
TACR1,0.1602895740431483
CSF2RB,0.937810041071733
DCBLD2,1.5098338317733746e-5
PLXNA1,0.7876464538897429
CNTNAP1,0.4915120078550805
EPHB1,0.5264767992707944
ERBB4,2.8807896558527086
OPRL1,0.061738958027859045
TNFRSF10B,2.6010531629999006e-4
CCRL2,0.01496994304781601
IL2RG,0.06629844661078386
CDH10,0.09337923889102212
ITGB6,0.03888969449438976
KREMEN2,1.709847661934478
PDGFRA,1.5840681502875823e-4
NOTCH1,2.016339867557507e-4
NOTCH4,0.3260443533248632
CCR7,1.2433487490501718
TNFRSF10A,1.0086814217949873
OXTR,0.008395807224335514
IL18R1,6.241581451792755
NRXN3,2.6736591220204964e-5
PTPRB,2.603908651546645
PDGFRB,0.898637323966252
PTPRM,3.340895589515816e-5
VIPR2,0.20174991123079988
IL1RL2,1.4614573897822722e-5
LRP11,1.707677809559258
MARCO,2.7058118734073233e-5
ITGA10,5.821908896516773e-5
BAMBI,1.6719826231455477
TNFRSF12A,3.366710447789596e-5
ITGA2,3.4056857866034314e-5
NEO1,7.119985753819152e-5
ADCY1,1.03708715560351
TSPAN1,3.516158439784796e-5
NOTCH3,1.0284168994235885e-4
TNFRSF10D,2.042062262491174
ACVR1B,3.9346785228682926
IFNLR1,1.4014274249105059
ROBO4,0.3118932800083643
THBD,2.6732929826704224
MERTK,5.420424817592488e-5
CD74,6.233592859448866e-5
KISS1R,6.970473134613004e-6
LILRB2,3.632042048271123
TLR2,0.1912667803253475
LDLR,1.1802498576248575e-4
EPHA2,0.9360603441590553
TLR4,0.02683112673816162
APLNR,0.4888205900005761
ADORA2B,0.03183139291154109
BMPR1B,0.010705207207592755
HMMR,6.390136858649342e-5
IL20RB,0.9649937565662797
PROCR,1.2199032903020963
CR1,1.8059454434196291
CXCR4,0.24032491393160665
FZD3,1.0072638741335873
PLXNA2,2.1465607386215123e-4
CCR3,8.240044253236779e-6
PTPRG,2.5844156649823673
VLDLR,2.017072263773909
CD22,2.1798269549315498e-4
CD96,0.9033462246855524
THY1,1.7177840878596017e-5
RAMP3,3.071410636570361
PTPRD,0.8250880357537684
BTLA,0.026617077586605885
CD248,0.008936984830369426
CD80,4.228929082510834
HTR1D,0.043067506045471084
MRC2,1.477586580594033
TLR1,0.9078990573482747
SORCS2,1.0403423602940784
GPR176,4.60919390002021
P2RY8,1.5506459132729071
PTPRT,1.6358490742223895
PTGER4,0.6170587601327362
IL1RAPL2,0.27153114181540905
HCAR1,0.10472510651958065
LILRB5,0.018323788606298977
CYSLTR1,0.016653316000502363
LTB4R,0.9868116227933099
PTAFR,2.1723523421406904e-4
CLEC5A,0.015394074087504367
P2RY10,0.949035095052993
RELT,6.257508146253529e-5
GPR171,0.034457525613133665
P2RY6,4.05500100316082e-5
ADORA3,2.133120085222737
FFAR2,0.017539587102092483
PAQR5,0.1599542119549809
PTGER3,0.15354680198515858
ANTXR1,0.008819825859446639
LPAR5,3.041056628795384
NLGN2,0.151962114407395
NRP2,1.770593020372968
PLXNB1,0.9079000987455648
ENG,0.9604289170057337
CSF2RA,4.562211374545684
IL6ST,1.0675785032205723e-4
DYSF,0.20000464225026693
FLT4,2.1204996830566354
IFNAR2,0.9329298896450114
TGFBR3,1.154701407770024
PTPRS,2.204169176911441
PLAUR,0.4810305644483742
IL7R,3.095293173307056
KDR,1.9930235210332363
SELE,0.15375264654490445
COL13A1,0.8370162444250367
ERBB3,1.907639518101749
PVR,1.8928750781184857e-5
HFE,0.5235099947314589
EPHA3,0.26894396506862384
