target,imp
A2M,5.528756483243674
ADAM17,4.935843165018034
ADCYAP1,4.712797090753046
ADM,1.712569691574074
ADM2,4.7502075148244645
ANGPT1,1.733453327471421
ANGPT2,4.433211715551213
ANGPTL1,3.0731925922567274
ANGPTL2,7.0628929267861915
ANGPTL4,4.608410277664889
ANXA1,1.7090631494351893
APLN,3.5683372580788646
APOD,2.6942000716587575
APOE,12.731663271882505
APP,4.014553436615554
AREG,3.9709160370225867
ARTN,9.827431428470698
AZGP1,20.00494397052304
B2M,5.419618534010036
BDNF,2.0871744279092215
BGN,2.465088449839208
BMP1,4.996857392259275
BMP2,8.134127664974075
BMP4,3.444274281655979
BMP7,5.271387811215794
BTC,2.4038701553164206
C1QTNF1,4.536297359979283
C1QTNF5,4.397141140220312
C3,5.507347675194835
C5,2.4261596547969795
CALCB,4.378943359521501
CALR,4.697072947702204
CAMP,4.285993613760302
CCK,8.120756403487265
CCL11,2.9626491748897106
CCL13,5.395921526320142
CCL17,8.102839491142099
CCL18,2.437533571470782
CCL19,3.3791574524164223
CCL2,9.606763018337636
CCL21,2.919881248234338
CCL22,6.073536101777467
CCL23,2.933736894094675
CCL28,7.919079723261514
CCL3,6.275738908614156
CCL4,6.815946129073003
CCL5,5.973842649900578
CCL7,1.1703157437956178
CCL8,3.0667291447768377
CD40LG,2.1576792688025948
CD55,6.975667606015005
CD70,5.697892144667582
CD86,3.4623488403581173
CFH,3.986118930685525
CGA,5.141399281241453
CGN,4.449912285020408
CKLF,5.670051631259258
CLCF1,7.087009969159705
CLEC11A,5.2862112717779635
CNTN4,5.385973359791375
COL11A1,3.434609913605534
COL14A1,6.320044218465181
COL18A1,4.177616505919435
COL1A1,4.774668563171199
COL1A2,7.411630455012219
COL3A1,5.376982987975951
COL4A1,16.27709217580354
COL4A2,5.784166515927066
COL4A3,2.6415814816387297
COL4A4,1.759493292284871
COL4A5,3.233078575079394
COL4A6,3.880259307218211
COL5A1,5.4745281728468
COL5A2,2.4091303072155674
COL5A3,5.66424028536386
COL6A1,3.690989429065666
COL6A2,1.874532478908057
COL7A1,2.2602484804724297
COL8A1,3.4170862410757583
COL9A2,2.821316054551916
COL9A3,5.081949268767004
COPA,4.86465746338155
CRLF1,4.398252806451327
CSF1,3.1142703644195637
CTF1,10.122504777876399
CTGF,3.554113475958985
CX3CL1,3.4434694742189498
CXCL10,4.218933119347414
CXCL11,8.400427316244269
CXCL12,2.353726283967673
CXCL13,3.5853690227784147
CXCL14,2.8575976853375806
CXCL17,13.621568035372306
CXCL6,1.9460297949691983
CXCL9,5.1413298102973135
CYR61,3.8807454196980085
DCN,4.666625942467382
DKK1,13.138179378601622
DKK2,9.32103848212266
DLK1,4.8062024227649
EDIL3,3.410208786728449
EDN1,5.619095347367839
EFEMP1,4.614905227499795
EFEMP2,3.750537252893103
EFNA1,2.954889709581824
EFNA4,4.516255910156567
EGF,2.527478779773215
ENHO,4.983432928532666
EPGN,3.5258875245560817
EPO,5.374812188727102
F10,3.8618926065454686
F12,2.6061214290473673
F13A1,5.8909140029999865
F7,6.3525767244408815
F8,7.7236531452648105
FAM3C,5.128792264353698
FBLN1,4.167516392620582
FBLN2,3.5765922495923554
FBN1,4.233236146423533
FGF10,5.557278594667711
FGF13,4.732592646249727
FGF18,4.850729988840242
FGF2,2.4859223987626593
FGF7,3.5932995837247756
FGF9,2.51018498245414
FGG,5.856033549991192
FN1,2.6094449947993574
FST,4.3025467514711035
GAL,3.9458626936531913
GAS6,5.49588747736519
GDF11,3.6240865711581534
GDF15,5.9942701160531104
GDF9,3.1832047777733368
GH2,4.599051301040401
GHRL,3.9784863677257247
GPI,2.965158779228359
GREM1,5.465915774493924
GRN,3.832351206593305
GZMB,1.4235506877224957
HBEGF,4.2921486510824085
HGF,4.0388917547299865
HLA.E,5.401376790439815
HLA.G,3.640320937248008
HSP90AA1,6.798726097109173
IGF1,3.5931450223607495
IGF2,1.934262943848488
IGFBP4,4.27414923709606
IGFL1,3.8843088232689813
IL16,5.492691109905142
IL17B,5.0434072125189875
IL18,5.489915371601463
IL1RN,1.0650382658484816
IL27,2.893833555010906
IL33,3.9167488228158387
IL34,0.4251535502073178
IL6,1.8088852390425496
IL7,5.1582196353127605
INHA,5.04337214741902
INHBA,5.738451513206175
INHBB,7.780051221937931
KISS1,1.9690992125949776
KITLG,1.9215809501196781
L1CAM,2.3515322871361364
LAMA1,1.7676967960590177
LAMA2,4.13879635719789
LAMA3,2.6348666342320137
LAMA5,7.669948772744406
LAMB1,4.796182131347987
LAMB2,1.833641906887623
LAMC2,4.442445628540746
LEP,10.522931289932036
LGALS1,7.068470961345806
LGALS3BP,6.223498514554149
LGALS9,5.958375281767708
LIF,5.872812734797558
LTB,4.5077694228129115
LTBP3,1.6596672312633305
LTF,3.5624331949724586
MDK,3.1799978698495055
MFGE8,5.642525803764292
MIF,4.392026886455643
MMP1,3.0844421195036267
MMP13,6.484208878320965
MMP2,2.713411124399091
MMP7,5.973459843106118
MMP9,5.862051960948771
MST1,4.4961824877253465
"NAMPT",5.630355162509573
NCAM1,1.4875175027466665
NDP,3.9477810429612674
NID1,6.290378269606574
NID2,5.685357622739035
NLGN1,3.191264977522345
NMB,2.8461257999356935
NMU,7.041251122087747
NPB,3.845649090336071
NPNT,2.3757778386818686
NPW,5.6057129716500915
NRG1,5.451650157242809
NRG2,3.9178491828640727
NRG4,3.1827257963467646
NRTN,4.543249344213414
NTN1,5.928820472007409
NTN4,4.006077284503844
NXPH1,5.233494906050111
OLFM2,5.558034703215326
OSM,4.471790811708147
PCSK9,8.844180436263672
PDCD1LG2,5.2566367344874685
PDGFA,0.39142888896600586
PDGFB,5.385247134974918
PDGFC,1.986296324979936
PDGFD,10.710486380202514
PGF,4.749603946838612
PLA2G10,7.391220664112114
PLAT,3.6697284473749896
PLAU,5.247948538110815
POMC,1.3503894395943143
PSAP,1.7649569429038934
PSPN,4.470709834615086
PTN,1.7292067755266658
RARRES2,1.496713815749722
RELN,7.884968400481907
REN,5.567444223988682
RGMB,5.795487298023164
RPH3A,5.434558346307235
RSPO3,5.127074543074241
S100A8,3.809230147625078
S100A9,22.22771416796568
SAA1,3.168469410459876
SEMA3A,5.798636673876107
SEMA3B,5.925240779008851
SEMA3C,9.893961630069894
SEMA3E,5.191024119155222
SEMA3F,12.058642721420988
SEMA3G,5.065117225285038
SERPINA1,3.152391036076155
SERPINE1,11.006349290061516
SERPINE2,3.2337672625664156
SERPING1,6.099762542860669
SFRP2,3.8016032884826854
SFTPD,3.917661206308026
SLIT2,4.567716026256374
