target,imp
CD19,12669957.944611643
PECAM1,52377687.17952308
HLA.DRA,14459464.94874509
MKI67,14962501.692028793
CD274,29801705.50581597
FAP,66064900.484100685
CTLA4,64237650.064746305
CD69,35677635.8207358
CD2,56599165.62782244
B3GAT1,12569577.182515424
PDPN,95951398.63703851
HIF1A,133870663.46137075
COL4A2,52917756.183401674
CD40LG,10225138.431372676
NCAM1,38860386.75299987
IGHM,18993340.4678289
MMP12,64084119.20393889
CD36,94875767.96139011
CD9,19849690.580919888
CD1C,9509227.75794271
ITGA6,324997770.1822945
PTPRC,21398128.213310137
FCGR3A,179976513.30128983
FOXP3,42893669.67929812
IL3RA,132474986.91604942
KRT19,14171300.649906568
HLA.B,95603612.58687085
THY1,140566600.58662242
ICOS,13224879.042003965
CXCR5,253775456.1006513
KIT,10290187.85246236
PDCD1,28842364.223808233
CD5,35769502.84973058
PDCD1LG2,226461362.80662772
ITGAX,20876915.69457314
VIM,83954997.17305318
ICAM1,15953313.569905289
LILRB1,93797803.89672346
CD7,13079212.00192751
FUT4,53436274.10200893
CR2,13328973.101826157
CD38,12412300.606782123
CD4,99423306.40271322
ISG20,31095559.83031736
CEACAM1,16332787.912015464
CD40,185402207.7858448
CD8A,50124001.87765036
PTPRCRA,17119933.189887255
ENTPD1,65491281.72983353
