target,imp
ACTA2,172.2331592806269
ACTG2,72.76899190152434
ACTR3B,169.46973398844437
ADGRL4,74.47412042938637
AGR2,249.84311812285378
AHR,270.51811245188594
AIF1,91.31467438883254
AKT1,231.77087591366416
ALDH1A3,100.71750309828998
ANLN,131.98866157411413
AP1M2,245.04488916295685
APOC1,117.8801421514955
APOE,108.04856171067992
AR,540.2230220149469
AURKA,199.48874934510366
AZGP1,298.02400533398855
B2M,394.5743440539687
BAG1,263.0597430265661
BANK1,70.68144353824071
BCL2,807.4585575566612
BGN,260.6500759285926
BICC1,93.04975600675553
BIRC5,81.33913550456467
BLVRA,312.98035275746486
BRAF,179.6940852662213
C1QA,114.97129636004937
C1QB,106.39620127964481
CALCRL,72.18288386881729
CAPN13,343.1023763962733
CCL2,33.053813825960496
CCL3,145.5467980866873
CCL4,82.40711915484357
CCL5,113.94720962204534
CCNB1,212.6004249757183
CCND1,685.7344795187745
CCNE1,105.11943913188554
CCNE2,72.03986895580522
CD14,70.37290085232658
CD163,90.82248793970601
CD19,51.70769373196787
CD2,62.703887715610584
CD24,613.5102756676696
CD274,50.99584255675817
CD34,133.0663957140467
CD36,89.56453118024405
CD38,73.46516302549342
CD3D,59.699230471390095
CD3E,82.85186534823379
CD3G,166.67138125087536
CD4,122.63690984623886
CD40,94.06002466364563
CD40LG,98.85439668611365
CD44,196.75296225403426
CD5,130.76808508117637
CD63,476.12657642447266
CD68,68.30314128869021
CD69,117.20736822796388
CD7,130.0200850517991
CD74,242.73924681527487
CD79A,131.68592642298444
CD79B,122.85405378386571
CD8A,86.68061900552534
CD9,330.3669175661521
CD96,40.95229601779315
CDC20,198.01066759690116
CDC6,124.46767590946008
CDH1,868.8639110580115
CDH11,200.85102103700666
CDH3,183.63657067037238
CDK4,413.1107981085645
CDK6,93.6842523129468
CDK7,245.05478128529754
CDKN2A,130.61008214852663
CEACAM1,304.34874593231433
CENPF,283.2284269600012
CEP55,126.33649962779202
CLDN4,208.63424408274577
CLU,210.13607820936488
COBL,188.19099412698125
COL1A1,302.6805132432858
COL1A2,289.8643862396373
COL3A1,235.8857785342984
COL4A1,205.58894278324178
