target,imp
ACTA2,178.20788764909454
ACTG2,139.68191863114652
ACTR3B,200.8934586569442
ADGRL4,117.72978042773332
AGR2,338.3729554027791
AHR,244.19315846462922
AIF1,147.53343627545755
AKT1,336.5941268281897
ALDH1A3,181.70003229134582
ANLN,224.73115599255863
AP1M2,222.05812651534677
APOC1,110.60986760192264
APOE,147.96410010739152
AR,453.4960601033186
AURKA,206.57420971983964
AZGP1,306.5419241683639
B2M,346.5680224387046
BAG1,309.07259752623753
BANK1,91.71235155711115
BCL2,566.6151781943277
BGN,252.53045214936606
BICC1,168.8203601309454
BIRC5,118.01786241647254
BLVRA,247.10051807768315
BRAF,230.02121939085595
C1QA,157.6491832828655
C1QB,120.7137011550393
CALCRL,133.42791592852416
CAPN13,481.17176381642065
CCL2,64.4958785920719
CCL3,151.488201436303
CCL4,127.9577286719997
CCL5,141.51385923879846
CCNB1,242.44660635067953
CCND1,432.5318907174479
CCNE1,163.83238947763073
CCNE2,175.69416554550094
CD14,96.70267738935148
CD163,114.36037628591261
CD19,113.00847542481675
CD2,83.24110982132969
CD24,431.6464896709578
CD274,66.46137282206404
CD34,143.2810649488568
CD36,208.84299791790792
CD38,127.94346644275122
CD3D,92.12526484256367
CD3E,126.97492500740502
CD3G,243.19999300636425
CD4,117.57339030653479
CD40,110.91363335547334
CD40LG,150.67604746776368
CD44,282.5461258984885
CD5,134.3117014249422
CD63,386.76086754650265
CD68,109.64724129418171
CD69,187.45841924228003
CD7,151.12481620979545
CD74,248.55902448113216
CD79A,169.61371208021362
CD79B,95.12593427493661
CD8A,136.52722587750978
CD9,366.69152419479263
CD96,70.27626475556023
CDC20,218.8405088770322
CDC6,170.50284445287295
CDH1,502.35584989513984
CDH11,281.2962665546343
CDH3,250.63876078498186
CDK4,393.688834958564
CDK6,191.82109887601746
CDK7,281.32027559189055
CDKN2A,173.6747231694182
CEACAM1,428.57614304964414
CENPF,259.28819211623556
CEP55,142.79826199982514
CLDN4,253.3256630870252
CLU,241.82359878487085
COBL,192.76288012114048
COL1A1,338.4558002298387
COL1A2,238.48093753712456
COL3A1,230.01241484479073
COL4A1,197.84924464602588
COL4A2,205.97436143811998
COL4A5,257.8781202144422
CR2,69.12191359251767
CRABP2,504.07140267322177
CSRP2,201.1228328657422
CST3,198.07182219014442
CSTB,163.41222664120636
CTCF,426.9373921269206
CTLA4,68.84779504004965
CTSL,271.2443813616921
CXCR5,185.69896098216668
CXXC5,283.4044800969849
DCN,130.06836648450673
DERL3,182.78885253976708
EFNA5,112.8176402288278
EGFR,132.76964067382747
EIF3E,397.10294257746415
ELF5,225.06310686419016
EPCAM,511.6888290052968
ERBB2,398.9832190757454
ERBB3,472.61684232751105
ERBB4,269.01044960004106
ESR1,373.3687568145932
FABP7,258.0811403301728
FAP,153.33453325150484
FASN,538.7210429993884
FAT1,148.5230207176123
FCGR3A,361.83448415250876
FCN1,125.85561373710327
FCRL5,118.34835217716414
FGFR1,532.0870348907256
FGFR2,141.62823072119107
FGFR4,158.52310756362044
FN1,273.0631374605732
FOS,254.0177098299412
FOXA1,469.99546550989
FOXC1,198.0368559742752
FOXP3,254.60049301606352
FXYD3,396.7071060435223
GATA3,442.951759040569
GNG11,163.7381970274087
GNLY,106.68100381997982
GPNMB,170.0955638456385
GPR160,228.78109375568775
GRB7,187.75409054096374
GSN,386.1195931641077
GZMB,179.21745662682792
HIF1A,475.8349255022427
HLA.A,122.92667151928187
HLA.B,344.5367807813065
HLA.C,270.8743873732366
HLA.DPA1,175.75027453784088
HLA.DRA,215.42601386751994
HLA.DRB1,192.96165769789397
HLA.DRB5,87.73721325675119
HLA.E,314.24479131734455
HSPB1,453.3593286532782
HSPG2,160.7460928922682
ICAM1,273.8236454767733
ICOS,90.7275325260466
IFITM3,245.55443673721095
IGF1R,265.90293328318455
IGFBP5,396.97877166292807
IL2RA,165.90547161419633
IL32,355.18299748024174
IL3RA,99.08271619081881
IL7R,104.29143861893012
ISG15,158.99030597836352
ISG20,161.59595178587492
ITGA6,436.77406246606813
ITGAX,178.6756973493339
JUN,425.0197124746215
JUNB,701.2011417686898
KIF23,266.04663806661233
KIT,140.80745318157489
KRAS,536.9656879695549
KRT10,121.37798639611636
KRT14,94.65522969645865
KRT15,180.8135584739308
KRT17,163.37139192786114
KRT18,575.125075537374
KRT19,526.5200064959587
KRT5,155.54624288926362
KRT7,280.4597575441331
KRT8,556.3784929026574
LAG3,155.84078915084356
LAMA1,95.06254781990627
LAMC1,417.4116292490268
LDB2,203.11242190874782
LGALS1,464.78209052900553
LGALS2,107.88053268769369
LGMN,365.2150214207258
LILRB1,184.8201077312047
LRP2,177.65798131703966
LST1,157.72976768997626
LTF,78.84406009505355
LUM,142.5375368434951
LYPD6B,193.5613797656445
LYZ,163.21030705063876
MAPK13,378.4193444610745
MAPK3,201.091389993714
MDM2,230.38188331929987
MELK,241.91498829360006
MIA,82.70870278936587
MKI67,210.04158647563585
MLPH,438.1016661583196
MMP11,215.19034326211832
MMP12,53.796037244852904
MMP9,89.36600195608575
MS4A1,182.94198820475282
MSR1,153.3456915850033
MT2A,200.4874252650006
MUC1,498.0192527681629
MYB,329.42890713313864
MYBL2,311.3737364573219
MYC,319.21551526687216
MYL6,437.72893956499973
MYL9,318.05730450927734
MYLK,215.91995382782628
MYO10,409.9327790881078
MYO5B,362.51515918111625
MZB1,219.35505442877584
"NAT1",176.04189807603802
NCAM1,251.32951570349707
NDC80,156.13269596392354
NDRG2,468.5084562139042
NF1,351.9700977683223
NKG7,143.12558428962564
NOTCH1,311.80328982643755
NR3C1,241.67823984687587
NUF2,103.2407255843506
OBP2B,59.38987795306416
ORC6,211.63478807976247
PABPC1,475.2868578590758
PBK,142.50862182326253
PDCD1,70.17745614947803
PDPN,159.42576878914113
PDZK1IP1,304.6270072035509
PECAM1,222.84971848267637
PGR,188.85083177213
PHGDH,393.77009723755685
PI3,165.336181974701
PIK3CA,256.0846303795317
PLEK,140.94740842528222
PLVAP,302.8125553824051
POU2AF1,160.31723353026385
PRLR,249.12325652211416
PTEN,326.7834219136945
PTPRB,177.82373941123103
PTPRC,123.51859540245988
PTTG1,138.7454087759774
RAMP2,224.57076164961555
RB1,359.91747869437364
RPL13,446.17686200789285
RPL18,292.13116136012667
RPSA,560.1958133575027
RRM2,205.42363097296933
S100A14,165.845555706723
S100A4,186.2614852652596
S100A8,99.50839603250874
S100A9,82.19129722273931
SDC1,493.0234239606868
SFRP1,88.40532133050216
SIAH2,315.6533395006856
SKAP1,262.85460709785656
SLC2A1,181.27618845014135
SLC39A6,647.3597537416994
SLPI,102.4035875355425
SNAI2,195.99233302985797
SOX10,91.5063514290649
SOX18,199.23553589197442
SOX4,515.8124494383186
SPDEF,624.601055809367
SPP1,170.8662009480672
STAT5A,152.4577182264774
STMN1,404.3302505584745
SULF1,246.32685329496402
TAGLN,166.4845968794719
TBX21,106.17765956150082
TCF4,175.8323302242434
TCL1A,57.88199532104347
TFEC,109.53231137328254
TFF1,82.88906982598726
TFF2,70.38811094923392
TFF3,369.36750093525217
TFRC,307.6420067844941
THEMIS,121.01700856379033
THY1,204.8067557853713
TIMP1,391.32472483888887
TMEM45B,228.27341131093132
TMSB10,467.3636959225285
TP53,452.93213199741496
TPM2,436.89820754739253
TRAC,137.1216068805635
TRDC,161.13090249679487
TSPAN1,279.97641774421874
TTC6,387.1348474056759
TTYH1,120.99112978191447
TYMS,242.40316559843333
UBE2C,219.1054963967734
UBE2T,221.2954903506135
VIM,367.59184639844153
VSIR,96.26194437263666
XBP1,594.0301516216518
XCL1,190.66220041728363
ZEB1,262.2317269382447
ZNF571,297.9742274252118
