target,imp
ACTA2,134.07254496097232
ACTG2,78.22736471266019
ACTR3B,160.22582379330578
ADGRL4,43.085083088582294
AGR2,329.8906597599499
AHR,206.01834152434535
AIF1,128.9335451372327
AKT1,202.29879722543038
ALDH1A3,128.26462508899954
ANLN,172.42528169545386
AP1M2,227.7673404487827
APOC1,91.63457315745374
APOE,126.30317318331258
AR,487.9272294770198
AURKA,193.37623160851376
AZGP1,302.0956034289583
B2M,389.62267598848587
BAG1,301.9001497568516
BANK1,88.7615868442026
BCL2,718.967823813913
BGN,272.70437522289103
BICC1,90.76401605526262
BIRC5,54.34367816931019
BLVRA,238.64838534912593
BRAF,174.44867283022268
C1QA,96.00772066704569
C1QB,89.66868289734893
CALCRL,36.90151025587652
CAPN13,327.1588018742187
CCL2,56.29510932375242
CCL3,99.42587546924116
CCL4,128.95826292939572
CCL5,118.80993256486182
CCNB1,172.33359084224725
CCND1,717.8943015345769
CCNE1,116.44585924080971
CCNE2,151.90869600857374
CD14,75.89886704323231
CD163,97.49812600252646
CD19,80.69555246616076
CD2,113.35220625466116
CD24,750.6851779563902
CD274,42.47753211797704
CD34,104.91692370129017
CD36,98.94520543700635
CD38,86.17939064363496
CD3D,43.03126142124236
CD3E,64.45448920688276
CD3G,148.83527258910522
CD4,82.98189086609206
CD40,52.919007662545326
CD40LG,92.54871627329527
CD44,209.8652586430534
CD5,93.09788621028214
CD63,476.1910557540964
CD68,122.86247416456345
CD69,100.33313457518003
CD7,88.09198493532534
CD74,257.36217822865024
CD79A,116.17389554628082
CD79B,85.64088446894141
CD8A,80.946329223894665
CD9,342.40557845262316
CD96,53.60273536984336
CDC20,201.31887194802002
CDC6,102.25408907847854
CDH1,1101.7376119946653
CDH11,226.0325452050407
CDH3,233.6913116555622
CDK4,396.3263029710829
CDK6,97.63352653472664
CDK7,232.22216456286856
CDKN2A,109.29717957976365
CEACAM1,424.38766481891076
CENPF,266.7149806706177
CEP55,108.17075840028005
CLDN4,245.9855357258619
CLU,138.6304459092825
COBL,134.08710844829636
COL1A1,321.3062158889275
COL1A2,253.62039542814506
COL3A1,209.87489072939934
COL4A1,162.09033644483492
COL4A2,180.83435658986116
COL4A5,248.57941137905632
CR2,45.457325070627554
CRABP2,765.1977536150066
CSRP2,155.02536787936154
CST3,132.79858801847158
CSTB,149.01814994913036
CTCF,517.0060292437021
CTLA4,25.6286411337974
CTSL,323.9794157608076
CXCR5,184.36134841143942
CXXC5,256.06280675919675
DCN,74.00357676888272
DERL3,168.9018291368047
EFNA5,32.0435139027035
EGFR,88.62951672791314
EIF3E,344.4093665838495
ELF5,164.04572995726582
EPCAM,763.9365390459052
ERBB2,463.0073392660685
ERBB3,921.2886429307579
ERBB4,186.42492071737917
ESR1,362.2378157314812
FABP7,216.54149750774715
FAP,183.06602212222688
FASN,385.21631953748494
FAT1,122.49156504626231
FCGR3A,302.96081725300144
FCN1,71.09235393669508
FCRL5,53.43349993133066
FGFR1,514.5378680566065
FGFR2,91.40558412542515
FGFR4,139.71831797137065
FN1,305.32527862077154
FOS,201.83931884053538
FOXA1,850.5221870671824
FOXC1,193.71818847111237
FOXP3,216.79436847391116
FXYD3,412.8307392667312
GATA3,1145.613461732478
GNG11,137.6852352012823
GNLY,67.94648208030021
GPNMB,88.04180276563655
GPR160,164.86280904081704
GRB7,191.86125555372075
GSN,303.8558119133645
GZMB,166.5832080796983
HIF1A,370.4599454448355
HLA.A,64.1549651490484
HLA.B,469.68196866163566
HLA.C,268.009721482514
HLA.DPA1,134.99915270848976
HLA.DRA,114.57659574756046
HLA.DRB1,96.29255199253242
HLA.DRB5,73.14213593864594
HLA.E,331.82283421296864
HSPB1,789.7253565261641
HSPG2,104.91339765334291
ICAM1,218.56511775410593
ICOS,27.76118987974442
IFITM3,198.85973918911418
IGF1R,304.3573879742999
IGFBP5,654.3373223954661
IL2RA,151.25279709053237
IL32,308.2500447972819
IL3RA,110.61511897733662
IL7R,27.983806988208052
ISG15,149.9154482646093
ISG20,127.77054092850837
ITGA6,280.458619204062
ITGAX,98.30712966861243
JUN,663.7958139067252
JUNB,579.4734623654492
KIF23,178.20741704394376
KIT,76.39123009138595
KRAS,381.07260004624595
KRT10,80.84574087686141
KRT14,30.190254482208637
KRT15,118.40431138689492
KRT17,78.76158556244835
KRT18,736.0395082175424
