target,imp
ACTA2,14.603205856160566
ACTG2,21.87192726143688
ACTR3B,65.46839522831698
ADGRL4,32.728857846827516
AGR2,41.45561264412107
AHR,63.98496957273895
AIF1,5.844203509616736
AKT1,44.10391536751633
ALDH1A3,33.36019179801286
ANLN,37.68200587737196
AP1M2,25.430183265270536
APOC1,18.76762249004432
APOE,8.324697871828326
AR,66.05292190983091
AURKA,41.24429385020035
AZGP1,46.09676432982374
B2M,51.22898496466707
BAG1,50.574567845981555
BANK1,30.93125718010595
BCL2,91.02526539293083
BGN,46.62832868739104
BICC1,11.281434037025878
BIRC5,42.24049278040216
BLVRA,62.86832140292063
BRAF,47.2281444286567
C1QA,29.375795772034653
C1QB,27.143316136771997
CALCRL,12.687971604749837
CAPN13,52.47412492009301
CCL2,13.898969014787774
CCL3,7.027806336076567
CCL4,19.9831508408399
CCL5,51.20587425931978
CCNB1,35.27616341794809
CCND1,131.6629371730488
CCNE1,30.170453259342015
CCNE2,32.15468957462108
CD14,14.29735752723767
CD163,6.987154187198064
CD19,17.20984747226257
CD2,36.56784513903226
CD24,121.5348063759035
CD274,0.5489791036400191
CD34,44.05581750377154
CD36,5.278699278537124
CD38,17.563591332192217
CD3D,7.779003913848264
CD3E,12.92216400095899
CD4,9.684032039175172
CD40,25.44520057776145
CD40LG,13.288934539790212
CD44,51.66816253271967
CD5,9.910991180384595
CD63,58.181456186845864
CD68,21.577437456066786
CD69,48.305039901950785
CD7,20.46383919469066
CD74,45.00744095383462
CD79A,22.210104485511916
CD79B,15.896095444146159
CD8A,11.479357803587007
CD9,33.07192786321702
CD96,8.244836574931707
CDC20,17.086496103848113
CDC6,31.60983693249323
CDH1,83.78506385611362
CDH11,39.645079376802535
CDH3,32.190473178114374
CDK4,61.38219150190029
CDK6,8.481421059150982
CDK7,55.19899011253341
CDKN2A,26.282952989656803
CEACAM1,70.04411951977204
CENPF,23.598122840196716
CEP55,23.189584158072094
CLDN4,48.02957740486024
CLU,18.90473096379221
COBL,10.503802568717642
COL1A1,43.276065226356
COL1A2,38.23705780156726
COL3A1,55.04908300693903
COL4A1,26.56244479041681
COL4A2,38.92447812383469
COL4A5,103.59284859885695
CR2,14.253944985049968
CRABP2,48.9102329120881
CSRP2,21.99343797097145
CST3,31.32608236409351
CSTB,65.45570154638321
CTCF,76.23807115984127
CTLA4,1.1493322768768055
CTSL,36.371672696986444
CXCR5,7.809399898290772
CXXC5,41.87924783302449
DCN,21.739629757807624
DERL3,29.310152064158004
EFNA5,5.199409639296818
EGFR,29.917220118732484
EIF3E,46.426146031017744
ELF5,31.62364869678314
EPCAM,87.35445776417299
ERBB2,65.96515174775617
ERBB3,90.26013964848404
ERBB4,32.05080738919064
ESR1,65.2783277673751
FABP7,51.608475620888655
FAP,57.834774643653375
FASN,50.616977104605354
FAT1,37.992548654356646
FCGR3A,37.81690353238397
FCN1,13.802762082772816
FCRL5,21.724752986663795
FGFR1,62.58381300778855
FGFR2,17.556550518280893
FGFR4,30.558674772447965
FN1,51.601373873758455
FOS,36.64753732107621
FOXA1,117.21557868657385
FOXC1,12.545568955955664
FOXP3,30.24575745769703
FXYD3,93.53726833690529
GATA3,128.79799706314216
GNG11,22.09947214884327
GNLY,15.497642170078269
GPNMB,25.289979922202136
GPR160,33.50314405829606
GRB7,41.90378114266316
GSN,53.79207964783699
GZMB,11.937311195087156
HIF1A,61.386552501808495
HLA.A,13.036007797622329
HLA.B,54.53819420131103
HLA.C,23.957488377017704
HLA.DPA1,15.412865814535875
HLA.DRA,19.63609434421459
HLA.DRB1,16.462165845435603
HLA.DRB5,13.246046170205158
HLA.E,53.035739710927565
HSPB1,108.55842961814855
HSPG2,48.30286774773795
ICAM1,33.194379574025206
ICOS,9.909168701823864
IFITM3,17.85286910877542
